package,old_prefix,real_prefix
cbrf_ind_158,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_159,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_16,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_160,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_161,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_17,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_18,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_188,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_189,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_19,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_190,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_191,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_192,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_193,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_194,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_195,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_196,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_197,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_198,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_199,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_2,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_20,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_200,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_201,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_202,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_203,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_204,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_205,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
