6. ЖИЛЫЕ ПОМЕЩЕНИЯ2) ПО ИХ ТИПАМ И ЧИСЛУ ПРОЖИВАЮЩИХ В НИХ ЧАСТНЫХ ДОМОХОЗЯЙСТВ
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
	Всего жилых помещений	в них проживает								
		одно домохозяйство	в том числе состоящее из					два домохозяйства	три домохозяйства	четыре домохозяйства и более
			1 человека 	2 человек	3 человек	4 человек	5 и более человек			
Российская Федерация										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	161251.0	160851.0	53439.0	50326.0	27481.0	19361.0	10244.0	375.0	17.0	8.0
в том числе:										
индивидуальные дома	107749.0	107662.0	42688.0	36040.0	14080.0	9110.0	5744.0	84.0	2.0	1.0
отдельные квартиры	53312.0	53112.0	10737.0	14263.0	13379.0	10239.0	4494.0	190.0	8.0	2.0
коммунальные квартиры	190.0	77.0	14.0	23.0	22.0	12.0	6.0	101.0	7.0	5.0
Смоленская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	381789.0	378234.0	94000.0	113082.0	90782.0	55599.0	24771.0	2948.0	521.0	86.0
в том числе:										
индивидуальные дома	123184.0	122950.0	40034.0	39188.0	21274.0	14274.0	8180.0	214.0	15.0	5.0
отдельные квартиры	255792.0	254351.0	53736.0	73629.0	69260.0	41198.0	16528.0	1287.0	130.0	24.0
коммунальные квартиры	2813.0	933.0	230.0	265.0	248.0	127.0	63.0	1447.0	376.0	57.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	257116.0	253958.0	55317.0	75086.0	67743.0	39422.0	16390.0	2594.0	484.0	80.0
в том числе:										
индивидуальные дома	45278.0	45096.0	12117.0	13818.0	9528.0	6153.0	3480.0	167.0	11.0	4.0
отдельные квартиры	209302.0	208032.0	43007.0	61023.0	57992.0	33152.0	12858.0	1128.0	119.0	23.0
