6. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ВОЗРАСТНЫМ ГРУППАМ И УРОВНЮ ОБРАЗОВАНИЯ												
												
	Численность населения соответству-ющей националь-ности	в том числе  имеют образование								Не имеют
начального
общего
образова-ния
	из них неграмотные	Не указавшие уровень образова-ния
		профессиональное					общее					
		послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное			
												
Городское и сельское население КМН в возрасте 15 лет и более												
Возраст не указан	47.0	-	1.0	-	1.0	-	7.0	13.0	10.0	8.0	8.0	7.0
Нивхи	3527.0	2.0	145.0	38.0	630.0	613.0	613.0	1123.0	305.0	48.0	22.0	10.0
в том числе в возрасте, лет:												
15 – 19	538.0	-	-	2.0	15.0	19.0	74.0	358.0	63.0	5.0	4.0	2.0
20 – 24	470.0	-	6.0	9.0	63.0	75.0	100.0	178.0	33.0	6.0	3.0	-
25 – 29	399.0	-	21.0	2.0	74.0	67.0	70.0	146.0	16.0	3.0	2.0	-
30 – 39	748.0	1.0	41.0	15.0	181.0	180.0	164.0	144.0	14.0	5.0	4.0	3.0
40 – 49	768.0	1.0	36.0	8.0	187.0	191.0	158.0	160.0	23.0	2.0	-	2.0
50 – 59	348.0	-	24.0	2.0	87.0	58.0	44.0	95.0	33.0	3.0	1.0	2.0
60 и более	256.0	-	17.0	-	23.0	23.0	3.0	42.0	123.0	24.0	8.0	1.0
Возраст не указан	3.0	-	-	-	-	-	1.0	2.0	-	-	-	-
Орочи	309.0	-	18.0	6.0	36.0	55.0	57.0	116.0	18.0	3.0	1.0	-
в том числе в возрасте, лет:												
15 – 19	55.0	-	-	-	1.0	1.0	11.0	33.0	8.0	1.0	-	-
20 – 24	37.0	-	3.0	3.0	3.0	5.0	8.0	13.0	2.0	-	-	-
25 – 29	32.0	-	1.0	-	3.0	6.0	11.0	11.0	-	-	-	-
30 – 39	66.0	-	4.0	-	13.0	16.0	10.0	23.0	-	-	-	-
40 – 49	63.0	-	4.0	1.0	5.0	18.0	13.0	21.0	1.0	-	-	-
50 – 59	29.0	-	2.0	1.0	5.0	7.0	3.0	9.0	2.0	-	-	-
60 и более	27.0	-	4.0	1.0	6.0	2.0	1.0	6.0	5.0	2.0	1.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Саамы	1355.0	2.0	96.0	32.0	185.0	310.0	274.0	294.0	139.0	23.0	10.0	-
в том числе в возрасте, лет:												
15 – 19	178.0	-	-	2.0	1.0	7.0	37.0	106.0	25.0	-	-	-
20 – 24	154.0	-	7.0	8.0	28.0	51.0	34.0	21.0	2.0	3.0	2.0	-
25 – 29	144.0	1.0	18.0	6.0	20.0	59.0	19.0	17.0	2.0	2.0	-	-
30 – 39	247.0	1.0	21.0	7.0	43.0	77.0	63.0	25.0	8.0	2.0	-	-
40 – 49	289.0	-	26.0	4.0	50.0	85.0	74.0	42.0	7.0	1.0	1.0	-
50 – 59	163.0	-	11.0	3.0	28.0	25.0	34.0	51.0	10.0	1.0	-	-
60 и более	180.0	-	13.0	2.0	15.0	6.0	13.0	32.0	85.0	14.0	7.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Селькупы	3044.0	3.0	125.0	38.0	494.0	459.0	497.0	860.0	487.0	76.0	49.0	5.0
в том числе в возрасте, лет:												
15 – 19	468.0	-	-	1.0	9.0	23.0	79.0	252.0	99.0	4.0	3.0	1.0
20 – 24	400.0	-	13.0	20.0	48.0	58.0	94.0	105.0	57.0	4.0	3.0	1.0
25 – 29	315.0	-	17.0	2.0	67.0	59.0	51.0	81.0	35.0	3.0	1.0	-
30 – 39	582.0	3.0	36.0	5.0	136.0	105.0	110.0	147.0	34.0	4.0	3.0	2.0
40 – 49	632.0	-	23.0	8.0	136.0	139.0	110.0	161.0	49.0	6.0	4.0	-
50 – 59	283.0	-	18.0	2.0	58.0	49.0	41.0	62.0	44.0	8.0	5.0	1.0
60 и более	364.0	-	18.0	-	40.0	26.0	12.0	52.0	169.0	47.0	30.0	-
Возраст не указан	7.0	-	-	-	1.0	-	-	-	-	-	-	6.0
Сойоты	1931.0	-	231.0	87.0	369.0	181.0	635.0	277.0	126.0	25.0	18.0	-
в том числе в возрасте, лет:												
15 – 19	298.0	-	-	9.0	7.0	8.0	114.0	146.0	11.0	3.0	1.0	-
20 – 24	292.0	-	28.0	36.0	39.0	20.0	125.0	39.0	4.0	1.0	1.0	-
25 – 29	232.0	-	20.0	17.0	43.0	27.0	111.0	14.0	-	-	-	-
30 – 39	389.0	-	69.0	16.0	106.0	46.0	135.0	15.0	2.0	-	-	-
40 – 49	345.0	-	64.0	7.0	98.0	44.0	105.0	16.0	6.0	5.0	5.0	-
50 – 59	167.0	-	41.0	2.0	52.0	16.0	36.0	13.0	6.0	1.0	-	-
60 и более	208.0	-	9.0	-	24.0	20.0	9.0	34.0	97.0	15.0	11.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Тазы	215.0	-	25.0	3.0	61.0	25.0	38.0	27.0	27.0	8.0	8.0	1.0
в том числе в возрасте, лет:												
15 – 19	28.0	-	-	1.0	1.0	2.0	5.0	12.0	7.0	-	-	-
20 – 24	18.0	-	2.0	2.0	5.0	1.0	6.0	1.0	1.0	-	-	-
25 – 29	27.0	-	3.0	-	14.0	5.0	3.0	1.0	1.0	-	-	-
30 – 39	31.0	-	5.0	-	11.0	5.0	7.0	3.0	-	-	-	-
40 – 49	50.0	-	8.0	-	16.0	9.0	11.0	3.0	1.0	2.0	2.0	-
50 – 59	24.0	-	6.0	-	11.0	1.0	3.0	1.0	2.0	-	-	-
60 и более	37.0	-	1.0	-	3.0	2.0	3.0	6.0	15.0	6.0	6.0	1.0
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Теленгиты	1602.0	1.0	159.0	34.0	336.0	151.0	403.0	307.0	176.0	35.0	24.0	-
в том числе в возрасте, лет:												
15 – 19	249.0	-	-	1.0	5.0	4.0	55.0	137.0	37.0	10.0	6.0	-
20 – 24	191.0	-	11.0	6.0	40.0	16.0	73.0	32.0	12.0	1.0	-	-
25 – 29	164.0	1.0	23.0	5.0	38.0	14.0	52.0	26.0	5.0	-	-	-
30 – 39	332.0	-	43.0	10.0	110.0	41.0	88.0	29.0	8.0	3.0	2.0	-
40 – 49	379.0	-	43.0	9.0	96.0	54.0	110.0	53.0	13.0	1.0	1.0	-
50 – 59	120.0	-	26.0	3.0	38.0	12.0	18.0	9.0	14.0	-	-	-
60 и более	167.0	-	13.0	-	9.0	10.0	7.0	21.0	87.0	20.0	15.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Телеуты	2011.0	-	139.0	29.0	424.0	354.0	409.0	372.0	218.0	66.0	44.0	-
в том числе в возрасте, лет:												
15 – 19	260.0	-	-	2.0	12.0	19.0	97.0	109.0	20.0	1.0	-	-
20 – 24	215.0	-	11.0	9.0	43.0	65.0	46.0	34.0	7.0	-	-	-
25 – 29	192.0	-	25.0	6.0	40.0	41.0	46.0	31.0	3.0	-	-	-
30 – 39	350.0	-	29.0	5.0	120.0	94.0	61.0	39.0	2.0	-	-	-
40 – 49	472.0	-	48.0	5.0	136.0	93.0	114.0	66.0	8.0	2.0	1.0	-
50 – 59	203.0	-	15.0	2.0	52.0	35.0	35.0	47.0	16.0	1.0	-	-
60 и более	319.0	-	11.0	-	21.0	7.0	10.0	46.0	162.0	62.0	43.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Тофалары	512.0	-	14.0	1.0	32.0	30.0	121.0	212.0	100.0	2.0	2.0	-
в том числе в возрасте, лет:												
15 – 19	99.0	-	-	-	-	1.0	12.0	48.0	38.0	-	-	-
20 – 24	79.0	-	-	1.0	3.0	-	22.0	35.0	18.0	-	-	-
25 – 29	38.0	-	1.0	-	5.0	5.0	8.0	17.0	2.0	-	-	-
30 – 39	92.0	-	4.0	-	6.0	15.0	26.0	36.0	4.0	1.0	1.0	-
40 – 49	124.0	-	5.0	-	11.0	9.0	38.0	50.0	11.0	-	-	-
50 – 59	46.0	-	1.0	-	5.0	-	12.0	19.0	9.0	-	-	-
60 и более	34.0	-	3.0	-	2.0	-	3.0	7.0	18.0	1.0	1.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Тубалары	1114.0	2.0	79.0	17.0	264.0	170.0	197.0	240.0	108.0	37.0	29.0	-
в том числе в возрасте, лет:												
15 – 19	131.0	-	-	1.0	4.0	3.0	18.0	82.0	20.0	3.0	3.0	-
20 – 24	89.0	-	2.0	4.0	21.0	10.0	19.0	25.0	8.0	-	-	-
25 – 29	91.0	-	10.0	4.0	25.0	11.0	11.0	30.0	-	-	-	-
30 – 39	247.0	-	19.0	4.0	86.0	43.0	60.0	35.0	-	-	-	-
40 – 49	283.0	1.0	23.0	2.0	81.0	74.0	71.0	26.0	5.0	-	-	-
50 – 59	104.0	-	11.0	2.0	32.0	19.0	10.0	23.0	7.0	-	-	-
60 и более	169.0	1.0	14.0	-	15.0	10.0	8.0	19.0	68.0	34.0	26.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Тувинцы-тоджинцы	2994.0	-	115.0	16.0	529.0	231.0	839.0	911.0	312.0	41.0	17.0	-
в том числе в возрасте, лет:												
15 – 19	491.0	-	-	-	7.0	9.0	81.0	339.0	50.0	5.0	3.0	-
20 – 24	365.0	-	1.0	1.0	60.0	43.0	142.0	100.0	15.0	3.0	3.0	-
25 – 29	370.0	-	15.0	3.0	68.0	28.0	143.0	98.0	12.0	3.0	2.0	-
30 – 39	657.0	-	35.0	4.0	148.0	62.0	244.0	135.0	22.0	7.0	5.0	-
40 – 49	538.0	-	28.0	4.0	127.0	53.0	167.0	126.0	30.0	3.0	-	-
50 – 59	259.0	-	25.0	3.0	79.0	20.0	41.0	54.0	35.0	2.0	1.0	-
60 и более	314.0	-	11.0	1.0	40.0	16.0	21.0	59.0	148.0	18.0	3.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Удэгейцы	1132.0	2.0	78.0	26.0	222.0	139.0	245.0	314.0	90.0	16.0	11.0	-
в том числе в возрасте, лет:												
15 – 19	161.0	-	-	2.0	3.0	6.0	39.0	89.0	20.0	2.0	1.0	-
20 – 24	116.0	-	3.0	9.0	18.0	14.0	37.0	31.0	4.0	-	-	-
25 – 29	120.0	-	6.0	-	18.0	17.0	33.0	41.0	3.0	2.0	1.0	-
30 – 39	250.0	1.0	18.0	6.0	64.0	41.0	60.0	53.0	6.0	1.0	1.0	-
