4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудо-способном возрасте	Средний возраст
		15 – 19	20 – 24	25 – 29	30 – 34	35 – 39	40 – 44	45 – 49	50 – 54	55 – 59	60 – 64		
Центральный федеральный округ													
сельское хозяйство, охота и лесное хозяйство	13579.0	290.0	980.0	1324.0	1520.0	1798.0	2545.0	2303.0	1847.0	697.0	275.0	13205.0	40.7
рыболовство, рыбоводство	189.0	5.0	13.0	21.0	19.0	21.0	25.0	39.0	33.0	12.0	1.0	185.0	41.1
добыча полезных ископаемых	1426.0	12.0	88.0	142.0	152.0	184.0	235.0	266.0	221.0	88.0	38.0	1377.0	41.8
обрабатывающие производства	21959.0	556.0	2485.0	2796.0	2551.0	2759.0	3572.0	3186.0	2703.0	899.0	452.0	21277.0	38.9
производство и распределение электроэнергии, газа и воды	3485.0	16.0	203.0	354.0	377.0	414.0	575.0	606.0	602.0	217.0	121.0	3318.0	42.2
строительство	10151.0	228.0	1164.0	1306.0	1146.0	1166.0	1813.0	1455.0	1236.0	443.0	194.0	9891.0	39.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	19913.0	608.0	2396.0	2779.0	2736.0	2915.0	3371.0	2635.0	1790.0	464.0	219.0	19453.0	37.3
гостиницы и рестораны	3507.0	116.0	362.0	385.0	436.0	485.0	641.0	574.0	363.0	97.0	48.0	3381.0	38.6
транспорт и связь	10171.0	111.0	776.0	1126.0	1259.0	1435.0	1826.0	1711.0	1305.0	413.0	209.0	9851.0	40.2
финансовая деятельность	1821.0	7.0	166.0	301.0	256.0	235.0	335.0	258.0	196.0	50.0	17.0	1771.0	38.4
операции с недвижимым имуществом, аренда и предоставление услуг	3715.0	63.0	403.0	490.0	443.0	395.0	580.0	536.0	513.0	167.0	125.0	3523.0	39.7
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	13561.0	118.0	1807.0	2435.0	2253.0	2008.0	2049.0	1358.0	1000.0	356.0	177.0	13241.0	36.4
образование	15653.0	165.0	1488.0	2055.0	2079.0	2042.0	2371.0	2064.0	1966.0	883.0	540.0	14482.0	39.8
здравоохранение и предоставление социальных услуг	13922.0	119.0	1174.0	1677.0	1793.0	1865.0	2268.0	2090.0	1868.0	594.0	474.0	13013.0	40.2
предоставление прочих коммунальных, социальных и персональных услуг	7788.0	202.0	705.0	915.0	900.0	918.0	1242.0	1134.0	1078.0	448.0	246.0	7364.0	40.1
предоставление услуг по ведению домашнего хозяйства	217.0	8.0	11.0	11.0	11.0	24.0	46.0	30.0	37.0	22.0	17.0	196.0	44.2
деятельность экстерриториальных организаций	208.0	9.0	40.0	17.0	25.0	30.0	25.0	18.0	21.0	14.0	9.0	186.0	37.7
не распределенные по видам деятельности и неточно указавшие вид деятельности	992.0	12.0	91.0	102.0	132.0	131.0	169.0	141.0	136.0	45.0	33.0	946.0	40.3
Республика Дагестан													
Все население в возрасте 15-64 лет, занятое в экономике	547282.0	7955.0	53566.0	79721.0	85328.0	86563.0	91084.0	66422.0	46594.0	17459.0	12590.0	528278.0	38.0
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	66915.0	1902.0	6368.0	8590.0	10078.0	10792.0	11938.0	8190.0	5432.0	1971.0	1654.0	64766.0	38.0
рыболовство, рыбоводство	2009.0	17.0	143.0	283.0	382.0	314.0	381.0	216.0	159.0	89.0	25.0	1975.0	38.3
добыча полезных ископаемых	4681.0	11.0	375.0	626.0	639.0	686.0	808.0	675.0	481.0	257.0	123.0	4504.0	39.8
обрабатывающие производства	39786.0	873.0	3819.0	4912.0	5203.0	5976.0	7028.0	5595.0	4083.0	1460.0	837.0	38520.0	38.8
производство и распределение электроэнергии, газа и воды	8349.0	28.0	598.0	1022.0	1221.0	1215.0	1629.0	1099.0	885.0	453.0	199.0	8084.0	40.0
строительство	39798.0	582.0	3197.0	5561.0	6260.0	6499.0	7319.0	5236.0	3283.0	1234.0	627.0	39084.0	38.3
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	60833.0	1153.0	6024.0	9077.0	10498.0	10630.0	10845.0	6900.0	3998.0	1136.0	572.0	59832.0	36.9
гостиницы и рестораны	9632.0	212.0	899.0	1184.0	1526.0	1535.0	1774.0	1383.0	763.0	231.0	125.0	9373.0	38.0
транспорт и связь	54895.0	368.0	3866.0	7319.0	8703.0	9319.0	10186.0	7441.0	5070.0	1748.0	875.0	53808.0	38.9
финансовая деятельность	7003.0	42.0	666.0	1309.0	1244.0	1015.0	1021.0	838.0	640.0	146.0	82.0	6851.0	37.2
операции с недвижимым имуществом, аренда и предоставление услуг	20942.0	279.0	1843.0	2534.0	2766.0	3256.0	3716.0	2894.0	2137.0	870.0	647.0	20009.0	39.4
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	48080.0	431.0	5921.0	9684.0	9052.0	8156.0	6884.0	3985.0	2513.0	930.0	524.0	47294.0	35.5
образование	104824.0	1174.0	12690.0	16516.0	15046.0	13823.0	15033.0	12477.0	9848.0	4269.0	3948.0	98609.0	38.2
здравоохранение и предоставление социальных услуг	58807.0	388.0	5083.0	8046.0	9680.0	10082.0	9366.0	6952.0	5397.0	2016.0	1797.0	55682.0	38.7
предоставление прочих коммунальных, социальных и персональных услуг	16873.0	447.0	1698.0	2413.0	2382.0	2600.0	2636.0	2064.0	1596.0	550.0	487.0	16131.0	38.1
предоставление услуг по ведению домашнего хозяйства	104.0	-	10.0	-	19.0	11.0	15.0	39.0	5.0	5.0	-	99.0	41.3
деятельность экстерриториальных организаций	40.0	-	10.0	5.0	5.0	5.0	-	5.0	10.0	-	-	40.0	36.9
не распределенные по видам деятельности и неточно указавшие вид деятельности	3711.0	48.0	356.0	640.0	624.0	649.0	505.0	433.0	294.0	94.0	68.0	3617.0	37.2
Республика Ингушетия													
Все население в возрасте 15-64 лет, занятое в экономике	39965.0	514.0	3992.0	6491.0	7240.0	6701.0	6198.0	4463.0	2635.0	1021.0	710.0	38915.0	37.1
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	1883.0	20.0	92.0	203.0	264.0	263.0	402.0	295.0	206.0	81.0	57.0	1817.0	40.7
рыболовство, рыбоводство	2.0	-	1.0	-	1.0	-	-	-	-	-	-	2.0	27.5
добыча полезных ископаемых	1015.0	8.0	66.0	116.0	136.0	147.0	199.0	164.0	91.0	43.0	45.0	959.0	40.5
обрабатывающие производства	1742.0	38.0	185.0	247.0	276.0	292.0	265.0	224.0	123.0	60.0	32.0	1702.0	37.5
производство и распределение электроэнергии, газа и воды	345.0	3.0	23.0	40.0	37.0	40.0	66.0	60.0	41.0	16.0	19.0	324.0	41.4
строительство	3188.0	81.0	254.0	420.0	533.0	530.0	590.0	396.0	259.0	78.0	47.0	3133.0	37.9
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	2753.0	36.0	211.0	332.0	492.0	518.0	504.0	372.0	203.0	50.0	35.0	2690.0	38.0
гостиницы и рестораны	593.0	9.0	48.0	72.0	94.0	112.0	125.0	86.0	32.0	10.0	5.0	583.0	37.8
транспорт и связь	4210.0	30.0	281.0	551.0	672.0	702.0	762.0	652.0	340.0	121.0	99.0	4094.0	39.1
финансовая деятельность	725.0	9.0	80.0	166.0	124.0	110.0	108.0	72.0	39.0	14.0	3.0	717.0	35.5
операции с недвижимым имуществом, аренда и предоставление услуг	308.0	3.0	33.0	53.0	62.0	45.0	51.0	44.0	8.0	4.0	5.0	301.0	36.3
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	7511.0	101.0	966.0	1486.0	1629.0	1416.0	953.0	531.0	254.0	104.0	71.0	7422.0	34.6
образование	7922.0	74.0	918.0	1375.0	1479.0	1350.0	1088.0	761.0	515.0	216.0	146.0	7653.0	36.5
здравоохранение и предоставление социальных услуг	5205.0	38.0	582.0	1025.0	1011.0	825.0	680.0	501.0	312.0	138.0	93.0	5034.0	36.2
предоставление прочих коммунальных, социальных и персональных услуг	1839.0	41.0	165.0	301.0	311.0	242.0	292.0	221.0	161.0	66.0	39.0	1779.0	37.8
предоставление услуг по ведению домашнего хозяйства	18.0	-	3.0	4.0	1.0	2.0	4.0	4.0	-	-	-	18.0	35.8
деятельность экстерриториальных организаций	16.0	2.0	6.0	3.0	3.0	2.0	-	-	-	-	-	16.0	26.6
не распределенные по видам деятельности и неточно указавшие вид деятельности	690.0	21.0	78.0	97.0	115.0	105.0	109.0	80.0	51.0	20.0	14.0	671.0	37.1
Кабардино–Балкарская Республика													
Все население в возрасте 15-64 лет, занятое в экономике	282515.0	4125.0	29285.0	39171.0	38627.0	41229.0	45826.0	37387.0	28568.0	10903.0	7394.0	270706.0	38.7
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	28720.0	602.0	2277.0	3199.0	3580.0	4589.0	5531.0	4105.0	2909.0	1144.0	784.0	27714.0	39.5
рыболовство, рыбоводство	176.0	5.0	20.0	-	15.0	31.0	34.0	26.0	45.0	-	-	176.0	41.1
добыча полезных ископаемых	1926.0	13.0	101.0	212.0	293.0	213.0	326.0	315.0	223.0	151.0	79.0	1804.0	41.5
обрабатывающие производства	40719.0	907.0	4157.0	4937.0	4891.0	5913.0	6755.0	5868.0	4566.0	1666.0	1059.0	39036.0	39.1
производство и распределение электроэнергии, газа и воды	6744.0	17.0	474.0	707.0	795.0	856.0	1135.0	1153.0	916.0	424.0	267.0	6409.0	41.6
строительство	18951.0	241.0	1818.0	2404.0	2645.0	2559.0	3253.0	2631.0	2130.0	887.0	383.0	18448.0	39.2
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	36384.0	821.0	4069.0	4895.0	5064.0	6148.0	6224.0	4609.0	3072.0	930.0	552.0	35368.0	37.6
гостиницы и рестораны	7236.0	143.0	800.0	979.0	863.0	998.0	1343.0	1081.0	684.0	230.0	115.0	6990.0	38.4
транспорт и связь	25749.0	200.0	2089.0	3274.0	3698.0	3726.0	4517.0	3781.0	2803.0	1208.0	453.0	25133.0	39.5
финансовая деятельность	3239.0	23.0	381.0	698.0	487.0	501.0	377.0	318.0	287.0	113.0	54.0	3127.0	36.7
операции с недвижимым имуществом, аренда и предоставление услуг	9117.0	81.0	965.0	1379.0	1096.0	1199.0	1363.0	1197.0	1064.0	410.0	363.0	8614.0	39.3
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	23840.0	186.0	3430.0	5075.0	4389.0	3427.0	3092.0	2075.0	1344.0	483.0	339.0	23283.0	35.3
образование	40977.0	369.0	4644.0	6209.0	5839.0	5757.0	6083.0	5017.0	3997.0	1668.0	1394.0	38460.0	38.5
здравоохранение и предоставление социальных услуг	27767.0	149.0	2841.0	3744.0	3515.0	3920.0	4264.0	3761.0	3306.0	1183.0	1084.0	25838.0	39.6
предоставление прочих коммунальных, социальных и персональных услуг	10402.0	353.0	1131.0	1375.0	1403.0	1344.0	1425.0	1385.0	1146.0	388.0	452.0	9769.0	38.7
предоставление услуг по ведению домашнего хозяйства	132.0	-	15.0	15.0	10.0	-	52.0	28.0	4.0	4.0	4.0	124.0	40.2
деятельность экстерриториальных организаций	5.0	-	-	5.0	-	-	-	-	-	-	-	5.0	27.5
не распределенные по видам деятельности и неточно указавшие вид деятельности	431.0	15.0	73.0	64.0	44.0	48.0	52.0	37.0	72.0	14.0	12.0	408.0	37.6
Республика Калмыкия													
