4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудо-способном возрасте	Средний возраст
		15 – 19	20 – 24	25 – 29	30 – 34	35 – 39	40 – 44	45 – 49	50 – 54	55 – 59	60 – 64		
Центральный федеральный округ													
строительство	24605.0	725.0	2850.0	3391.0	2742.0	3135.0	3985.0	3675.0	2785.0	988.0	329.0	24143.0	38.4
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	59125.0	2422.0	8649.0	9544.0	8979.0	8454.0	8121.0	6616.0	4694.0	1080.0	566.0	57879.0	35.7
гостиницы и рестораны	7882.0	375.0	1043.0	857.0	794.0	862.0	1300.0	1250.0	1002.0	272.0	127.0	7496.0	38.4
транспорт и связь	32837.0	370.0	2595.0	3884.0	4621.0	4551.0	5762.0	5117.0	3999.0	1348.0	590.0	31814.0	39.7
финансовая деятельность	4309.0	20.0	411.0	506.0	635.0	589.0	785.0	649.0	554.0	105.0	55.0	4184.0	39.2
операции с недвижимым имуществом, аренда и предоставление услуг	22771.0	385.0	2493.0	2726.0	2621.0	2554.0	3335.0	3557.0	3296.0	1236.0	568.0	21715.0	39.9
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	31541.0	267.0	3696.0	4919.0	4898.0	4819.0	4822.0	3900.0	2691.0	1086.0	443.0	30542.0	37.6
образование	37280.0	390.0	2772.0	4081.0	4419.0	4998.0	5841.0	5649.0	5050.0	2412.0	1668.0	33914.0	41.2
здравоохранение и предоставление социальных услуг	32769.0	233.0	2456.0	4018.0	3984.0	4100.0	5101.0	5017.0	4691.0	1804.0	1365.0	30006.0	41.0
предоставление прочих коммунальных, социальных и персональных услуг	15800.0	346.0	1276.0	1738.0	2051.0	2011.0	2512.0	2440.0	2097.0	839.0	490.0	15028.0	40.3
предоставление услуг по ведению домашнего хозяйства	79.0	4.0	8.0	8.0	4.0	4.0	12.0	12.0	19.0	4.0	4.0	71.0	41.9
деятельность экстерриториальных организаций	16.0	-	-	4.0	-	8.0	-	-	4.0	-	-	16.0	38.8
не распределенные по видам деятельности и неточно указавшие вид деятельности	13423.0	312.0	1459.0	1783.0	1641.0	1681.0	1936.0	1822.0	1896.0	597.0	296.0	12881.0	39.1
Калужская область													
