4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ЗАНЯТИЯМ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудоспособном возрасте	Средний возраст
		15 - 19	20 - 24	25 - 29	30 - 34	35 - 39	40 - 44	45 - 49	50 - 54	55 - 59	60 - 64		
Центральный федеральный округ													
операторы, аппаратчики, машинисты установок и машин	73583.0	843.0	6196.0	8811.0	9359.0	10905.0	14347.0	12295.0	7703.0	2486.0	638.0	72654.0	39.3
неквалифицированные рабочие	60796.0	1448.0	5302.0	6329.0	6449.0	7880.0	11043.0	10622.0	8217.0	2351.0	1155.0	58676.0	40.1
занятые на военной службе	4672.0	18.0	511.0	741.0	866.0	860.0	890.0	449.0	231.0	61.0	45.0	4598.0	36.4
лица, неточно указавшие или не указавшие  занятия 	3287.0	68.0	338.0	436.0	470.0	442.0	479.0	442.0	411.0	133.0	68.0	3144.0	38.8
Липецкая область													
Все население в возрасте 15-64 лет, занятое в экономике 	489163.0	7395.0	46460.0	60351.0	60647.0	66779.0	84467.0	75575.0	59157.0	19104.0	9228.0	471881.0	39.4
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	50643.0	197.0	2261.0	4665.0	5646.0	7279.0	9208.0	9220.0	7953.0	2699.0	1515.0	48128.0	42.2
специалисты высшего уровня квалификации	68559.0	385.0	5968.0	9656.0	9275.0	9384.0	11032.0	9537.0	8285.0	3300.0	1737.0	64558.0	39.6
специалисты среднего уровня квалификации	58515.0	801.0	6473.0	7987.0	8058.0	7870.0	9306.0	8151.0	6854.0	1957.0	1058.0	56272.0	38.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	11717.0	282.0	1424.0	1389.0	1404.0	1481.0	2106.0	1650.0	1460.0	357.0	164.0	11256.0	38.5
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	58975.0	2083.0	8672.0	8941.0	8206.0	8250.0	8651.0	7345.0	4943.0	1263.0	621.0	57461.0	36.3
