7. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
										
	Всего	Имеющие образование							Не имеющие начального общего образования	Не указавшие уровень образования
не распределенные по видам деятельности и неточно указавшие вид деятельности	136.0	26.0	3.0	56.0	8.0	29.0	7.0	2.0	-	5.0
Эвенкийский автономный округ										
Все население, занятое в экономике	8453.0	1338.0	256.0	3514.0	1049.0	1608.0	595.0	92.0	1.0	-
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	588.0	50.0	14.0	188.0	53.0	159.0	97.0	27.0	-	-
рыболовство, рыбоводство	20.0	1.0	-	7.0	4.0	4.0	3.0	1.0	-	-
добыча полезных ископаемых	589.0	61.0	8.0	277.0	85.0	123.0	34.0	1.0	-	-
обрабатывающие производства	65.0	4.0	-	18.0	16.0	19.0	8.0	-	-	-
производство и распределение электроэнергии, газа и воды	526.0	30.0	12.0	204.0	137.0	97.0	38.0	7.0	1.0	-
строительство	339.0	24.0	10.0	145.0	63.0	69.0	24.0	4.0	-	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	560.0	47.0	15.0	248.0	83.0	124.0	40.0	3.0	-	-
гостиницы и рестораны	86.0	1.0	-	29.0	14.0	31.0	11.0	-	-	-
транспорт и связь	943.0	130.0	30.0	476.0	131.0	152.0	22.0	2.0	-	-
финансовая деятельность	137.0	43.0	7.0	61.0	5.0	19.0	1.0	1.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	1010.0	98.0	18.0	445.0	146.0	223.0	72.0	8.0	-	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	1314.0	407.0	85.0	491.0	98.0	188.0	39.0	6.0	-	-
образование	1093.0	287.0	26.0	389.0	82.0	198.0	95.0	16.0	-	-
здравоохранение и предоставление социальных услуг	823.0	100.0	15.0	427.0	91.0	128.0	56.0	6.0	-	-
предоставление прочих коммунальных, социальных и персональных услуг	281.0	51.0	14.0	91.0	35.0	63.0	24.0	3.0	-	-
предоставление услуг по ведению домашнего хозяйства	6.0	1.0	-	3.0	2.0	-	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	73.0	3.0	2.0	15.0	4.0	11.0	31.0	7.0	-	-
Иркутская область										
Все население, занятое в экономике	1041054.0	226317.0	32407.0	385241.0	138219.0	170106.0	76514.0	11222.0	589.0	439.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	106090.0	8397.0	1417.0	26866.0	25085.0	21290.0	18834.0	3972.0	207.0	22.0
рыболовство, рыбоводство	494.0	39.0	12.0	182.0	111.0	86.0	48.0	12.0	4.0	-
добыча полезных ископаемых	23865.0	3787.0	568.0	9495.0	3976.0	4041.0	1800.0	194.0	4.0	-
обрабатывающие производства	168125.0	29368.0	5046.0	65685.0	23727.0	30923.0	11875.0	1357.0	64.0	80.0
производство и распределение электроэнергии, газа и воды	29341.0	7212.0	985.0	11166.0	3566.0	4717.0	1514.0	168.0	-	13.0
строительство	62672.0	10927.0	1822.0	22730.0	9867.0	11040.0	5457.0	749.0	32.0	48.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	126406.0	22906.0	4956.0	51002.0	15380.0	23512.0	7630.0	903.0	73.0	44.0
гостиницы и рестораны	19068.0	1795.0	481.0	8116.0	3321.0	3652.0	1528.0	148.0	9.0	18.0
транспорт и связь	112420.0	17414.0	3345.0	44296.0	16067.0	22208.0	8039.0	993.0	20.0	38.0
финансовая деятельность	12663.0	6754.0	621.0	3868.0	519.0	781.0	101.0	13.0	-	6.0
операции с недвижимым имуществом, аренда и предоставление услуг	24495.0	10556.0	1221.0	6834.0	1906.0	2870.0	950.0	154.0	4.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	73955.0	28034.0	3357.0	24706.0	5813.0	9913.0	1839.0	251.0	15.0	27.0
образование	111330.0	44308.0	3911.0	37578.0	9080.0	10865.0	4905.0	612.0	20.0	51.0
здравоохранение и предоставление социальных услуг	80710.0	19632.0	1845.0	39620.0	7364.0	8016.0	3726.0	471.0	9.0	27.0
предоставление прочих коммунальных, социальных и персональных услуг	69845.0	10657.0	2135.0	26417.0	9931.0	12884.0	6716.0	990.0	64.0	51.0
предоставление услуг по ведению домашнего хозяйства	441.0	56.0	20.0	155.0	56.0	98.0	52.0	4.0	-	-
деятельность экстерриториальных организаций	47.0	15.0	4.0	8.0	4.0	16.0	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	19087.0	4460.0	661.0	6517.0	2446.0	3194.0	1500.0	231.0	64.0	14.0
Усть-Ордынский Бурятский автономный округ										
Все население, занятое в экономике	41434.0	6960.0	869.0	12031.0	7702.0	8053.0	4698.0	1032.0	76.0	13.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	14682.0	876.0	132.0	2448.0	3789.0	3424.0	3149.0	786.0	71.0	7.0
рыболовство, рыбоводство	17.0	1.0	-	3.0	7.0	3.0	3.0	-	-	-
добыча полезных ископаемых	403.0	47.0	6.0	133.0	97.0	100.0	14.0	6.0	-	-
обрабатывающие производства	1193.0	116.0	19.0	318.0	276.0	270.0	167.0	24.0	2.0	1.0
производство и распределение электроэнергии, газа и воды	456.0	72.0	8.0	154.0	96.0	94.0	27.0	5.0	-	-
строительство	1181.0	102.0	20.0	294.0	344.0	280.0	114.0	26.0	-	1.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	3076.0	345.0	63.0	1250.0	561.0	634.0	192.0	29.0	2.0	-
гостиницы и рестораны	476.0	16.0	6.0	144.0	145.0	109.0	48.0	8.0	-	-
транспорт и связь	1425.0	101.0	21.0	489.0	355.0	359.0	90.0	10.0	-	-
финансовая деятельность	380.0	203.0	18.0	115.0	15.0	27.0	1.0	1.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	708.0	77.0	16.0	211.0	164.0	155.0	69.0	16.0	-	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	4124.0	1534.0	208.0	1212.0	401.0	653.0	104.0	11.0	-	1.0
образование	8055.0	2594.0	238.0	2779.0	852.0	1126.0	409.0	56.0	1.0	-
здравоохранение и предоставление социальных услуг	3986.0	631.0	65.0	2068.0	448.0	520.0	215.0	38.0	-	1.0
предоставление прочих коммунальных, социальных и персональных услуг	1156.0	237.0	46.0	392.0	144.0	263.0	64.0	10.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	116.0	8.0	3.0	21.0	8.0	36.0	32.0	6.0	-	2.0
Кемеровская область										
Все население, занятое в экономике	1200097.0	226267.0	30655.0	464178.0	220127.0	175391.0	70427.0	12667.0	302.0	83.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	52325.0	3009.0	491.0	12177.0	13567.0	10827.0	9708.0	2446.0	100.0	-
рыболовство, рыбоводство	84.0	28.0	-	25.0	21.0	5.0	5.0	-	-	-
добыча полезных ископаемых	150934.0	18661.0	3008.0	63743.0	33575.0	24137.0	6661.0	1149.0	-	-
обрабатывающие производства	184650.0	31069.0	4250.0	72005.0	37594.0	27351.0	10601.0	1749.0	31.0	-
производство и распределение электроэнергии, газа и воды	43537.0	6274.0	964.0	17655.0	8328.0	6898.0	2851.0	558.0	9.0	-
строительство	69101.0	9680.0	1420.0	24529.0	15631.0	10798.0	6008.0	1011.0	18.0	6.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	149332.0	23919.0	4758.0	61782.0	26523.0	23076.0	8087.0	1125.0	62.0	-
гостиницы и рестораны	29345.0	2425.0	687.0	11633.0	7478.0	4839.0	1964.0	315.0	4.0	-
транспорт и связь	125416.0	13060.0	2875.0	51156.0	27406.0	22208.0	7479.0	1224.0	8.0	-
финансовая деятельность	11492.0	5917.0	518.0	3548.0	590.0	747.0	156.0	16.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	71028.0	12828.0	2040.0	25664.0	13132.0	11037.0	5270.0	1018.0	39.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	61033.0	22598.0	2534.0	21015.0	5929.0	7586.0	1226.0	140.0	5.0	-
образование	109760.0	45850.0	3630.0	35897.0	10658.0	9376.0	3736.0	601.0	4.0	8.0
здравоохранение и предоставление социальных услуг	93773.0	21253.0	1751.0	45145.0	12186.0	8994.0	3799.0	641.0	4.0	-
предоставление прочих коммунальных, социальных и персональных услуг	38406.0	7512.0	1329.0	14549.0	6103.0	6121.0	2301.0	482.0	9.0	-
предоставление услуг по ведению домашнего хозяйства	215.0	28.0	-	60.0	46.0	49.0	16.0	16.0	-	-
деятельность экстерриториальных организаций	40.0	12.0	-	16.0	-	4.0	8.0	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	9626.0	2144.0	400.0	3579.0	1360.0	1338.0	551.0	176.0	9.0	69.0
Новосибирская область										
Все население, занятое в экономике	1159467.0	284854.0	40290.0	398422.0	178339.0	164130.0	78669.0	14189.0	568.0	6.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	112096.0	5660.0	820.0	24229.0	31322.0	22641.0	21652.0	5533.0	239.0	-
рыболовство, рыбоводство	785.0	80.0	25.0	175.0	251.0	138.0	91.0	21.0	4.0	-
добыча полезных ископаемых	7146.0	841.0	113.0	2574.0	1816.0	1288.0	421.0	93.0	-	-
обрабатывающие производства	201108.0	39845.0	6074.0	74391.0	34269.0	30499.0	13887.0	2099.0	43.0	1.0
производство и распределение электроэнергии, газа и воды	32140.0	6104.0	748.0	11627.0	5841.0	4831.0	2433.0	551.0	5.0	-
строительство	84076.0	15751.0	2407.0	28499.0	16293.0	13056.0	6835.0	1214.0	21.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	186060.0	43555.0	8859.0	70927.0	24249.0	28075.0	9075.0	1166.0	153.0	1.0
гостиницы и рестораны	31135.0	3082.0	1123.0	12572.0	6156.0	5493.0	2412.0	285.0	12.0	-
транспорт и связь	119657.0	20154.0	3369.0	44881.0	21657.0	20310.0	8161.0	1097.0	27.0	1.0
финансовая деятельность	14617.0	8422.0	780.0	3735.0	759.0	816.0	93.0	12.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	70798.0	31477.0	3801.0	18814.0	6167.0	7437.0	2679.0	423.0	-	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	70444.0	27710.0	3479.0	23183.0	6101.0	8341.0	1458.0	172.0	-	-
образование	96486.0	47515.0	4357.0	26863.0	7107.0	7215.0	2987.0	433.0	6.0	3.0
здравоохранение и предоставление социальных услуг	80828.0	22463.0	1971.0	37426.0	9008.0	6457.0	2991.0	489.0	23.0	-
предоставление прочих коммунальных, социальных и персональных услуг	41326.0	8501.0	1760.0	15026.0	6235.0	6249.0	3024.0	520.0	11.0	-
предоставление услуг по ведению домашнего хозяйства	528.0	45.0	17.0	180.0	101.0	118.0	59.0	8.0	-	-
деятельность экстерриториальных организаций	28.0	8.0	4.0	8.0	-	-	8.0	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	10209.0	3641.0	583.0	3312.0	1007.0	1166.0	403.0	73.0	24.0	-
Омская область										
Все население, занятое в экономике	827109.0	180500.0	20463.0	300758.0	135552.0	128895.0	51564.0	9000.0	337.0	40.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	105849.0	5712.0	715.0	22553.0	30517.0	22414.0	19245.0	4498.0	192.0	3.0
рыболовство, рыбоводство	166.0	20.0	-	45.0	33.0	52.0	16.0	-	-	-
добыча полезных ископаемых	5024.0	611.0	114.0	2055.0	1079.0	865.0	267.0	33.0	-	-
обрабатывающие производства	136116.0	26977.0	3226.0	51973.0	23314.0	22869.0	6826.0	905.0	26.0	-
производство и распределение электроэнергии, газа и воды	20783.0	4379.0	431.0	7885.0	3871.0	3234.0	879.0	96.0	8.0	-
строительство	60584.0	8681.0	1181.0	22501.0	12762.0	10526.0	4271.0	656.0	6.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	115655.0	22327.0	4000.0	48923.0	15828.0	18699.0	5174.0	641.0	63.0	-
гостиницы и рестораны	17897.0	1441.0	431.0	7386.0	3867.0	3410.0	1221.0	141.0	-	-
транспорт и связь	73391.0	10119.0	1580.0	29716.0	14019.0	13402.0	4009.0	535.0	11.0	-
финансовая деятельность	9285.0	4622.0	399.0	3019.0	473.0	694.0	70.0	8.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	39388.0	11986.0	1312.0	12898.0	5302.0	5704.0	1864.0	315.0	7.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	52778.0	20929.0	2241.0	17768.0	4367.0	6560.0	809.0	104.0	-	-
образование	81520.0	37635.0	2429.0	24693.0	6844.0	7170.0	2384.0	360.0	5.0	-
здравоохранение и предоставление социальных услуг	67844.0	16074.0	1095.0	34012.0	7327.0	6562.0	2451.0	309.0	14.0	-
предоставление прочих коммунальных, социальных и персональных услуг	30492.0	6255.0	1019.0	11523.0	4621.0	5153.0	1630.0	282.0	5.0	4.0
предоставление услуг по ведению домашнего хозяйства	309.0	64.0	4.0	136.0	36.0	53.0	4.0	12.0	-	-
деятельность экстерриториальных организаций	24.0	8.0	-	4.0	-	12.0	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	10004.0	2660.0	286.0	3668.0	1292.0	1516.0	444.0	105.0	-	33.0
Томская область										
Все население, занятое в экономике	430823.0	113194.0	18830.0	156684.0	58387.0	57037.0	22722.0	3849.0	116.0	4.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	29118.0	1873.0	404.0	8387.0	7675.0	4778.0	4753.0	1217.0	31.0	-
рыболовство, рыбоводство	388.0	27.0	1.0	140.0	114.0	52.0	45.0	9.0	-	-
добыча полезных ископаемых	13505.0	3808.0	549.0	4670.0	2043.0	1966.0	424.0	45.0	-	-
обрабатывающие производства	74171.0	17252.0	2907.0	27840.0	10550.0	10728.0	4263.0	609.0	19.0	3.0
производство и распределение электроэнергии, газа и воды	9797.0	2335.0	391.0	3947.0	1447.0	1211.0	384.0	82.0	-	-
строительство	32185.0	6511.0	1527.0	11354.0	5218.0	5098.0	2163.0	314.0	-	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	56640.0	11573.0	3412.0	23282.0	7368.0	8316.0	2351.0	321.0	17.0	-
гостиницы и рестораны	9149.0	1054.0	522.0	3924.0	1583.0	1424.0	572.0	64.0	6.0	-
транспорт и связь	41012.0	5804.0	1366.0	17238.0	7006.0	6897.0	2338.0	361.0	2.0	-
финансовая деятельность	5527.0	3087.0	349.0	1524.0	241.0	290.0	36.0	-	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	33134.0	10538.0	1667.0	10419.0	4336.0	4165.0	1671.0	319.0	19.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	30448.0	11587.0	1732.0	10315.0	2586.0	3509.0	616.0	96.0	7.0	-
образование	48918.0	24610.0	2198.0	13508.0	3620.0	3581.0	1260.0	134.0	7.0	-
здравоохранение и предоставление социальных услуг	33694.0	9608.0	948.0	15583.0	3099.0	2998.0	1271.0	179.0	7.0	1.0
предоставление прочих коммунальных, социальных и персональных услуг	11254.0	3033.0	764.0	3877.0	1262.0	1744.0	495.0	79.0	-	-
предоставление услуг по ведению домашнего хозяйства	202.0	22.0	10.0	76.0	33.0	40.0	15.0	5.0	1.0	-
деятельность экстерриториальных организаций	16.0	8.0	-	8.0	-	-	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	1665.0	464.0	83.0	592.0	206.0	240.0	65.0	15.0	-	-
Читинская область										
Все население, занятое в экономике	410344.0	78552.0	10474.0	144035.0	54363.0	79746.0	36673.0	6191.0	186.0	124.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	39847.0	2200.0	384.0	8053.0	8493.0	9372.0	8866.0	2391.0	69.0	19.0
рыболовство, рыбоводство	53.0	16.0	1.0	11.0	8.0	9.0	8.0	-	-	-
добыча полезных ископаемых	22622.0	2486.0	324.0	8053.0	4054.0	5357.0	2119.0	221.0	-	8.0
обрабатывающие производства	19096.0	2176.0	399.0	6622.0	3261.0	4146.0	2139.0	334.0	13.0	6.0
производство и распределение электроэнергии, газа и воды	11445.0	1816.0	280.0	4576.0	1516.0	2314.0	816.0	114.0	4.0	9.0
строительство	19157.0	2338.0	401.0	6288.0	3562.0	3952.0	2296.0	303.0	7.0	10.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	42036.0	6275.0	1507.0	16696.0	5262.0	8861.0	3012.0	394.0	19.0	10.0
гостиницы и рестораны	6345.0	366.0	180.0	2501.0	1142.0	1408.0	658.0	81.0	5.0	4.0
транспорт и связь	55749.0	7081.0	1468.0	21076.0	8290.0	13063.0	4236.0	502.0	22.0	11.0
финансовая деятельность	4678.0	1983.0	278.0	1634.0	274.0	430.0	67.0	11.0	1.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	25807.0	3534.0	530.0	8537.0	3907.0	5890.0	2874.0	510.0	6.0	19.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	53877.0	18934.0	1831.0	17854.0	4296.0	8682.0	1977.0	288.0	5.0	10.0
образование	51615.0	18026.0	1495.0	16932.0	4327.0	7137.0	3225.0	464.0	-	9.0
здравоохранение и предоставление социальных услуг	40361.0	8178.0	846.0	19193.0	3776.0	5365.0	2643.0	328.0	26.0	6.0
предоставление прочих коммунальных, социальных и персональных услуг	12607.0	2168.0	400.0	4387.0	1625.0	2649.0	1218.0	155.0	4.0	1.0
предоставление услуг по ведению домашнего хозяйства	56.0	11.0	-	8.0	-	23.0	10.0	4.0	-	-
деятельность экстерриториальных организаций	20.0	4.0	-	8.0	4.0	4.0	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	4973.0	960.0	150.0	1606.0	566.0	1084.0	509.0	91.0	5.0	2.0
Агинский Бурятский автономный округ										
Все население, занятое в экономике	20965.0	4920.0	718.0	5845.0	1938.0	5667.0	1652.0	214.0	8.0	3.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	4114.0	317.0	59.0	643.0	576.0	1804.0	603.0	107.0	5.0	-
рыболовство, рыбоводство	1.0	-	1.0	-	-	-	-	-	-	-
добыча полезных ископаемых	479.0	66.0	5.0	147.0	62.0	118.0	72.0	8.0	-	1.0
обрабатывающие производства	469.0	70.0	14.0	136.0	63.0	127.0	55.0	4.0	-	-
производство и распределение электроэнергии, газа и воды	565.0	47.0	15.0	201.0	66.0	178.0	52.0	6.0	-	-
строительство	775.0	84.0	18.0	166.0	117.0	275.0	108.0	6.0	1.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	1724.0	254.0	77.0	650.0	174.0	478.0	81.0	10.0	-	-
гостиницы и рестораны	416.0	30.0	14.0	122.0	58.0	141.0	44.0	7.0	-	-
транспорт и связь	953.0	100.0	16.0	317.0	128.0	300.0	81.0	11.0	-	-
финансовая деятельность	164.0	58.0	13.0	57.0	6.0	27.0	1.0	2.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	255.0	69.0	9.0	89.0	16.0	64.0	7.0	1.0	-	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	2682.0	1058.0	146.0	684.0	146.0	525.0	112.0	11.0	-	-
образование	4992.0	2018.0	245.0	1274.0	290.0	925.0	214.0	26.0	-	-
здравоохранение и предоставление социальных услуг	2126.0	446.0	34.0	1027.0	133.0	372.0	105.0	8.0	1.0	-
предоставление прочих коммунальных, социальных и персональных услуг	1172.0	285.0	48.0	318.0	95.0	308.0	111.0	6.0	1.0	-
предоставление услуг по ведению домашнего хозяйства	5.0	-	-	-	-	3.0	2.0	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	73.0	18.0	4.0	14.0	8.0	22.0	4.0	1.0	-	2.0
Дальневосточный федеральный округ										
Все население, занятое в экономике	2869370.0	657717.0	83343.0	1081621.0	407283.0	442967.0	168733.0	23459.0	784.0	3463.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	155235.0	13942.0	2246.0	39889.0	37032.0	31536.0	25004.0	5192.0	197.0	197.0
рыболовство, рыбоводство	58725.0	8625.0	1336.0	26810.0	9699.0	8948.0	2899.0	325.0	20.0	63.0
добыча полезных ископаемых	102723.0	14847.0	2473.0	38067.0	20064.0	20701.0	5735.0	759.0	10.0	67.0
обрабатывающие производства	282873.0	48304.0	6816.0	110640.0	46461.0	47959.0	19883.0	2536.0	22.0	252.0
производство и распределение электроэнергии, газа и воды	91337.0	17444.0	2212.0	35870.0	14804.0	15136.0	5180.0	631.0	8.0	52.0
строительство	185105.0	29278.0	4627.0	68695.0	34704.0	30519.0	15089.0	1907.0	37.0	249.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	369256.0	67856.0	12869.0	152907.0	49923.0	64266.0	18915.0	1957.0	133.0	430.0
гостиницы и рестораны	65888.0	6542.0	1865.0	27172.0	12109.0	12688.0	4960.0	437.0	10.0	105.0
транспорт и связь	349127.0	58311.0	9855.0	144281.0	55871.0	59542.0	18601.0	2263.0	46.0	357.0
финансовая деятельность	34785.0	18035.0	1764.0	10700.0	1487.0	2441.0	311.0	20.0	-	27.0
операции с недвижимым имуществом, аренда и предоставление услуг	147398.0	36577.0	4793.0	49470.0	21224.0	24360.0	9276.0	1433.0	95.0	170.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	337048.0	130252.0	12082.0	115146.0	29274.0	40670.0	8332.0	1034.0	13.0	245.0
образование	284422.0	120503.0	10014.0	88036.0	23625.0	29745.0	10854.0	1391.0	48.0	206.0
здравоохранение и предоставление социальных услуг	216989.0	53224.0	4232.0	104231.0	21872.0	22676.0	9428.0	1119.0	37.0	170.0
предоставление прочих коммунальных, социальных и персональных услуг	157990.0	26596.0	4880.0	58529.0	25575.0	27160.0	12738.0	2214.0	79.0	219.0
предоставление услуг по ведению домашнего хозяйства	611.0	110.0	22.0	226.0	111.0	88.0	48.0	5.0	1.0	-
деятельность экстерриториальных организаций	455.0	145.0	24.0	148.0	41.0	73.0	22.0	1.0	-	1.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	29403.0	7126.0	1233.0	10804.0	3407.0	4459.0	1458.0	235.0	28.0	653.0
Республика Саха (Якутия)										
Все население, занятое в экономике	418585.0	86522.0	13451.0	155506.0	55506.0	85085.0	19052.0	2805.0	172.0	486.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	25221.0	1802.0	378.0	6012.0	5029.0	8368.0	2901.0	613.0	52.0	66.0
рыболовство, рыбоводство	1129.0	43.0	22.0	251.0	190.0	355.0	214.0	53.0	1.0	-
добыча полезных ископаемых	38090.0	6578.0	1231.0	14423.0	6190.0	8078.0	1389.0	172.0	4.0	25.0
обрабатывающие производства	17645.0	2911.0	565.0	6674.0	2628.0	3766.0	946.0	133.0	-	22.0
производство и распределение электроэнергии, газа и воды	14951.0	2430.0	321.0	6003.0	2215.0	3129.0	757.0	83.0	5.0	8.0
строительство	26541.0	4260.0	781.0	9607.0	4488.0	5797.0	1405.0	149.0	10.0	44.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	43967.0	5926.0	1420.0	18471.0	5907.0	10005.0	1928.0	216.0	28.0	66.0
гостиницы и рестораны	7992.0	578.0	181.0	3298.0	1352.0	1994.0	527.0	35.0	3.0	24.0
транспорт и связь	47009.0	6172.0	1288.0	19833.0	7036.0	10161.0	2244.0	237.0	-	38.0
финансовая деятельность	5735.0	2664.0	332.0	1927.0	253.0	511.0	44.0	4.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	43708.0	7143.0	1121.0	14853.0	7248.0	9880.0	2944.0	451.0	29.0	39.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	31122.0	11572.0	1586.0	9979.0	2497.0	4980.0	423.0	65.0	1.0	19.0
образование	64344.0	23508.0	2923.0	20206.0	5623.0	10051.0	1717.0	238.0	21.0	57.0
здравоохранение и предоставление социальных услуг	35360.0	7351.0	687.0	18024.0	3025.0	4978.0	1029.0	213.0	15.0	38.0
предоставление прочих коммунальных, социальных и персональных услуг	13896.0	3270.0	560.0	5259.0	1546.0	2617.0	492.0	126.0	3.0	23.0
предоставление услуг по ведению домашнего хозяйства	89.0	20.0	-	24.0	21.0	16.0	4.0	4.0	-	-
деятельность экстерриториальных организаций	22.0	-	-	8.0	6.0	8.0	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	1764.0	294.0	55.0	654.0	252.0	391.0	88.0	13.0	-	17.0
Приморский край										
Все население, занятое в экономике	868386.0	208983.0	25096.0	335010.0	121381.0	120750.0	48074.0	7045.0	262.0	1785.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	40181.0	3704.0	555.0	10598.0	10138.0	7305.0	6377.0	1410.0	50.0	44.0
рыболовство, рыбоводство	31631.0	5238.0	827.0	14683.0	4916.0	4657.0	1140.0	97.0	18.0	55.0
добыча полезных ископаемых	15718.0	1989.0	278.0	6312.0	3680.0	2283.0	953.0	206.0	1.0	16.0
обрабатывающие производства	102669.0	17117.0	2175.0	40384.0	17159.0	17381.0	7281.0	1003.0	4.0	165.0
производство и распределение электроэнергии, газа и воды	21003.0	4269.0	477.0	8497.0	3615.0	2790.0	1196.0	148.0	-	11.0
строительство	50693.0	8228.0	1261.0	19399.0	8981.0	7673.0	4376.0	640.0	20.0	115.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	122929.0	25125.0	4467.0	50197.0	15753.0	20462.0	5989.0	642.0	27.0	267.0
гостиницы и рестораны	22888.0	2698.0	811.0	9493.0	3846.0	4214.0	1596.0	153.0	2.0	75.0
транспорт и связь	114491.0	23055.0	3341.0	48171.0	17554.0	16228.0	5264.0	665.0	21.0	192.0
финансовая деятельность	10422.0	5577.0	501.0	3089.0	486.0	662.0	81.0	4.0	-	22.0
операции с недвижимым имуществом, аренда и предоставление услуг	34999.0	11395.0	1376.0	11126.0	4275.0	4485.0	1870.0	332.0	57.0	83.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	103592.0	39264.0	3149.0	36523.0	9548.0	11898.0	2788.0	309.0	-	113.0
образование	74889.0	33145.0	2475.0	24137.0	6076.0	6026.0	2627.0	320.0	2.0	81.0
здравоохранение и предоставление социальных услуг	60280.0	17017.0	1273.0	27929.0	5996.0	5388.0	2301.0	304.0	3.0	69.0
предоставление прочих коммунальных, социальных и персональных услуг	51213.0	8749.0	1624.0	20304.0	8171.0	7741.0	3688.0	752.0	39.0	145.0
предоставление услуг по ведению домашнего хозяйства	265.0	63.0	17.0	92.0	37.0	41.0	14.0	-	1.0	-
деятельность экстерриториальных организаций	170.0	65.0	4.0	53.0	9.0	30.0	9.0	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	10353.0	2285.0	485.0	4023.0	1141.0	1486.0	524.0	60.0	17.0	332.0
Хабаровский край										
