1. НАСЕЛЕНИЕ ПО ТИПАМ ЗАНИМАЕМЫХ ЖИЛЫХ ПОМЕЩЕНИЙ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Городские и сельские населенные пункты	Городские населенные пункты	Сельские населенные пункты	В процентах		
				городские и сельские населенные пункты	городские населенные пункты	сельские населенные пункты
Российская Федерация						
в других жилых помещениях	506.0	192.0	314.0	0.0370045882764	0.0173472291867	0.120494410825
бездомные	317.0	259.0	58.0	0.0231827163708	0.0234006893717	0.022256929388
не указали тип жилого помещения	3544.0	3244.0	300.0	0.25917838113	0.293095893134	0.115122048558
г. Москва						
Все население	10382754.0	10382754.0	-	100.0	100.0	-
в том числе проживает:						
в индивидуальных домах	24765.0	24765.0	-	0.238520531258	0.238520531258	-
в отдельных квартирах	8691791.0	8691791.0	-	83.7137333698	83.7137333698	-
в коммунальных квартирах	315150.0	315150.0	-	3.03532184236	3.03532184236	-
в общежитиях	337114.0	337114.0	-	3.3	3.3	-
в институциональных учреждениях	61126.0	61126.0	-	0.588726266653	0.588726266653	-
в гостиницах	19867.0	19867.0	-	0.191346149586	0.191346149586	-
в других жилых помещениях	788151.0	788151.0	-	7.59096286014	7.59096286014	-
бездомные	23972.0	23972.0	-	0.230882865953	0.230882865953	-
не указали тип жилого помещения	120818.0	120818.0	-	1.16364116881	1.16364116881	-
Северо-Западный федеральный округ						
Все население	13974466.0	11502402.0	2472064.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	1424043.0	465463.0	958580.0	10.1903214048	4.04665912389	38.7765041682
в отдельных квартирах	11021108.0	9618263.0	1402845.0	78.8660403911	83.6196039749	56.8
в коммунальных квартирах	633345.0	618776.0	14569.0	4.53215886747	5.37953724796	0.589345583286
в общежитиях	475284.0	457820.0	17464.0	3.40108881441	3.98021213308	0.706454201833
в институциональных учреждениях	289665.0	225816.0	63849.0	2.07281623498	1.96320733704	2.58282148035
в гостиницах	3200.0	2581.0	619.0	0.0228989071926	0.0224387914802	0.0250398047947
в других жилых помещениях	25374.0	20105.0	5269.0	0.18157402222	0.174789578733	0.213141730958
бездомные	35821.0	34992.0	829.0	0.2	0.304214719673	0.0335347304924
не указали тип жилого помещения	66626.0	58586.0	8040.0	0.476769559567	0.509337093244	0.325234298141
Республика Карелия						
Все население	716281.0	537395.0	178886.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	62877.0	22833.0	40044.0	8.77825881184	4.248830004	22.3852062207
в отдельных квартирах	604266.0	470515.0	133751.0	84.3	87.5547781427	74.7688471988
в коммунальных квартирах	4951.0	4669.0	282.0	0.691209176287	0.868820885941	0.157642297329
в общежитиях	26746.0	26168.0	578.0	3.73400941809	4.8694163511	0.323110808001
в институциональных учреждениях	14523.0	11037.0	3486.0	2.02755622444	2.0	1.9487271223
в гостиницах	99.0	95.0	4.0	0.0138213913255	0.0176778719564	0.00223606095502
в других жилых помещениях	475.0	204.0	271.0	0.0663147563596	0.0379609039905	0.151493129703
бездомные	444.0	394.0	50.0	0.0619868459445	0.0733166479033	0.0279507619378
не указали тип жилого помещения	1900.0	1480.0	420.0	0.265259025438	0.275402636794	0.234786400277
Республика Коми						
Все население	1018674.0	766587.0	252087.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	123641.0	17685.0	105956.0	12.1374453456	2.30697885563	42.0315208638
в отдельных квартирах	808440.0	675923.0	132517.0	79.3619941218	88.1730318933	52.5679626478
в коммунальных квартирах	6338.0	5670.0	668.0	0.62218138482	0.73964207585	0.264987881168
в общежитиях	49722.0	46028.0	3694.0	4.88105124898	6.00427609652	1.46536711532
в институциональных учреждениях	25500.0	16783.0	8717.0	2.5032542305	2.18931445485	3.4
в гостиницах	149.0	112.0	37.0	0.0146268580527	0.014610213844	0.0146774724599
в других жилых помещениях	2475.0	2281.0	194.0	0.242962910607	0.297552658733	0.0769575583033
бездомные	562.0	475.0	87.0	0.0551697599036	0.0619629604989	0.034511894703
не указали тип жилого помещения	1847.0	1630.0	217.0	0.181314139754	0.212630790765	0.0860813925351
Архангельская область						
Все население	1336539.0	999591.0	336948.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	178959.0	50938.0	128021.0	13.3897327351	5.09588421664	37.9942899201
в отдельных квартирах	1053949.0	859152.0	194797.0	78.8565840578	85.9503536947	57.8121846694
в коммунальных квартирах	30730.0	29495.0	1235.0	2.29922209528	2.9507068391	0.366525398578
в общежитиях	35065.0	33805.0	1260.0	2.62356728835	3.38188319022	0.373944941059
в институциональных учреждениях	33324.0	23362.0	9962.0	2.49330547032	2.33715589676	2.9
в гостиницах	81.0	55.0	26.0	0.00606042921306	0.00550225042042	0.00771632418059
в других жилых помещениях	1451.0	470.0	981.0	0.108563985039	0.0470192308654	0.291142846967
бездомные	481.0	397.0	84.0	0.0359884747097	0.0397162439438	0.0249296627373
не указали тип жилого помещения	2499.0	1917.0	582.0	0.18697546424	0.191778437381	0.172726948965
Ненецкий автономный округ						
Все население	41546.0	26242.0	15304.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	8917.0	1691.0	7226.0	21.4629567227	6.44386860758	47.2164140094
в отдельных квартирах	29030.0	21950.0	7080.0	69.8743561354	83.7	46.2624150549
в коммунальных квартирах	198.0	146.0	52.0	0.47658017619	0.556360033534	0.4
в общежитиях	1753.0	1732.0	21.0	4.21941943869	6.60010669918	0.137219027705
в институциональных учреждениях	679.0	479.0	200.0	1.63433302845	1.82531819221	1.30684788291
в гостиницах	3.0	-	3.0	0.00722091176046	-	0.0196027182436
в других жилых помещениях	910.0	207.0	703.0	2.19034323401	0.788811828367	4.59357030842
бездомные	-	-	-	-	-	-
не указали тип жилого помещения	56.0	37.0	19.0	0.134790352862	0.140995350964	0.124150548876
Вологодская область						
Все население	1269568.0	876572.0	392996.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	218615.0	48199.0	170416.0	17.2196369159	5.49857855373	43.3632912294
в отдельных квартирах	959016.0	745309.0	213707.0	75.6	85.0254171933	54.3789249763
в коммунальных квартирах	15081.0	13860.0	1221.0	1.18788438272	1.58115933432	0.310690185142
в общежитиях	51186.0	49187.0	1999.0	4.03176513586	5.61129034466	0.508656576657
в институциональных учреждениях	20852.0	16174.0	4678.0	1.7	1.9	1.19034290425
в гостиницах	105.0	83.0	22.0	0.00827052981802	0.00946870308429	0.00559802135391
в других жилых помещениях	282.0	141.0	141.0	0.0222122800827	0.0160853871673	0.0358782277682
бездомные	1768.0	1621.0	147.0	0.139259968745	0.184924912044	0.0374049608647
не указали тип жилого помещения	2663.0	1998.0	665.0	0.209756389575	0.227933358583	0.169212918198
Калининградская область						
Все население	955281.0	741487.0	213794.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	113180.0	33722.0	79458.0	11.8478227872	4.54788823	37.1656828536
в отдельных квартирах	753439.0	628895.0	124544.0	78.8709290774	84.8153777477	58.2542073211
в коммунальных квартирах	13931.0	12774.0	1157.0	1.45831435986	1.72275441107	0.541175149911
в общежитиях	34771.0	33023.0	1748.0	3.63987140956	4.45361820234	0.817609474541
в институциональных учреждениях	30131.0	24892.0	5239.0	3.15415045416	3.35703795212	2.4
в гостиницах	426.0	389.0	37.0	0.0445942084057	0.0	0.0173063790378
в других жилых помещениях	4769.0	3760.0	1009.0	0.499224835415	0.507089133053	0.47194963376
бездомные	1256.0	1202.0	54.0	0.131479637929	0.16210668562	0.0252579585957
не указали тип жилого помещения	3378.0	2830.0	548.0	0.353613230034	0.381665491101	0.256321505749
Ленинградская область						
Все население	1669205.0	1108762.0	560443.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	218604.0	85824.0	132780.0	13.0962943437	7.74052501799	23.6919722434
в отдельных квартирах	1327401.0	932653.0	394748.0	79.5229465524	84.1166093355	70.4349951735
в коммунальных квартирах	37660.0	29430.0	8230.0	2.25616386244	2.65431174589	1.46848118364
в общежитиях	33283.0	27010.0	6273.0	1.99394322447	2.43605029754	1.11929313061
в институциональных учреждениях	33780.0	22823.0	10957.0	2.02371787767	2.05842191561	1.95506055031
в гостиницах	640.0	212.0	428.0	0.0383416057345	0.0191204244013	0.0763681587601
в других жилых помещениях	3880.0	1663.0	2217.0	0.232445984765	0.2	0.395579925166
бездомные	1178.0	899.0	279.0	0.070572518055	0.0810814223431	0.0497820474161
не указали тип жилого помещения	12779.0	8248.0	4531.0	0.765574030751	0.743892738027	0.808467587248
Мурманская область						
Все население	892534.0	823215.0	69319.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	4312.0	2132.0	2180.0	0.483118850374	0.258984590903	3.14488091288
в отдельных квартирах	822228.0	765642.0	56586.0	92.1228771117	93.0063227711	81.6312987781
в коммунальных квартирах	11060.0	10828.0	232.0	1.23916847986	1.31533074592	0.334684574215
в общежитиях	14820.0	14211.0	609.0	1.6	1.7262804978	0.878547007314
в институциональных учреждениях	35512.0	26158.0	9354.0	3.97878400151	3.17754171146	13.4941358069
в гостиницах	140.0	93.0	47.0	0.0156856769602	0.0112971702411	0.067802478397
в других жилых помещениях	1462.0	1286.0	176.0	0.163803283684	0.1	0.253898642508
бездомные	574.0	567.0	7.0	0.0643112755368	0.0688762959859	0.0100982414634
не указали тип жилого помещения	2426.0	2298.0	128.0	0.27181037361	0.279149432408	0.184653558188
Новгородская область						
Все население	694355.0	484920.0	209435.0	100.0	100.0	100.0
в том числе проживает:						
