1. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ													
													
													
	Всего	в том числе в возрасте, лет										В трудоспо-собном возрасте	Средний возраст
		15 – 19	20 – 24	25 – 29	30 – 34	35 – 39	40 – 44	45 – 49	50 – 54	55 – 59	60 – 64		
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	529160.0	12814.0	51151.0	61101.0	56527.0	63985.0	89859.0	86060.0	68504.0	26606.0	12553.0	516317.0	39.9
рыболовство, рыбоводство	78804.0	632.0	6329.0	10333.0	10957.0	11816.0	13684.0	11760.0	8609.0	3080.0	1604.0	77194.0	39.4
добыча полезных ископаемых	848413.0	7440.0	76940.0	109381.0	101972.0	109063.0	154050.0	140576.0	102461.0	32856.0	13674.0	834695.0	39.6
обрабатывающие производства	5640812.0	122220.0	642153.0	728085.0	601328.0	611763.0	808857.0	825166.0	745029.0	345657.0	210554.0	5428835.0	39.9
производство и распределение электроэнергии, газа и воды	790218.0	6323.0	59532.0	90173.0	87401.0	91894.0	126259.0	130593.0	116642.0	52576.0	28825.0	761358.0	41.4
строительство	2838874.0	64411.0	306406.0	369429.0	335552.0	363663.0	466777.0	420327.0	325604.0	126967.0	59738.0	2778104.0	39.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	2673590.0	85828.0	372671.0	474525.0	453875.0	388513.0	367133.0	263140.0	173701.0	66199.0	28005.0	2643622.0	35.5
гостиницы и рестораны	242637.0	15387.0	46250.0	39619.0	33030.0	27781.0	29021.0	22502.0	17867.0	7613.0	3567.0	238868.0	34.7
транспорт и связь	3370280.0	39751.0	298524.0	428302.0	453926.0	463160.0	575712.0	501305.0	383042.0	156584.0	69974.0	3299889.0	39.5
финансовая деятельность	223574.0	1772.0	25524.0	41612.0	39913.0	30700.0	30450.0	23739.0	18267.0	8178.0	3419.0	220148.0	37.0
операции с недвижимым имуществом, аренда и предоставление услуг	1410887.0	26849.0	170862.0	199056.0	171555.0	161616.0	190701.0	180147.0	162844.0	85567.0	61690.0	1348885.0	39.3
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	1868131.0	21418.0	269209.0	363075.0	331838.0	282057.0	257041.0	160097.0	105934.0	49533.0	27929.0	1840148.0	35.6
образование	686080.0	11281.0	56243.0	70734.0	64531.0	70529.0	93777.0	96359.0	99282.0	63615.0	59729.0	626058.0	42.7
здравоохранение и предоставление социальных услуг	579533.0	7141.0	46993.0	69102.0	69118.0	76058.0	88649.0	82124.0	73350.0	38199.0	28799.0	550633.0	40.9
предоставление прочих коммунальных, социальных и персональных услуг	965545.0	25276.0	96143.0	114678.0	111276.0	114372.0	143147.0	137357.0	121134.0	62344.0	39818.0	925128.0	40.1
предоставление услуг по ведению домашнего хозяйства	9608.0	234.0	974.0	1315.0	1204.0	1281.0	1461.0	1297.0	1021.0	552.0	269.0	9330.0	39.1
деятельность экстерриториальных организаций	4831.0	95.0	572.0	596.0	712.0	612.0	753.0	559.0	495.0	253.0	184.0	4647.0	38.8
не распределенные по видам деятельности и неточно указавшие вид деятельности	634016.0	13378.0	67919.0	84461.0	82367.0	82047.0	94801.0	82617.0	68654.0	35701.0	22071.0	611539.0	39.2
Женщины в возрасте 15-64 лет, занятые в экономике 	23593602.0	497307.0	2362302.0	2879013.0	2774859.0	3022210.0	3913720.0	3714210.0	2973627.0	925715.0	530639.0	22132809.0	39.4
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	270312.0	4434.0	21680.0	25859.0	24987.0	32398.0	50319.0	53396.0	42016.0	10022.0	5201.0	254973.0	41.0
рыболовство, рыбоводство	12643.0	158.0	1038.0	1396.0	1294.0	1576.0	2137.0	2337.0	1872.0	524.0	311.0	11808.0	40.8
добыча полезных ископаемых	281506.0	1722.0	18334.0	28028.0	29289.0	37753.0	56511.0	56011.0	40467.0	9411.0	3980.0	268110.0	41.1
обрабатывающие производства	4488919.0	78584.0	385440.0	459391.0	449616.0	557699.0	797770.0	818569.0	679340.0	183915.0	78595.0	4225918.0	40.6
производство и распределение электроэнергии, газа и воды	392283.0	2321.0	19902.0	32844.0	36756.0	48772.0	76019.0	80307.0	67618.0	19313.0	8431.0	364527.0	42.4
строительство	783958.0	11213.0	61561.0	72651.0	71124.0	96277.0	149730.0	153264.0	120641.0	32522.0	14975.0	736374.0	41.2
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	4248701.0	159122.0	603837.0	650760.0	591396.0	590390.0	663359.0	528902.0	346041.0	77750.0	37144.0	4132153.0	36.2
гостиницы и рестораны	842524.0	39865.0	109873.0	99174.0	92034.0	102651.0	136385.0	127834.0	97283.0	25210.0	12215.0	804797.0	37.9
транспорт и связь	1416879.0	20597.0	110688.0	146639.0	154850.0	180236.0	254137.0	259504.0	212878.0	53579.0	23771.0	1339372.0	40.6
финансовая деятельность	530716.0	6854.0	58476.0	85913.0	76930.0	71973.0	83298.0	74953.0	54688.0	13181.0	4450.0	513059.0	37.7
операции с недвижимым имуществом, аренда и предоставление услуг	1144822.0	19545.0	113378.0	124683.0	114671.0	133742.0	182837.0	188548.0	165246.0	61971.0	40201.0	1042499.0	40.7
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	1277447.0	26291.0	137243.0	164864.0	156056.0	172798.0	218159.0	190920.0	143755.0	46077.0	21284.0	1210019.0	38.7
образование	3186168.0	47703.0	294224.0	407662.0	403508.0	405284.0	496014.0	463122.0	387133.0	169831.0	111687.0	2904203.0	39.9
здравоохранение и предоставление социальных услуг	2870589.0	32109.0	248198.0	370067.0	361651.0	363025.0	450398.0	428887.0	370434.0	137154.0	108666.0	2624568.0	40.2
предоставление прочих коммунальных, социальных и персональных услуг	1291223.0	34104.0	123907.0	145867.0	148090.0	158464.0	205743.0	201786.0	170463.0	59436.0	43363.0	1187995.0	39.9
предоставление услуг по ведению домашнего хозяйства	18573.0	663.0	1784.0	1685.0	1786.0	2196.0	3362.0	3222.0	2657.0	748.0	470.0	17344.0	40.2
деятельность экстерриториальных организаций	4173.0	170.0	469.0	480.0	408.0	475.0	607.0	719.0	528.0	179.0	138.0	3852.0	39.4
не распределенные по видам деятельности и неточно указавшие вид деятельности	532166.0	11852.0	52270.0	61050.0	60413.0	66501.0	86935.0	81929.0	70567.0	24892.0	15757.0	491238.0	39.9
Сельское население в возрасте 15-64 лет, занятое в экономике	12663842.0	295187.0	1283702.0	1513147.0	1556719.0	1818506.0	2262966.0	1947418.0	1400702.0	424063.0	161432.0	12358192.0	38.8
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	4145856.0	113011.0	337742.0	423537.0	468939.0	598075.0	789697.0	702901.0	510109.0	156380.0	45465.0	4073979.0	39.7
рыболовство, рыбоводство	43092.0	1126.0	4540.0	5016.0	5152.0	6158.0	7762.0	6651.0	4557.0	1503.0	627.0	42214.0	38.7
добыча полезных ископаемых	167666.0	1716.0	14859.0	18963.0	20529.0	25107.0	33089.0	28007.0	18901.0	4934.0	1561.0	165468.0	39.4
обрабатывающие производства	1094263.0	36698.0	144025.0	141723.0	123819.0	138851.0	181999.0	162645.0	118383.0	33212.0	12908.0	1072690.0	37.8
производство и распределение электроэнергии, газа и воды	241894.0	1906.0	16417.0	24848.0	26610.0	32636.0	45718.0	44170.0	34177.0	11366.0	4046.0	236182.0	41.0
строительство	589288.0	16054.0	73231.0	76282.0	70351.0	79028.0	102441.0	86517.0	61025.0	18727.0	5632.0	581576.0	38.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	1035906.0	39914.0	147659.0	146026.0	136058.0	152682.0	174741.0	133190.0	80849.0	17767.0	7020.0	1019662.0	36.3
гостиницы и рестораны	230622.0	12739.0	32611.0	30014.0	27161.0	31175.0	38410.0	32583.0	20287.0	3795.0	1847.0	225801.0	36.5
транспорт и связь	923421.0	11407.0	82119.0	108316.0	120570.0	139470.0	177085.0	148729.0	98920.0	27338.0	9467.0	908196.0	39.1
финансовая деятельность	87873.0	1138.0	8537.0	11794.0	11576.0	12614.0	15960.0	14007.0	9656.0	1948.0	643.0	85883.0	38.6
операции с недвижимым имуществом, аренда и предоставление услуг	328543.0	5874.0	36582.0	38698.0	35368.0	41670.0	54672.0	52494.0	41874.0	14305.0	7006.0	317844.0	39.5
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	792033.0	9284.0	110217.0	128108.0	115699.0	116958.0	127277.0	94009.0	63387.0	19532.0	7562.0	776043.0	36.8
образование	1463670.0	19218.0	130542.0	178594.0	203943.0	224500.0	251971.0	208657.0	159297.0	59691.0	27257.0	1394604.0	39.2
здравоохранение и предоставление социальных услуг	928224.0	11274.0	86724.0	113702.0	121075.0	137929.0	160384.0	140627.0	107760.0	30250.0	18499.0	887839.0	39.2
предоставление прочих коммунальных, социальных и персональных услуг	467983.0	10457.0	43803.0	51611.0	55223.0	65058.0	81869.0	74091.0	57948.0	18863.0	9060.0	451270.0	39.6
предоставление услуг по ведению домашнего хозяйства	3545.0	179.0	402.0	424.0	377.0	468.0	569.0	507.0	419.0	124.0	76.0	3421.0	38.3
деятельность экстерриториальных организаций	933.0	36.0	119.0	132.0	135.0	84.0	103.0	109.0	112.0	57.0	46.0	856.0	38.7
не распределенные по видам деятельности и неточно указавшие вид деятельности	119030.0	3156.0	13573.0	15359.0	14134.0	16043.0	19219.0	17524.0	13041.0	4271.0	2710.0	114664.0	38.6
Мужчины в возрасте 15-64 лет, занятые в экономике 	6808291.0	168164.0	729917.0	839321.0	828374.0	945002.0	1174849.0	1000679.0	739560.0	285454.0	96971.0	6707116.0	38.7
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	2830701.0	88125.0	248538.0	298851.0	322959.0	400563.0	519017.0	449497.0	334256.0	133451.0	35444.0	2792393.0	39.5
рыболовство, рыбоводство	35522.0	960.0	3914.0	4233.0	4403.0	5153.0	6295.0	5246.0	3553.0	1276.0	489.0	35011.0	38.4
добыча полезных ископаемых	140011.0	1386.0	12948.0	16517.0	17597.0	21245.0	26970.0	22661.0	15021.0	4318.0	1348.0	138648.0	39.2
обрабатывающие производства	652130.0	21671.0	91939.0	89926.0	74331.0	78359.0	101109.0	90522.0	69812.0	25111.0	9350.0	642395.0	37.7
производство и распределение электроэнергии, газа и воды	188085.0	1630.0	13585.0	20395.0	21448.0	25109.0	34165.0	32868.0	25782.0	9721.0	3382.0	184682.0	40.8
строительство	518166.0	14069.0	66423.0	69671.0	63834.0	70015.0	88804.0	72616.0	50963.0	16925.0	4846.0	513047.0	37.7
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	343151.0	10824.0	48356.0	51427.0	47821.0	49456.0	55045.0	41706.0	26458.0	8922.0	3136.0	339798.0	36.5
гостиницы и рестораны	30853.0	2041.0	6271.0	4653.0	3455.0	3555.0	3893.0	3285.0	2397.0	928.0	375.0	30466.0	34.8
транспорт и связь	650571.0	7987.0	64456.0	81971.0	89075.0	97980.0	119656.0	97450.0	63476.0	21668.0	6852.0	643651.0	38.6
финансовая деятельность	17492.0	126.0	2362.0	3300.0	2598.0	2155.0	2414.0	2191.0	1468.0	613.0	265.0	17227.0	37.0
операции с недвижимым имуществом, аренда и предоставление услуг	216277.0	3620.0	25684.0	27139.0	23763.0	26722.0	34374.0	32762.0	26761.0	10642.0	4810.0	211451.0	39.3
