11. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ  ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
								
	Всего	в том числе по положению в занятии						
		работающие по найму	работающие не по найму	из них				
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	не указавшие положение в занятии
Центральный федеральный округ								
операции с недвижимым имуществом, аренда и предоставление услуг	24947.0	24071.0	829.0	199.0	472.0	120.0	38.0	47.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	26601.0	26601.0						-
образование	43793.0	43277.0	467.0	36.0	363.0	51.0	17.0	49.0
здравоохранение и предоставление социальных услуг	37681.0	37252.0	364.0	34.0	287.0	32.0	11.0	65.0
предоставление прочих коммунальных, социальных и персональных услуг	13294.0	12802.0	486.0	115.0	275.0	85.0	11.0	6.0
предоставление услуг по ведению домашнего хозяйства	45.0	45.0						-
деятельность экстерриториальных организаций	4.0	4.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	10893.0	10071.0	758.0	181.0	461.0	89.0	27.0	64.0
Московская область								
Все население, занятое в экономике	3061673.0	2947270.0	107395.0	33282.0	57398.0	10293.0	6422.0	7008.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	89695.0	87107.0	2436.0	561.0	1540.0	137.0	198.0	152.0
рыболовство, рыбоводство	1032.0	992.0	40.0	22.0	18.0	-	-	-
добыча полезных ископаемых	10413.0	10196.0	159.0	103.0	32.0	15.0	9.0	58.0
обрабатывающие производства	620889.0	607138.0	12553.0	4081.0	6473.0	1250.0	749.0	1198.0
производство и распределение электроэнергии, газа и воды	49955.0	49263.0	638.0	107.0	399.0	93.0	39.0	54.0
строительство	216683.0	207185.0	9045.0	2945.0	4403.0	1104.0	593.0	453.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	403841.0	361554.0	41303.0	16329.0	20725.0	2441.0	1808.0	984.0
гостиницы и рестораны	72566.0	70313.0	2051.0	827.0	893.0	172.0	159.0	202.0
транспорт и связь	319682.0	308106.0	10883.0	1863.0	7317.0	1073.0	630.0	693.0
финансовая деятельность	53745.0	52462.0	1185.0	358.0	573.0	171.0	83.0	98.0
операции с недвижимым имуществом, аренда и предоставление услуг	233296.0	226600.0	6100.0	1665.0	3377.0	683.0	375.0	596.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	220348.0	220348.0						-
образование	182027.0	178789.0	2817.0	341.0	1752.0	465.0	259.0	421.0
здравоохранение и предоставление социальных услуг	213573.0	209201.0	3948.0	568.0	2498.0	561.0	321.0	424.0
предоставление прочих коммунальных, социальных и персональных услуг	190845.0	184224.0	6215.0	1470.0	3441.0	932.0	372.0	406.0
предоставление услуг по ведению домашнего хозяйства	1524.0	1524.0						-
деятельность экстерриториальных организаций	1195.0	1186.0	9.0			9.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	180364.0	171082.0	8013.0	2042.0	3957.0	1187.0	827.0	1269.0
Орловская область								
Все население, занятое в экономике	343744.0	328558.0	14786.0	4288.0	9101.0	970.0	427.0	400.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	52536.0	51082.0	1397.0	442.0	786.0	130.0	39.0	57.0
рыболовство, рыбоводство	138.0	138.0	-	-	-	-	-	-
добыча полезных ископаемых	189.0	189.0	-	-	-	-	-	-
обрабатывающие производства	70696.0	69509.0	1110.0	383.0	554.0	130.0	43.0	77.0
производство и распределение электроэнергии, газа и воды	6770.0	6740.0	30.0	11.0	19.0	-	-	-
строительство	22408.0	21561.0	844.0	222.0	502.0	67.0	53.0	3.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	41812.0	33277.0	8462.0	2657.0	5381.0	249.0	175.0	73.0
гостиницы и рестораны	6245.0	6113.0	124.0	92.0	26.0	-	6.0	8.0
транспорт и связь	27761.0	26430.0	1296.0	202.0	946.0	93.0	55.0	35.0
финансовая деятельность	4323.0	4270.0	49.0	8.0	34.0	7.0	-	4.0
операции с недвижимым имуществом, аренда и предоставление услуг	9853.0	9466.0	371.0	87.0	226.0	58.0	-	16.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	22225.0	22225.0						-
образование	34981.0	34685.0	248.0	8.0	163.0	55.0	22.0	48.0
здравоохранение и предоставление социальных услуг	23706.0	23539.0	149.0	27.0	110.0	5.0	7.0	18.0
предоставление прочих коммунальных, социальных и персональных услуг	14727.0	14315.0	398.0	89.0	224.0	85.0	-	14.0
предоставление услуг по ведению домашнего хозяйства	68.0	68.0						-
деятельность экстерриториальных организаций	12.0	12.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	5294.0	4939.0	308.0	60.0	130.0	91.0	27.0	47.0
Рязанская область								
Все население, занятое в экономике	486985.0	460833.0	25510.0	7185.0	16137.0	1552.0	636.0	642.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	47976.0	46877.0	1039.0	244.0	614.0	122.0	59.0	60.0
рыболовство, рыбоводство	412.0	402.0	10.0	-	10.0	-	-	-
добыча полезных ископаемых	2030.0	2012.0	18.0	8.0	10.0	-	-	-
обрабатывающие производства	114328.0	111647.0	2547.0	684.0	1594.0	212.0	57.0	134.0
производство и распределение электроэнергии, газа и воды	17000.0	16810.0	166.0	21.0	125.0	20.0	-	24.0
строительство	33516.0	31711.0	1742.0	646.0	1007.0	52.0	37.0	63.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	63493.0	49910.0	13515.0	4478.0	8305.0	479.0	253.0	68.0
гостиницы и рестораны	9682.0	9213.0	469.0	212.0	223.0	7.0	27.0	-
транспорт и связь	42477.0	39910.0	2524.0	371.0	1965.0	134.0	54.0	43.0
финансовая деятельность	5917.0	5724.0	189.0	12.0	122.0	48.0	7.0	4.0
операции с недвижимым имуществом, аренда и предоставление услуг	24142.0	22945.0	1180.0	272.0	727.0	150.0	31.0	17.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	31357.0	31357.0						-
образование	41891.0	41351.0	484.0	17.0	355.0	68.0	44.0	56.0
здравоохранение и предоставление социальных услуг	35521.0	34810.0	690.0	52.0	500.0	132.0	6.0	21.0
предоставление прочих коммунальных, социальных и персональных услуг	14007.0	13382.0	617.0	121.0	373.0	81.0	42.0	8.0
предоставление услуг по ведению домашнего хозяйства	117.0	117.0						-
не распределенные по видам деятельности и неточно указавшие вид деятельности	3119.0	2655.0	320.0	47.0	207.0	47.0	19.0	144.0
Смоленская область								
Все население, занятое в экономике	427752.0	400382.0	26606.0	6465.0	17000.0	2081.0	1060.0	764.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	38633.0	37193.0	1391.0	293.0	891.0	129.0	78.0	49.0
рыболовство, рыбоводство	203.0	186.0	17.0	3.0	14.0	-	-	-
добыча полезных ископаемых	1487.0	1430.0	53.0	19.0	34.0	-	-	4.0
обрабатывающие производства	92854.0	89455.0	3254.0	655.0	2015.0	406.0	178.0	145.0
производство и распределение электроэнергии, газа и воды	16653.0	16345.0	293.0	38.0	201.0	54.0	-	15.0
строительство	31699.0	30084.0	1559.0	348.0	903.0	223.0	85.0	56.0
