11. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ  ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
								
	Всего	в том числе по положению в занятии						
		работающие по найму	работающие не по найму	из них				
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	не указавшие положение в занятии
Центральный федеральный округ								
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	53712.0	41172.0	12437.0	3743.0	7996.0	358.0	340.0	103.0
гостиницы и рестораны	7774.0	7269.0	505.0	219.0	220.0	61.0	5.0	-
транспорт и связь	38147.0	35186.0	2909.0	462.0	2148.0	197.0	102.0	52.0
финансовая деятельность	4881.0	4754.0	123.0	15.0	91.0	-	17.0	4.0
операции с недвижимым имуществом, аренда и предоставление услуг	14253.0	13493.0	753.0	221.0	418.0	94.0	20.0	7.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	30634.0	30634.0						-
образование	38721.0	37898.0	747.0	42.0	473.0	173.0	59.0	76.0
здравоохранение и предоставление социальных услуг	31201.0	30243.0	904.0	94.0	562.0	170.0	78.0	54.0
предоставление прочих коммунальных, социальных и персональных услуг	16719.0	15965.0	731.0	149.0	472.0	81.0	29.0	23.0
предоставление услуг по ведению домашнего хозяйства	77.0	77.0						-
деятельность экстерриториальных организаций	28.0	28.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	10076.0	8970.0	930.0	164.0	562.0	135.0	69.0	176.0
Тамбовская область								
Все население, занятое в экономике	412683.0	387119.0	25143.0	5309.0	17157.0	1981.0	696.0	421.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	65935.0	61766.0	4082.0	669.0	2501.0	646.0	266.0	87.0
рыболовство, рыбоводство	193.0	168.0	25.0	-	14.0	-	11.0	-
добыча полезных ископаемых	557.0	553.0	4.0	4.0	-	-	-	-
обрабатывающие производства	73698.0	71911.0	1718.0	419.0	1085.0	141.0	73.0	69.0
производство и распределение электроэнергии, газа и воды	8105.0	7942.0	146.0	16.0	98.0	19.0	13.0	17.0
строительство	21789.0	20646.0	1106.0	209.0	720.0	146.0	31.0	37.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	49927.0	36750.0	13116.0	3231.0	9238.0	467.0	180.0	61.0
гостиницы и рестораны	6272.0	5923.0	349.0	121.0	157.0	71.0	-	-
транспорт и связь	35466.0	33648.0	1788.0	209.0	1391.0	157.0	31.0	30.0
финансовая деятельность	5162.0	5075.0	82.0	16.0	60.0	6.0	-	5.0
операции с недвижимым имуществом, аренда и предоставление услуг	9319.0	8900.0	419.0	114.0	270.0	18.0	17.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	31527.0	31527.0						-
образование	43342.0	42843.0	490.0	28.0	362.0	73.0	27.0	9.0
здравоохранение и предоставление социальных услуг	34443.0	33926.0	489.0	51.0	365.0	73.0	-	28.0
предоставление прочих коммунальных, социальных и персональных услуг	18458.0	17722.0	710.0	124.0	478.0	84.0	24.0	26.0
предоставление услуг по ведению домашнего хозяйства	52.0	52.0						-
деятельность экстерриториальных организаций	20.0	20.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	8418.0	7747.0	619.0	98.0	418.0	80.0	23.0	52.0
Тверская область								
Все население, занятое в экономике	612371.0	580827.0	30710.0	9076.0	18530.0	2041.0	1063.0	834.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	59590.0	57553.0	1959.0	409.0	1249.0	234.0	67.0	78.0
рыболовство, рыбоводство	443.0	408.0	35.0	12.0	23.0	-	-	-
добыча полезных ископаемых	1858.0	1818.0	40.0	4.0	19.0	12.0	5.0	-
обрабатывающие производства	141698.0	138091.0	3457.0	1150.0	1906.0	281.0	120.0	150.0
производство и распределение электроэнергии, газа и воды	19101.0	18864.0	212.0	31.0	122.0	24.0	35.0	25.0
строительство	45763.0	43462.0	2240.0	692.0	1248.0	240.0	60.0	61.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	78301.0	62981.0	15204.0	5064.0	9242.0	518.0	380.0	116.0
гостиницы и рестораны	12298.0	11834.0	449.0	252.0	147.0	30.0	20.0	15.0
транспорт и связь	52657.0	49955.0	2653.0	618.0	1855.0	97.0	83.0	49.0
финансовая деятельность	6848.0	6686.0	154.0	19.0	105.0	25.0	5.0	8.0
операции с недвижимым имуществом, аренда и предоставление услуг	28367.0	27165.0	1150.0	356.0	620.0	127.0	47.0	52.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	45272.0	45272.0						-
образование	47882.0	47245.0	535.0	36.0	353.0	85.0	61.0	102.0
здравоохранение и предоставление социальных услуг	39184.0	38480.0	625.0	63.0	439.0	87.0	36.0	79.0
предоставление прочих коммунальных, социальных и персональных услуг	19768.0	18822.0	919.0	195.0	573.0	100.0	51.0	27.0
предоставление услуг по ведению домашнего хозяйства	202.0	202.0						-
деятельность экстерриториальных организаций	465.0	459.0	6.0			6.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	12674.0	11530.0	1072.0	175.0	629.0	175.0	93.0	72.0
Тульская область								
Все население, занятое в экономике	690360.0	658861.0	30806.0	9556.0	18676.0	1834.0	740.0	693.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	44430.0	42714.0	1669.0	372.0	1029.0	215.0	53.0	47.0
рыболовство, рыбоводство	359.0	356.0	3.0	3.0	-	-	-	-
добыча полезных ископаемых	6345.0	6307.0	33.0	15.0	13.0	-	5.0	5.0
обрабатывающие производства	203153.0	200074.0	2931.0	970.0	1672.0	193.0	96.0	148.0
производство и распределение электроэнергии, газа и воды	18957.0	18766.0	169.0	52.0	89.0	28.0	-	22.0
строительство	44638.0	42786.0	1826.0	528.0	1026.0	204.0	68.0	26.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	88119.0	70717.0	17284.0	5864.0	10478.0	614.0	328.0	118.0
гостиницы и рестораны	10422.0	9970.0	446.0	243.0	130.0	58.0	15.0	6.0
транспорт и связь	54885.0	52318.0	2471.0	499.0	1746.0	159.0	67.0	96.0
финансовая деятельность	8236.0	8098.0	138.0	49.0	66.0	18.0	5.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	41710.0	40399.0	1263.0	433.0	730.0	86.0	14.0	48.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	39185.0	39185.0						-
образование	52214.0	51650.0	494.0	37.0	378.0	69.0	10.0	70.0
здравоохранение и предоставление социальных услуг	47195.0	46570.0	580.0	81.0	439.0	35.0	25.0	45.0
предоставление прочих коммунальных, социальных и персональных услуг	19824.0	18995.0	797.0	204.0	487.0	86.0	20.0	32.0
предоставление услуг по ведению домашнего хозяйства	176.0	176.0						-
