3.6. СТРУКТУРА ЧАСТНЫХ ДОМОХОЗЯЙСТВ, ДОМОХОЗЯЙСТВ БЕЗДОМНЫХ И КОЛЛЕКТИВНЫХ ДОМОХОЗЯЙСТВ												
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ												
												
	На 1000 частных домохозяйств приходится домохозяйств, состоящих из						На 1000 домохозяйств бездомных приходится домохозяйств, состоящих из			Удельный вес (%) населения, проживающего		
	1 человека	2 человек	3 человек	4 человек	5 человек	6 и более человек	1 человека	2 человек	3 и более человек	в частных домо-
хозяйствах	в домо-
хозяйствах бездомных	в коллектив-ных домо-
хозяйствах
Краснодарский край	190.0	266.0	226.0	189.0	76.0	53.0	896.0	30.0	74.0	98.4	0.3	1.3
Городские населенные пункты	193.0	269.0	236.0	185.0	70.0	47.0	899.0	26.0	75.0	97.9	0.5	1.6
Сельские населенные пункты	187.0	263.0	214.0	193.0	84.0	59.0	878.0	56.0	66.0	98.9	0.0	1.1
Ставропольский край	216.0	248.0	210.0	186.0	78.0	62.0	837.0	54.0	109.0	98.3	0.1	1.6
Городские населенные пункты	247.0	252.0	220.0	173.0	61.0	47.0	853.0	50.0	97.0	97.8	0.1	2.1
Сельские населенные пункты	171.0	242.0	194.0	205.0	102.0	86.0	736.0	80.0	184.0	98.9	0.0	1.1
Астраханская область	190.0	261.0	236.0	195.0	71.0	47.0	894.0	17.0	89.0	98.3	0.0	1.7
Городские населенные пункты	200.0	272.0	249.0	185.0	60.0	34.0	916.0	17.0	67.0	97.8	0.0	2.2
Сельские населенные пункты	166.0	235.0	207.0	217.0	98.0	77.0	796.0	19.0	185.0	99.4	0.0	0.6
Волгоградская область	204.0	288.0	241.0	177.0	58.0	32.0	759.0	68.0	173.0	98.3	0.1	1.6
Городские населенные пункты	206.0	288.0	250.0	174.0	54.0	28.0	779.0	60.0	161.0	98.0	0.1	1.9
Сельские населенные пункты	200.0	287.0	212.0	186.0	71.0	44.0	529.0	157.0	314.0	99.1	0.0	0.9
Ростовская область	201.0	280.0	235.0	180.0	64.0	40.0	894.0	60.0	46.0	98.6	0.1	1.3
Городские населенные пункты	206.0	282.0	245.0	176.0	57.0	34.0	896.0	59.0	45.0	98.5	0.1	1.4
Сельские населенные пункты	192.0	275.0	213.0	187.0	79.0	54.0	885.0	62.0	53.0	98.9	0.0	1.1
Приволжский федеральный округ	216.0	275.0	242.0	181.0	58.0	28.0	877.0	48.0	75.0	98.6	0.0	1.4
Городские населенные пункты	212.0	274.0	258.0	181.0	52.0	23.0	881.0	42.0	77.0	98.5	0.0	1.5
Сельские населенные пункты	226.0	275.0	203.0	181.0	73.0	42.0	836.0	99.0	65.0	98.7	0.0	1.3
Республика Башкортостан	189.0	258.0	235.0	208.0	73.0	37.0	866.0	44.0	90.0	99.1	0.0	0.9
Городские населенные пункты	192.0	258.0	254.0	209.0	60.0	27.0	880.0	33.0	87.0	98.7	0.1	1.2
Сельские населенные пункты	185.0	257.0	202.0	206.0	95.0	55.0	696.0	177.0	127.0	99.7	0.0	0.3
Республика Марий Эл	225.0	258.0	235.0	183.0	65.0	34.0	962.0	25.0	13.0	98.6	0.0	1.4
Городские населенные пункты	226.0	270.0	255.0	178.0	50.0	21.0	1000.0	-	-	99.0	0.0	1.0
Сельские населенные пункты	222.0	236.0	195.0	192.0	95.0	60.0	903.0	65.0	32.0	98.0	0.0	2.0
Республика Мордовия	245.0	264.0	240.0	176.0	52.0	23.0	951.0	24.0	25.0	97.5	0.0	2.5
Городские населенные пункты	221.0	254.0	270.0	185.0	50.0	20.0	965.0	18.0	17.0	98.9	0.1	1.0
Сельские населенные пункты	281.0	279.0	197.0	161.0	55.0	27.0	871.0	64.0	65.0	95.4	0.0	4.6
Республика Татарстан	188.0	253.0	234.0	212.0	73.0	40.0	782.0	50.0	168.0	99.2	0.0	0.8
Городские населенные пункты	181.0	252.0	252.0	219.0	65.0	31.0	767.0	49.0	184.0	99.0	0.0	1.0
Сельские населенные пункты	207.0	256.0	183.0	191.0	97.0	66.0	923.0	58.0	19.0	99.6	0.0	0.4
Удмуртская Республика	197.0	261.0	242.0	195.0	70.0	35.0	812.0	91.0	97.0	98.6	0.0	1.4
Городские населенные пункты	201.0	264.0	255.0	191.0	61.0	28.0	799.0	82.0	119.0	99.1	0.0	0.9
Сельские населенные пункты	187.0	252.0	211.0	204.0	94.0	52.0	870.0	130.0	-	97.6	0.0	2.4
Чувашская Республика	216.0	245.0	227.0	195.0	75.0	42.0	905.0	-	95.0	98.7	0.0	1.3
Городские населенные пункты	195.0	248.0	262.0	209.0	59.0	27.0	898.0	-	102.0	98.2	0.0	1.8
Сельские населенные пункты	249.0	242.0	171.0	174.0	99.0	65.0	1000.0	-	-	99.5	0.0	0.5
Кировская область	257.0	295.0	237.0	151.0	43.0	17.0	931.0	46.0	23.0	98.2	0.0	1.8
Городские населенные пункты	256.0	292.0	249.0	150.0	39.0	14.0	931.0	46.0	23.0	98.1	0.0	1.9
Сельские населенные пункты	261.0	302.0	205.0	155.0	52.0	25.0	930.0	47.0	23.0	98.5	0.0	1.5
Нижегородская область	243.0	288.0	244.0	159.0	46.0	20.0	936.0	43.0	21.0	98.4	0.0	1.6
Городские населенные пункты	225.0	286.0	260.0	163.0	47.0	19.0	947.0	36.0	17.0	98.7	0.0	1.3
Сельские населенные пункты	304.0	298.0	189.0	144.0	44.0	21.0	784.0	135.0	81.0	97.0	0.0	3.0
Оренбургская область	202.0	277.0	250.0	187.0	57.0	27.0	948.0	37.0	15.0	98.4	0.1	1.5
Городские населенные пункты	213.0	279.0	263.0	178.0	48.0	19.0	952.0	34.0	14.0	98.2	0.1	1.7
Сельские населенные пункты	185.0	275.0	231.0	201.0	71.0	37.0	911.0	62.0	27.0	98.7	0.0	1.3
Пензенская область	231.0	291.0	248.0	161.0	48.0	21.0	879.0	51.0	70.0	98.9	0.0	1.1
Городские населенные пункты	214.0	287.0	271.0	163.0	46.0	19.0	881.0	51.0	68.0	98.6	0.1	1.3
Сельские населенные пункты	260.0	300.0	205.0	157.0	51.0	27.0	842.0	53.0	105.0	99.4	0.0	0.6
Пермская область	224.0	279.0	240.0	172.0	57.0	28.0	889.0	46.0	65.0	97.8	0.1	2.1
Городские населенные пункты	226.0	282.0	250.0	168.0	51.0	23.0	885.0	44.0	71.0	97.9	0.1	2.0
Сельские населенные пункты	217.0	271.0	209.0	184.0	76.0	43.0	919.0	61.0	20.0	97.7	0.0	2.3
Коми-Пермяцкий автономный округ	239.0	265.0	209.0	174.0	72.0	41.0	1000.0	-	-	99.1	0.0	0.9
Городские населенные пункты	280.0	247.0	220.0	170.0	54.0	29.0	1000.0	-	-	98.0	0.1	1.9
Сельские населенные пункты	223.0	272.0	205.0	175.0	80.0	45.0	1000.0	-	-	99.5	0.0	0.5
Самарская область	213.0	281.0	254.0	176.0	52.0	24.0	733.0	68.0	199.0	98.5	0.1	1.4
Городские населенные пункты	209.0	279.0	263.0	175.0	51.0	23.0	738.0	61.0	201.0	98.4	0.1	1.5
Сельские населенные пункты	229.0	290.0	217.0	178.0	57.0	29.0	700.0	113.0	187.0	98.8	0.0	1.2
Саратовская область	230.0	293.0	244.0	163.0	48.0	22.0	898.0	50.0	52.0	98.4	0.0	1.6
Городские населенные пункты	237.0	293.0	256.0	154.0	43.0	17.0	925.0	35.0	40.0	98.0	0.0	2.0
Сельские населенные пункты	209.0	291.0	210.0	188.0	65.0	37.0	753.0	130.0	117.0	99.4	0.0	0.6
Ульяновская область	219.0	286.0	250.0	177.0	48.0	20.0	794.0	118.0	88.0	98.5	0.0	1.5
Городские населенные пункты	205.0	279.0	269.0	182.0	46.0	19.0	848.0	65.0	87.0	98.3	0.0	1.7
Сельские населенные пункты	254.0	305.0	201.0	162.0	53.0	25.0	300.0	600.0	100.0	99.3	0.0	0.7
Уральский федеральный округ	218.0	283.0	249.0	174.0	51.0	25.0	914.0	34.0	52.0	98.3	0.1	1.6
Городские населенные пункты	218.0	283.0	256.0	173.0	48.0	22.0	919.0	32.0	49.0	98.3	0.1	1.6
Сельские населенные пункты	215.0	284.0	216.0	181.0	66.0	38.0	803.0	87.0	110.0	98.7	0.0	1.3
Курганская область	223.0	304.0	239.0	162.0	49.0	23.0	942.0	41.0	17.0	98.7	0.0	1.3
Городские населенные пункты	220.0	301.0	259.0	157.0	44.0	19.0	940.0	41.0	19.0	98.7	0.1	1.2
Сельские населенные пункты	226.0	308.0	213.0	168.0	57.0	28.0	966.0	34.0	-	98.6	0.0	1.4
