5. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ 										
										
										
	Всего	Имеющие образование							Не имеющие начального общего образова-ния	Не указавшие уровень образова-ния
		профессиональное				общее				
		послевузов-ское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
не распределенные по видам деятельности и неточно указавшие вид деятельности	532166.0	180963.0	26194.0	182730.0	40529.0	73976.0	14758.0	2241.0	1012.0	9763.0
Сельское население, занятое в экономике	12663842.0	1603937.0	200798.0	4055020.0	2819897.0	2475065.0	1282165.0	214203.0	8746.0	4011.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	4145856.0	227139.0	30757.0	967167.0	1152863.0	943940.0	682201.0	134818.0	5947.0	1024.0
рыболовство, рыбоводство	43092.0	2301.0	555.0	12083.0	9464.0	10197.0	6869.0	1550.0	58.0	15.0
добыча полезных ископаемых	167666.0	13864.0	2458.0	56796.0	45917.0	34990.0	11917.0	1654.0	29.0	41.0
обрабатывающие производства	1094263.0	91605.0	15698.0	341819.0	273570.0	243345.0	112564.0	14896.0	391.0	375.0
производство и распределение электроэнергии, газа и воды	241894.0	25365.0	3718.0	87665.0	58460.0	46907.0	17210.0	2472.0	42.0	55.0
строительство	589288.0	46080.0	8447.0	171332.0	165864.0	125067.0	62924.0	9084.0	251.0	239.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	1035906.0	98987.0	20399.0	415964.0	216609.0	205390.0	68820.0	8561.0	850.0	326.0
гостиницы и рестораны	230622.0	8391.0	2541.0	80592.0	65435.0	49733.0	21545.0	2253.0	55.0	77.0
транспорт и связь	923421.0	58264.0	12825.0	318107.0	235576.0	215694.0	73988.0	8516.0	189.0	262.0
финансовая деятельность	87873.0	27252.0	3570.0	37868.0	8155.0	9480.0	1376.0	139.0	1.0	32.0
операции с недвижимым имуществом, аренда и предоставление услуг	328543.0	49378.0	6571.0	106811.0	70984.0	62314.0	27877.0	4375.0	112.0	121.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	792033.0	220729.0	25698.0	289086.0	102618.0	125412.0	24941.0	3245.0	118.0	186.0
образование	1463670.0	554127.0	44583.0	466457.0	160101.0	165125.0	64848.0	7897.0	232.0	300.0
здравоохранение и предоставление социальных услуг	928224.0	112222.0	10641.0	479577.0	137737.0	124764.0	55770.0	7067.0	195.0	251.0
