7.2. НАСЕЛЕНИЕ ПО ТИПАМ ЗАНИМАЕМЫХ ЖИЛЫХ ПОМЕЩЕНИЙ 								
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Все население	в том числе население, проживающее						
		в индивидуальных домах	в отдельных квартирах	в коммунальных квартирах	в общежитиях	в институциональных учреждениях	в гостиницах	в других жилых помещениях
Сельские населенные пункты	386194.0	190086.0	184661.0	487.0	1960.0	7375.0	63.0	461.0
Новосибирская область	2692251.0	576126.0	1917319.0	33164.0	103573.0	44921.0	404.0	1601.0
Городские населенные пункты	2021597.0	307992.0	1528128.0	31450.0	100352.0	38542.0	346.0	1256.0
Сельские населенные пункты	670654.0	268134.0	389191.0	1714.0	3221.0	6379.0	58.0	345.0
Омская область	2079220.0	547411.0	1413242.0	15855.0	61539.0	29464.0	466.0	1575.0
Городские населенные пункты	1428480.0	254635.0	1065123.0	14064.0	58962.0	26578.0	411.0	744.0
Сельские населенные пункты	650740.0	292776.0	348119.0	1791.0	2577.0	2886.0	55.0	831.0
Томская область	1046039.0	157829.0	805313.0	6481.0	56092.0	15869.0	45.0	308.0
Городские населенные пункты	708541.0	49470.0	582710.0	5970.0	54470.0	12557.0	34.0	131.0
Сельские населенные пункты	337498.0	108359.0	222603.0	511.0	1622.0	3312.0	11.0	177.0
Читинская область	1155346.0	381188.0	699541.0	2939.0	28765.0	37702.0	355.0	1125.0
Городские населенные пункты	738545.0	144850.0	530728.0	2488.0	27388.0	29462.0	297.0	681.0
Сельские населенные пункты	416801.0	236338.0	168813.0	451.0	1377.0	8240.0	58.0	444.0
Агинский Бурятский автономный округ	72213.0	48476.0	22682.0	46.0	472.0	442.0	3.0	20.0
Городские населенные пункты	25510.0	13846.0	11139.0	-	433.0	52.0	-	7.0
Сельские населенные пункты	46703.0	34630.0	11543.0	46.0	39.0	390.0	3.0	13.0
Дальневосточный федеральный округ	6692865.0	1073086.0	5113648.0	32680.0	229882.0	197886.0	2437.0	11834.0
Городские населенные пункты	5081575.0	490177.0	4172893.0	27351.0	215706.0	139048.0	1776.0	9208.0
Сельские населенные пункты	1611290.0	582909.0	940755.0	5329.0	14176.0	58838.0	661.0	2626.0
Республика Саха (Якутия)	949280.0	301006.0	585239.0	6192.0	39603.0	10817.0	185.0	2138.0
Городские населенные пункты	609999.0	64732.0	492411.0	2606.0	36647.0	8857.0	164.0	1699.0
Сельские населенные пункты	339281.0	236274.0	92828.0	3586.0	2956.0	1960.0	21.0	439.0
Приморский край	2071210.0	318876.0	1601681.0	7332.0	56305.0	71217.0	493.0	4832.0
Городские населенные пункты	1621977.0	167653.0	1331501.0	6838.0	53002.0	49245.0	454.0	4484.0
Сельские населенные пункты	449233.0	151223.0	270180.0	494.0	3303.0	21972.0	39.0	348.0
Хабаровский край 	1436570.0	134263.0	1174562.0	9817.0	56036.0	51660.0	1119.0	1207.0
Городские населенные пункты	1157326.0	81479.0	971675.0	9409.0	52957.0	34445.0	624.0	340.0
Сельские населенные пункты	279244.0	52784.0	202887.0	408.0	3079.0	17215.0	495.0	867.0
Амурская область	902844.0	209353.0	619710.0	3569.0	40202.0	25663.0	351.0	485.0
