12. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																			
																			
																			
	Численность населения соответст-вующей националь-ности	Всего указали источников средств к существова-нию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения данной национальности указали			
			доход от трудовой деятельнос-ти (кроме работы в личном подсобном хозяйстве)	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалид-ности)	пенсию по инвалид-ности	пособие (кроме пособия по безрабо-тице)	пособие по безработице	другой вид государ-ственного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существова-нию		один источник средств к существо-ванию	два источника	три источника	четыре источника и более
Все население																			
60-64	132556.0	175187.0	20073.0	22177.0	-	126422.0	3921.0	311.0	-	362.0	281.0	363.0	951.0	326.0	126.0	92063.0	38029.0	2288.0	50.0
65 и более	324319.0	386794.0	10406.0	42419.0	-	311708.0	12939.0	886.0	-	2251.0	630.0	974.0	4119.0	462.0	250.0	263493.0	58487.0	2035.0	54.0
возраст не указан	287.0	297.0	127.0	15.0	2.0	61.0	6.0	8.0	2.0	4.0	-	-	54.0	18.0	24.0	229.0	34.0	-	-
Башкиры	880205.0	1292523.0	322945.0	247462.0	23519.0	207527.0	18490.0	141431.0	6619.0	7026.0	1312.0	794.0	307805.0	7593.0	177.0	495966.0	356623.0	26464.0	975.0
в том числе в возрасте, лет:																			
до 15	168320.0	272793.0	4.0	5912.0	88.0	5230.0	1640.0	99637.0	-	2031.0	9.0	168.0	157781.0	293.0	27.0	71942.0	88520.0	7516.0	315.0
15-19	81283.0	125957.0	6388.0	8211.0	18599.0	3597.0	950.0	17462.0	340.0	1077.0	40.0	42.0	68809.0	442.0	8.0	43072.0	32051.0	5831.0	321.0
20-29	117156.0	157069.0	67862.0	26775.0	4776.0	823.0	1731.0	12592.0	1341.0	1003.0	181.0	77.0	38236.0	1672.0	25.0	80836.0	32781.0	3387.0	127.0
30-49	281931.0	388550.0	211657.0	103072.0	53.0	6024.0	8144.0	10898.0	4235.0	1862.0	652.0	265.0	37314.0	4374.0	72.0	180715.0	95752.0	5244.0	148.0
50-54	46257.0	67725.0	29041.0	18193.0	-	11988.0	2557.0	325.0	702.0	247.0	117.0	54.0	3901.0	600.0	18.0	26547.0	17925.0	1740.0	27.0
55-59	22135.0	35320.0	5018.0	9150.0	-	19968.0	692.0	85.0	-	70.0	38.0	22.0	214.0	63.0	4.0	10154.0	10784.0	1175.0	18.0
60-64	42827.0	65873.0	2006.0	20661.0	-	41673.0	896.0	111.0	-	136.0	79.0	46.0	202.0	63.0	3.0	20442.0	21730.0	637.0	15.0
65 и более	120188.0	179113.0	930.0	55473.0	-	118198.0	1877.0	313.0	-	599.0	196.0	120.0	1321.0	86.0	7.0	62190.0	57054.0	933.0	4.0
возраст не указан	108.0	123.0	39.0	15.0	3.0	26.0	3.0	8.0	1.0	1.0	-	-	27.0	-	13.0	68.0	26.0	1.0	-
Чуваши	875622.0	1312108.0	373078.0	272051.0	18084.0	243502.0	22780.0	133842.0	7483.0	5562.0	1769.0	858.0	227158.0	5941.0	292.0	467779.0	379202.0	27504.0	845.0
в том числе в возрасте, лет:																			
до 15	122684.0	223268.0	-	6019.0	49.0	2546.0	1132.0	93482.0	-	1181.0	12.0	105.0	118605.0	137.0	24.0	29864.0	85182.0	7418.0	196.0
15-19	64218.0	105917.0	6311.0	9140.0	14061.0	2169.0	799.0	18225.0	386.0	557.0	32.0	38.0	53957.0	242.0	15.0	29541.0	28001.0	6288.0	373.0
20-29	108128.0	148066.0	69989.0	28125.0	3927.0	568.0	1682.0	12438.0	1923.0	874.0	224.0	76.0	26979.0	1261.0	55.0	71442.0	33353.0	3196.0	82.0
30-49	294797.0	400072.0	243588.0	99458.0	41.0	5086.0	9181.0	8740.0	4286.0	1414.0	823.0	315.0	23684.0	3456.0	123.0	193661.0	96732.0	4183.0	98.0
50-54	58645.0	85467.0	40352.0	21644.0	-	14252.0	4044.0	317.0	888.0	235.0	145.0	70.0	2921.0	599.0	22.0	34009.0	22415.0	2169.0	30.0
55-59	29039.0	46796.0	7766.0	11594.0	-	25790.0	1142.0	77.0	-	98.0	64.0	46.0	155.0	64.0	7.0	13242.0	13845.0	1917.0	28.0
60-64	52153.0	80181.0	3352.0	24220.0	-	50571.0	1333.0	129.0	-	153.0	133.0	68.0	157.0	65.0	10.0	25219.0	25829.0	1078.0	17.0
65 и более	145882.0	222254.0	1693.0	71841.0	-	142502.0	3466.0	428.0	-	1049.0	336.0	140.0	682.0	117.0	27.0	70753.0	73827.0	1254.0	21.0
возраст не указан	76.0	87.0	27.0	10.0	6.0	18.0	1.0	6.0	-	1.0	-	-	18.0	-	9.0	48.0	18.0	1.0	-
Чеченцы	710452.0	862988.0	61179.0	58082.0	10585.0	76273.0	15473.0	232111.0	80421.0	7576.0	1154.0	695.0	294963.0	24476.0	10928.0	540411.0	154926.0	4064.0	123.0
в том числе в возрасте, лет:																			
до 15	232306.0	320698.0	7.0	239.0	12.0	3258.0	1257.0	191193.0	-	1561.0	15.0	156.0	122579.0	421.0	2047.0	141151.0	87787.0	1311.0	10.0
15-19	76195.0	93532.0	1279.0	2815.0	5308.0	1059.0	581.0	26185.0	8336.0	699.0	23.0	33.0	45880.0	1334.0	1268.0	56923.0	17433.0	546.0	25.0
20-29	120035.0	132710.0	14406.0	13109.0	5078.0	735.0	1230.0	5232.0	27994.0	1592.0	216.0	90.0	57117.0	5911.0	2783.0	102353.0	14368.0	510.0	21.0
30-49	192974.0	215414.0	39788.0	32608.0	187.0	5550.0	7377.0	8429.0	41350.0	3133.0	744.0	324.0	61153.0	14771.0	4069.0	163681.0	24006.0	1169.0	49.0
50-54	24810.0	28249.0	4209.0	3903.0	-	8127.0	2094.0	469.0	2684.0	324.0	100.0	55.0	4690.0	1594.0	381.0	20837.0	3382.0	199.0	11.0
55-59	9559.0	11019.0	822.0	1016.0	-	7231.0	653.0	128.0	-	84.0	12.0	14.0	849.0	210.0	78.0	8016.0	1392.0	73.0	-
60-64	15579.0	17804.0	409.0	1395.0	-	14119.0	725.0	135.0	-	67.0	15.0	10.0	833.0	96.0	73.0	13305.0	2108.0	90.0	3.0
65 и более	38563.0	43187.0	216.0	2947.0	-	36150.0	1548.0	312.0	-	107.0	29.0	13.0	1744.0	121.0	132.0	33850.0	4413.0	164.0	4.0
возраст не указан	431.0	375.0	43.0	50.0	-	44.0	8.0	28.0	57.0	9.0	-	-	118.0	18.0	97.0	295.0	37.0	2.0	-
Армяне	510313.0	618128.0	125322.0	40241.0	7819.0	77185.0	10136.0	64336.0	2050.0	1768.0	2230.0	1036.0	277647.0	8358.0	809.0	403941.0	102574.0	2922.0	67.0
в том числе в возрасте, лет:																			
до 15	110888.0	158329.0	8.0	360.0	27.0	467.0	499.0	48217.0	-	467.0	12.0	84.0	108042.0	146.0	222.0	63675.0	46330.0	650.0	11.0
15-19	47283.0	60844.0	3085.0	1469.0	5040.0	409.0	312.0	7802.0	116.0	169.0	40.0	22.0	42100.0	280.0	44.0	34209.0	12475.0	536.0	19.0
20-29	80555.0	92185.0	27258.0	6779.0	2709.0	163.0	543.0	4654.0	550.0	305.0	379.0	116.0	46808.0	1921.0	126.0	69248.0	10622.0	544.0	15.0
30-49	165765.0	184310.0	76219.0	21786.0	40.0	1327.0	3741.0	3412.0	1225.0	547.0	1415.0	529.0	69081.0	4988.0	275.0	147343.0	17488.0	646.0	13.0
50-54	24312.0	27262.0	11577.0	3181.0	-	2379.0	1608.0	109.0	159.0	56.0	212.0	110.0	7256.0	615.0	50.0	21380.0	2768.0	111.0	3.0
55-59	12617.0	15768.0	3351.0	1170.0	-	9120.0	619.0	33.0	-	19.0	50.0	31.0	1233.0	142.0	13.0	9590.0	2866.0	146.0	2.0
60-64	19565.0	23623.0	2222.0	1957.0	-	17484.0	772.0	21.0	-	33.0	40.0	38.0	939.0	117.0	13.0	15598.0	3840.0	112.0	2.0
65 и более	49221.0	55703.0	1565.0	3533.0	-	45822.0	2042.0	86.0	-	172.0	82.0	104.0	2155.0	142.0	49.0	42820.0	6174.0	177.0	1.0
возраст не указан	107.0	104.0	37.0	6.0	3.0	14.0	-	2.0	-	-	-	2.0	33.0	7.0	17.0	78.0	11.0	-	1.0
Мордва	458892.0	667088.0	183940.0	144103.0	7884.0	171309.0	16372.0	45323.0	4290.0	2221.0	893.0	496.0	87904.0	2353.0	205.0	263449.0	182414.0	12495.0	329.0
в том числе в возрасте, лет:																			
до 15	37505.0	70991.0	2.0	1898.0	29.0	835.0	471.0	30652.0	-	318.0	1.0	22.0	36734.0	29.0	13.0	6690.0	28175.0	2557.0	70.0
15-19	22444.0	39526.0	1701.0	3783.0	6150.0	848.0	320.0	6571.0	104.0	195.0	8.0	6.0	19790.0	50.0	11.0	8354.0	11210.0	2726.0	143.0
20-29	41277.0	58674.0	25323.0	12535.0	1690.0	246.0	683.0	4212.0	705.0	207.0	65.0	23.0	12593.0	392.0	27.0	25518.0	14096.0	1581.0	55.0
30-49	154925.0	212637.0	123000.0	56681.0	15.0	3114.0	6238.0	3186.0	2784.0	503.0	318.0	136.0	15227.0	1435.0	84.0	99247.0	53423.0	2144.0	27.0
50-54	39113.0	55828.0	25627.0	13517.0	-	9163.0	3434.0	172.0	697.0	115.0	87.0	44.0	2650.0	322.0	21.0	23675.0	14112.0	1291.0	14.0
55-59	17963.0	28125.0	4853.0	6253.0	-	15712.0	979.0	51.0	-	43.0	32.0	31.0	135.0	36.0	4.0	8833.0	8098.0	1016.0	12.0
60-64	36794.0	54138.0	2261.0	14719.0	-	35497.0	1157.0	105.0	-	99.0	107.0	59.0	107.0	27.0	9.0	19978.0	16265.0	538.0	4.0
65 и более	108837.0	147130.0	1156.0	34711.0	-	105885.0	3089.0	373.0	-	741.0	274.0	175.0	666.0	60.0	35.0	71127.0	37029.0	642.0	4.0
возраст не указан	34.0	39.0	17.0	6.0	-	9.0	1.0	1.0	-	-	1.0	-	2.0	2.0	1.0	27.0	6.0	-	-
Аварцы	410863.0	616840.0	66339.0	89570.0	13984.0	52619.0	15129.0	135819.0	19942.0	965.0	871.0	767.0	217067.0	3768.0	65.0	210597.0	194439.0	5684.0	78.0
в том числе в возрасте, лет:																			
до 15	119371.0	231547.0	-	665.0	21.0	683.0	1229.0	114287.0	-	191.0	6.0	291.0	114116.0	58.0	10.0	9232.0	108108.0	1985.0	36.0
15-19	45623.0	74104.0	1271.0	4286.0	8345.0	259.0	686.0	17698.0	1591.0	71.0	14.0	57.0	39597.0	229.0	8.0	18294.0	26169.0	1136.0	16.0
20-29	70191.0	88709.0	16808.0	20196.0	5577.0	131.0	1653.0	1896.0	7496.0	234.0	164.0	88.0	33391.0	1075.0	17.0	52188.0	17447.0	529.0	10.0
30-49	111875.0	137083.0	40543.0	44094.0	40.0	1229.0	7823.0	1845.0	10411.0	402.0	556.0	276.0	27719.0	2145.0	27.0	87619.0	23236.0	981.0	12.0
50-54	13078.0	16964.0	4642.0	4860.0	-	3546.0	1610.0	43.0	442.0	31.0	46.0	23.0	1543.0	178.0	1.0	9480.0	3307.0	290.0	-
55-59	6876.0	9645.0	1411.0	2290.0	-	5112.0	512.0	15.0	-	7.0	14.0	9.0	242.0	33.0	-	4328.0	2328.0	219.0	1.0
60-64	11198.0	15653.0	1076.0	3586.0	-	10284.0	491.0	11.0	-	4.0	25.0	5.0	156.0	15.0	-	7025.0	3892.0	280.0	1.0
65 и более	32637.0	43120.0	583.0	9592.0	-	31372.0	1125.0	24.0	-	25.0	46.0	18.0	301.0	34.0	2.0	22418.0	9951.0	264.0	2.0
возраст не указан	14.0	15.0	5.0	1.0	1.0	3.0	-	-	2.0	-	-	-	2.0	1.0	-	13.0	1.0	-	-
Белорусы	431877.0	530098.0	191423.0	50777.0	3705.0	182498.0	13815.0	15461.0	3310.0	2340.0	1136.0	828.0	60212.0	4593.0	673.0	337765.0	88194.0	5064.0	181.0
в том числе в возрасте, лет:																			
до 15	16989.0	24547.0	2.0	122.0	7.0	315.0	134.0	7279.0	-	202.0	1.0	16.0	16436.0	33.0	35.0	9650.0	7022.0	275.0	7.0
15-19	12289.0	16802.0	1336.0	329.0	2364.0	306.0	108.0	1797.0	43.0	136.0	10.0	7.0	10258.0	108.0	25.0	8062.0	3886.0	296.0	20.0
20-29	33840.0	39595.0	21497.0	2218.0	1294.0	147.0	369.0	2386.0	441.0	316.0	114.0	34.0	10012.0	767.0	80.0	28365.0	4984.0	386.0	25.0
30-49	151001.0	173620.0	119827.0	17932.0	37.0	2990.0	3909.0	3358.0	2332.0	714.0	555.0	249.0	18926.0	2791.0	284.0	128878.0	20829.0	962.0	48.0
50-54	40617.0	52021.0	27933.0	5768.0	-	11350.0	2282.0	174.0	494.0	132.0	117.0	75.0	3117.0	579.0	68.0	29919.0	9802.0	814.0	14.0
55-59	29007.0	41476.0	10058.0	4306.0	-	25379.0	1113.0	72.0	-	61.0	52.0	95.0	243.0	97.0	22.0	17467.0	10565.0	935.0	18.0
60-64	44668.0	58813.0	6788.0	7203.0	-	42704.0	1341.0	111.0	-	144.0	83.0	121.0	244.0	74.0	50.0	31218.0	12622.0	761.0	17.0
65 и более	103382.0	123109.0	3936.0	12895.0	-	99288.0	4557.0	275.0	-	632.0	204.0	223.0	960.0	139.0	101.0	84146.0	18478.0	631.0	26.0
возраст не указан	84.0	115.0	46.0	4.0	3.0	19.0	2.0	9.0	-	3.0	-	8.0	16.0	5.0	8.0	60.0	6.0	4.0	6.0
Казахи	327565.0	477025.0	103330.0	71826.0	8149.0	46810.0	8328.0	76809.0	3514.0	2206.0	368.0	1483.0	149087.0	5115.0	113.0	186454.0	132619.0	8188.0	191.0
в том числе в возрасте, лет:																			
до 15	74054.0	133332.0	3.0	955.0	38.0	1890.0	752.0	58379.0	-	781.0	3.0	58.0	70388.0	85.0	14.0	17332.0	54167.0	2498.0	43.0
15-19	33235.0	52099.0	2099.0	2205.0	6424.0	1193.0	489.0	10046.0	155.0	322.0	16.0	22.0	28863.0	265.0	7.0	16234.0	15189.0	1736.0	69.0
20-29	51473.0	66494.0	23094.0	11099.0	1670.0	316.0	943.0	4545.0	802.0	336.0	70.0	79.0	22303.0	1237.0	28.0	37576.0	12717.0	1125.0	27.0
30-49	114565.0	151101.0	69401.0	40036.0	16.0	1950.0	4057.0	3697.0	2287.0	610.0	221.0	773.0	24839.0	3214.0	48.0	79780.0	32927.0	1773.0	37.0
50-54	14691.0	20429.0	7311.0	5637.0	-	3388.0	1189.0	76.0	270.0	49.0	29.0	147.0	2056.0	277.0	5.0	9388.0	4862.0	428.0	8.0
55-59	6972.0	10372.0	1006.0	2571.0	-	6251.0	284.0	19.0	-	12.0	4.0	87.0	122.0	16.0	-	3841.0	2864.0	265.0	2.0
60-64	10839.0	15390.0	289.0	4063.0	-	10516.0	240.0	15.0	-	22.0	6.0	123.0	107.0	9.0	3.0	6462.0	4197.0	174.0	3.0
65 и более	21707.0	27773.0	116.0	5256.0	-	21305.0	372.0	30.0	-	73.0	19.0	194.0	398.0	10.0	5.0	15824.0	5687.0	189.0	2.0
возраст не указан	29.0	35.0	11.0	4.0	1.0	1.0	2.0	2.0	-	1.0	-	-	11.0	2.0	3.0	17.0	9.0	-	-
Удмурты	350389.0	532799.0	162236.0	114859.0	6367.0	101418.0	8855.0	49082.0	3257.0	2032.0	469.0	419.0	82000.0	1805.0	54.0	180698.0	157170.0	12117.0	350.0
в том числе в возрасте, лет:																			
до 15	43823.0	79847.0	-	1712.0	30.0	1383.0	478.0	33156.0	-	425.0	6.0	16.0	42598.0	43.0	4.0	10507.0	30678.0	2552.0	82.0
15-19	23785.0	39094.0	2843.0	3036.0	4972.0	1079.0	350.0	6522.0	230.0	207.0	8.0	6.0	19779.0	62.0	1.0	10743.0	10875.0	2066.0	100.0
20-29	42448.0	61379.0	30571.0	12185.0	1355.0	290.0	761.0	5604.0	721.0	235.0	49.0	22.0	9293.0	293.0	4.0	25635.0	14753.0	1989.0	67.0
30-49	122535.0	177875.0	105452.0	50397.0	10.0	2746.0	3617.0	3570.0	1857.0	534.0	216.0	174.0	8194.0	1108.0	25.0	69807.0	50101.0	2544.0	58.0
50-54	25314.0	38112.0	18037.0	9918.0	-	6337.0	1527.0	120.0	449.0	107.0	46.0	44.0	1294.0	233.0	7.0	13741.0	10342.0	1210.0	14.0
55-59	11037.0	18126.0	3312.0	4343.0	-	9950.0	346.0	17.0	-	35.0	15.0	24.0	64.0	20.0	2.0	4865.0	5267.0	885.0	18.0
60-64	20316.0	30836.0	1385.0	8927.0	-	19752.0	506.0	20.0	-	74.0	26.0	45.0	85.0	16.0	4.0	10217.0	9672.0	418.0	5.0
65 и более	61111.0	87511.0	627.0	24338.0	-	59876.0	1269.0	73.0	-	415.0	103.0	88.0	693.0	29.0	3.0	35170.0	25479.0	453.0	6.0
возраст не указан	20.0	19.0	9.0	3.0	-	5.0	1.0	-	-	-	-	-	-	1.0	4.0	13.0	3.0	-	-
Азербайджанцы	235064.0	289577.0	39443.0	19603.0	3208.0	11739.0	3243.0	41075.0	2432.0	926.0	642.0	418.0	161796.0	5052.0	569.0	180786.0	52359.0	1332.0	18.0
в том числе в возрасте, лет:																			
до 15	78718.0	110434.0	7.0	254.0	15.0	315.0	411.0	33140.0	-	318.0	7.0	179.0	75658.0	130.0	170.0	47170.0	30880.0	489.0	9.0
15-19	21065.0	27953.0	934.0	1077.0	2272.0	149.0	162.0	4318.0	135.0	80.0	21.0	39.0	18592.0	174.0	32.0	14400.0	6347.0	285.0	1.0
20-29	41709.0	46720.0	9026.0	4363.0	906.0	69.0	274.0	1887.0	798.0	164.0	161.0	34.0	27651.0	1387.0	99.0	36705.0	4701.0	203.0	1.0
30-49	77271.0	85355.0	26288.0	11777.0	14.0	552.0	1594.0	1680.0	1420.0	314.0	403.0	132.0	38090.0	3091.0	216.0	69007.0	7802.0	243.0	3.0
50-54	5118.0	5916.0	2089.0	897.0	-	1035.0	361.0	24.0	79.0	25.0	28.0	17.0	1178.0	183.0	16.0	4334.0	725.0	40.0	3.0
55-59	2226.0	2722.0	579.0	258.0	-	1518.0	114.0	11.0	-	6.0	4.0	4.0	190.0	38.0	8.0	1743.0	446.0	29.0	-
60-64	2885.0	3463.0	315.0	329.0	-	2512.0	107.0	7.0	-	7.0	7.0	5.0	159.0	15.0	2.0	2326.0	534.0	23.0	-
65 и более	6019.0	6966.0	193.0	647.0	-	5587.0	220.0	7.0	-	12.0	11.0	8.0	251.0	30.0	15.0	5062.0	922.0	20.0	-
возраст не указан	53.0	48.0	12.0	1.0	1.0	2.0	-	1.0	-	-	-	-	27.0	4.0	11.0	39.0	2.0	-	1.0
Марийцы	325386.0	492973.0	135862.0	102988.0	8599.0	76358.0	9338.0	54234.0	3951.0	2924.0	428.0	311.0	95622.0	2358.0	75.0	168451.0	146386.0	10149.0	325.0
в том числе в возрасте, лет:																			
до 15	50400.0	92196.0	1.0	2004.0	18.0	1690.0	573.0	38988.0	-	866.0	21.0	22.0	47967.0	46.0	3.0	11732.0	35626.0	2944.0	95.0
15-19	27038.0	45670.0	2365.0	3466.0	6984.0	1442.0	443.0	7400.0	161.0	573.0	25.0	9.0	22709.0	93.0	3.0	11337.0	12892.0	2675.0	131.0
20-29	43749.0	60354.0	27245.0	12132.0	1581.0	383.0	775.0	4457.0	766.0	312.0	62.0	21.0	12128.0	492.0	12.0	28499.0	13903.0	1291.0	44.0
30-49	115114.0	161824.0	90028.0	46481.0	15.0	2139.0	3936.0	3196.0	2546.0	614.0	190.0	139.0	11106.0	1434.0	32.0	70055.0	43353.0	1634.0	40.0
50-54	21181.0	31452.0	13193.0	8842.0	-	5423.0	1660.0	111.0	478.0	92.0	35.0	35.0	1340.0	243.0	12.0	11617.0	8830.0	713.0	9.0
55-59	8887.0	14151.0	2034.0	3662.0	-	7904.0	388.0	22.0	-	26.0	14.0	18.0	61.0	22.0	6.0	4087.0	4323.0	467.0	4.0
60-64	15344.0	23488.0	693.0	7325.0	-	14859.0	443.0	15.0	-	56.0	25.0	22.0	36.0	14.0	1.0	7415.0	7712.0	215.0	1.0
65 и более	43651.0	63812.0	296.0	19069.0	-	42509.0	1119.0	45.0	-	385.0	56.0	45.0	274.0	14.0	3.0	23697.0	19740.0	210.0	1.0
возраст не указан	22.0	26.0	7.0	7.0	1.0	9.0	1.0	-	-	-	-	-	1.0	-	3.0	12.0	7.0	-	-
Немцы	307097.0	430976.0	124546.0	72996.0	6407.0	82595.0	7600.0	37004.0	3097.0	1604.0	674.0	784.0	90977.0	2692.0	136.0	191886.0	106403.0	8409.0	263.0
в том числе в возрасте, лет:																			
до 15	36461.0	61913.0	-	1395.0	20.0	779.0	368.0	23687.0	-	249.0	3.0	23.0	35333.0	56.0	18.0	12785.0	21897.0	1710.0	51.0
15-19	25266.0	38850.0	2574.0	3051.0	4485.0	781.0	309.0	5597.0	162.0	235.0	17.0	10.0	21487.0	142.0	11.0	13601.0	9788.0	1792.0	74.0
20-29	52076.0	68594.0	30253.0	10166.0	1890.0	290.0	672.0	5178.0	833.0	356.0	133.0	46.0	18007.0	770.0	34.0	37080.0	13434.0	1468.0	60.0
30-49	91751.0	123496.0	69296.0	30231.0	12.0	2020.0	2968.0	2140.0	1612.0	357.0	263.0	342.0	12928.0	1327.0	38.0	61421.0	28841.0	1411.0	40.0
50-54	27012.0	37912.0	17832.0	8087.0	-	6764.0	1579.0	155.0	490.0	83.0	75.0	81.0	2473.0	293.0	10.0	17008.0	9092.0	889.0	13.0
55-59	7436.0	11340.0	2420.0	1996.0	-	6456.0	275.0	18.0	-	10.0	17.0	35.0	84.0	29.0	6.0	3949.0	3059.0	415.0	7.0
60-64	18115.0	25755.0	1527.0	5924.0	-	17578.0	388.0	59.0	-	51.0	36.0	72.0	86.0	34.0	5.0	10817.0	6949.0	337.0	7.0
65 и более	48966.0	63104.0	636.0	12145.0	-	47926.0	1041.0	170.0	-	263.0	130.0	175.0	577.0	41.0	11.0	35215.0	13342.0	387.0	11.0
возраст не указан	14.0	12.0	8.0	1.0	-	1.0	-	-	-	-	-	-	2.0	-	3.0	10.0	1.0	-	-
Кабардинцы	269503.0	420144.0	69282.0	60290.0	11982.0	42557.0	5670.0	82237.0	2428.0	723.0	505.0	273.0	143350.0	847.0	16.0	127795.0	132873.0	8673.0	146.0
в том числе в возрасте, лет:																			
до 15	63334.0	125577.0	1.0	594.0	12.0	915.0	391.0	60954.0	-	258.0	2.0	67.0	62349.0	34.0	2.0	2784.0	58886.0	1627.0	35.0
15-19	27664.0	48950.0	1114.0	3631.0	7701.0	469.0	235.0	9960.0	82.0	89.0	8.0	15.0	25614.0	32.0	2.0	8401.0	17276.0	1943.0	42.0
20-29	46097.0	66510.0	17756.0	11783.0	4238.0	137.0	399.0	6733.0	653.0	95.0	71.0	36.0	24436.0	173.0	4.0	27949.0	15901.0	2213.0	30.0
30-49	79498.0	104742.0	40705.0	26929.0	31.0	1057.0	2188.0	4453.0	1570.0	220.0	346.0	96.0	26627.0	520.0	4.0	56018.0	21730.0	1720.0	26.0
50-54	11284.0	14462.0	5852.0	3381.0	-	1533.0	775.0	50.0	123.0	13.0	51.0	15.0	2615.0	54.0	2.0	8290.0	2805.0	186.0	1.0
55-59	7138.0	10509.0	1884.0	2085.0	-	5671.0	390.0	29.0	-	8.0	7.0	10.0	411.0	14.0	1.0	4043.0	2819.0	272.0	3.0
60-64	12698.0	18714.0	1429.0	4446.0	-	11848.0	513.0	18.0	-	12.0	9.0	12.0	413.0	14.0	-	7087.0	5211.0	395.0	5.0
65 и более	21788.0	30679.0	541.0	7441.0	-	20926.0	779.0	40.0	-	28.0	11.0	22.0	885.0	6.0	-	13222.0	8245.0	317.0	4.0
возраст не указан	2.0	1.0	-	-	-	1.0	-	-	-	-	-	-	-	-	1.0	1.0	-	-	-
Осетины	265001.0	369863.0	70673.0	39085.0	11348.0	63484.0	7196.0	51066.0	2009.0	1030.0	832.0	326.0	120997.0	1817.0	366.0	163367.0	97373.0	3833.0	62.0
в том числе в возрасте, лет:																			
до 15	49704.0	88664.0	2.0	180.0	21.0	471.0	306.0	38797.0	-	235.0	9.0	37.0	48571.0	35.0	50.0	11198.0	37910.0	538.0	8.0
15-19	21945.0	36306.0	670.0	1106.0	6949.0	301.0	179.0	6575.0	71.0	105.0	10.0	8.0	20291.0	41.0	20.0	8392.0	12702.0	815.0	16.0
20-29	39016.0	50990.0	14790.0	5917.0	4300.0	106.0	421.0	2731.0	650.0	171.0	95.0	35.0	21419.0	355.0	51.0	27788.0	10339.0	828.0	10.0
30-49	76347.0	91656.0	40251.0	14894.0	78.0	1208.0	2691.0	2803.0	1199.0	379.0	566.0	169.0	26263.0	1155.0	94.0	61556.0	14010.0	668.0	19.0
50-54	13619.0	16377.0	7134.0	2488.0	-	2256.0	1206.0	66.0	89.0	46.0	69.0	24.0	2845.0	154.0	20.0	10951.0	2520.0	126.0	2.0
55-59	9000.0	12555.0	3009.0	1777.0	-	6704.0	547.0	18.0	-	11.0	25.0	8.0	419.0	37.0	18.0	5614.0	3164.0	203.0	1.0
60-64	16994.0	23477.0	3029.0	3834.0	-	15568.0	625.0	23.0	-	19.0	17.0	15.0	327.0	20.0	19.0	10787.0	5880.0	304.0	4.0
65 и более	38267.0	49799.0	1781.0	8889.0	-	36864.0	1221.0	51.0	-	64.0	41.0	30.0	841.0	17.0	18.0	27054.0	10842.0	351.0	2.0
возраст не указан	109.0	39.0	7.0	-	-	6.0	-	2.0	-	-	-	-	21.0	3.0	76.0	27.0	6.0	-	-
Даргинцы	256220.0	384088.0	44658.0	51765.0	7517.0	31494.0	8491.0	82844.0	8831.0	630.0	872.0	566.0	144089.0	2331.0	23.0	132527.0	119502.0	4117.0	51.0
в том числе в возрасте, лет:																			
до 15	73502.0	142670.0	-	216.0	7.0	364.0	708.0	69436.0	-	177.0	6.0	167.0	71543.0	46.0	6.0	5368.0	67094.0	1022.0	12.0
15-19	29058.0	46100.0	1119.0	2732.0	4711.0	175.0	406.0	10466.0	547.0	54.0	14.0	44.0	25670.0	162.0	2.0	12709.0	15664.0	670.0	13.0
20-29	45030.0	57569.0	11543.0	13268.0	2782.0	77.0	804.0	1591.0	3341.0	131.0	135.0	75.0	23154.0	668.0	4.0	33105.0	11306.0	609.0	6.0
30-49	70932.0	88761.0	27153.0	26010.0	16.0	829.0	4611.0	1286.0	4763.0	238.0	382.0	208.0	21950.0	1315.0	4.0	54024.0	15988.0	903.0	13.0
50-54	7811.0	10166.0	2891.0	2478.0	-	2340.0	928.0	26.0	180.0	14.0	40.0	27.0	1140.0	102.0	-	5676.0	1917.0	216.0	2.0
55-59	4020.0	5521.0	890.0	1092.0	-	3021.0	251.0	9.0	-	9.0	15.0	9.0	210.0	15.0	1.0	2676.0	1185.0	157.0	1.0
60-64	6618.0	8908.0	622.0	1737.0	-	6128.0	231.0	7.0	-	3.0	47.0	11.0	117.0	5.0	1.0	4527.0	1891.0	197.0	2.0
65 и более	19219.0	24364.0	433.0	4224.0	-	18557.0	551.0	21.0	-	4.0	233.0	25.0	299.0	17.0	-	14420.0	4455.0	342.0	2.0
возраст не указан	30.0	29.0	7.0	8.0	1.0	3.0	1.0	2.0	-	-	-	-	6.0	1.0	5.0	22.0	2.0	1.0	-
Буряты	233025.0	368473.0	79503.0	69986.0	9512.0	43512.0	7793.0	52809.0	2082.0	1050.0	375.0	317.0	99710.0	1824.0	81.0	114492.0	102090.0	15654.0	708.0
в том числе в возрасте, лет:																			
