7. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
										
	Всего	Имеющие образование							Не имеющие
начального
общего
образова-ния
	Не указавшие уровень образова-ния
		профессиональное				общее				
		послевузовское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
										
Центральный федеральный округ										
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	59726.0	6295.0	1444.0	24876.0	13265.0	11297.0	2155.0	294.0	40.0	60.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	14573.0	408.0	89.0	2875.0	3696.0	3735.0	3178.0	564.0	15.0	13.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	74513.0	3038.0	1108.0	25369.0	24631.0	15819.0	3937.0	502.0	12.0	97.0
операторы, аппаратчики, машинисты установок и машин	73583.0	2259.0	780.0	22095.0	27069.0	15899.0	4708.0	713.0	16.0	44.0
неквалифицированные рабочие	60796.0	1935.0	636.0	17712.0	17168.0	14669.0	7227.0	1352.0	46.0	51.0
занятые на военной службе	4672.0	2132.0	117.0	1517.0	395.0	454.0	57.0	-	-	-
лица, неточно указавшие или не указавшие занятия 	3287.0	843.0	86.0	1059.0	516.0	540.0	139.0	68.0	21.0	15.0
Липецкая область										
Все население, занятое в экономике	489163.0	103060.0	10147.0	190591.0	100970.0	58616.0	21505.0	3590.0	204.0	480.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	50643.0	23279.0	1323.0	19461.0	3527.0	2496.0	430.0	74.0	-	53.0
специалисты высшего уровня квалификации	68559.0	49285.0	2026.0	13851.0	1845.0	1352.0	149.0	8.0	-	43.0
специалисты среднего уровня квалификации	58515.0	9564.0	1785.0	36196.0	6537.0	3658.0	633.0	70.0	-	72.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	11717.0	1781.0	523.0	6053.0	1705.0	1479.0	145.0	17.0	-	14.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	58975.0	5798.0	1347.0	26072.0	14515.0	8718.0	2078.0	359.0	24.0	64.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	11660.0	305.0	93.0	2853.0	3022.0	2719.0	2342.0	293.0	26.0	7.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	84306.0	4201.0	1270.0	34237.0	26869.0	12643.0	4275.0	688.0	45.0	78.0
операторы, аппаратчики, машинисты установок и машин	80998.0	3532.0	995.0	30502.0	25806.0	13845.0	5309.0	909.0	13.0	87.0
неквалифицированные рабочие	43284.0	1727.0	445.0	14072.0	12624.0	8469.0	4906.0	944.0	71.0	26.0
занятые на военной службе	1521.0	763.0	42.0	472.0	133.0	103.0	4.0	4.0	-	-
лица, неточно указавшие или не указавшие занятия 	18985.0	2825.0	298.0	6822.0	4387.0	3134.0	1234.0	224.0	25.0	36.0
Московская область										
Все население, занятое в экономике	3061673.0	853620.0	111642.0	1072093.0	344548.0	510712.0	142005.0	16916.0	1487.0	8650.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	370120.0	203972.0	17452.0	104354.0	14861.0	24953.0	3221.0	412.0	11.0	884.0
специалисты высшего уровня квалификации	495618.0	355477.0	20926.0	88422.0	9814.0	17617.0	2057.0	29.0	-	1276.0
специалисты среднего уровня квалификации	385448.0	77242.0	20492.0	208808.0	29209.0	42132.0	6170.0	586.0	146.0	663.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	78686.0	15557.0	5417.0	32577.0	6837.0	15999.0	1985.0	126.0	-	188.0
