15. НАСЕЛЕНИЕ ПО ГРАЖДАНСТВУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
 	Всего	в том числе в возрасте, лет								Возраст не указан	Из общей численности - население в возрасте		
		0-9	10-19	20-29	30-39	40-49	50-59	60-69	70 и более		моложе трудо-способного	трудоспособном	старше трудо-способного
Центральный федеральный округ													
Белгородская область													
Киргизии	191.0	24.0	35.0	47.0	37.0	20.0	12.0	12.0	4.0	-	43.0	130.0	18.0
Молдавии	78.0	5.0	13.0	20.0	18.0	10.0	3.0	5.0	4.0	-	13.0	56.0	9.0
Таджикистана	163.0	10.0	21.0	56.0	35.0	18.0	13.0	8.0	2.0	-	21.0	130.0	12.0
Туркмении	88.0	5.0	24.0	23.0	8.0	10.0	8.0	8.0	2.0	-	10.0	68.0	10.0
Узбекистана	890.0	100.0	158.0	191.0	152.0	110.0	83.0	63.0	33.0	-	182.0	601.0	107.0
Украины	581.0	36.0	75.0	100.0	112.0	88.0	44.0	65.0	61.0	-	84.0	360.0	137.0
других стран мира	284.0	13.0	36.0	170.0	39.0	14.0	5.0	6.0	1.0	-	15.0	261.0	8.0
Афганистана	7.0	-	-	5.0	2.0	-	-	-	-	-	-	7.0	-
Болгарии	5.0	-	-	-	2.0	1.0	2.0	-	-	-	-	4.0	1.0
Вьетнама	9.0	1.0	-	5.0	3.0	-	-	-	-	-	1.0	8.0	-
Германии	1.0	-	-	-	-	-	-	1.0	-	-	-	-	1.0
Греции	1.0	1.0	-	-	-	-	-	-	-	-	1.0	-	-
Израиля	3.0	-	1.0	1.0	1.0	-	-	-	-	-	-	3.0	-
Индии	5.0	-	-	4.0	1.0	-	-	-	-	-	-	5.0	-
Китая	138.0	-	28.0	97.0	8.0	5.0	-	-	-	-	-	138.0	-
Латвии	9.0	3.0	2.0	1.0	1.0	2.0	-	-	-	-	4.0	5.0	-
Литвы	14.0	1.0	2.0	1.0	1.0	3.0	1.0	4.0	1.0	-	1.0	8.0	5.0
Сирии	2.0	-	-	1.0	1.0	-	-	-	-	-	-	2.0	-
США	1.0	-	1.0	-	-	-	-	-	-	-	-	1.0	-
Турции	15.0	-	-	12.0	2.0	-	1.0	-	-	-	-	15.0	-
Эстонии	3.0	1.0	1.0	-	1.0	-	-	-	-	-	2.0	1.0	-
без гражданства	3816.0	351.0	786.0	685.0	615.0	522.0	342.0	287.0	227.0	1.0	835.0	2410.0	570.0
гражданство не указано	2139.0	211.0	304.0	270.0	296.0	324.0	241.0	202.0	172.0	119.0	406.0	1192.0	422.0
Пермская область													
Все население	2819421.0	274002.0	467645.0	434349.0	383118.0	465240.0	305097.0	259749.0	227282.0	2939.0	539268.0	1733797.0	543417.0
в том числе:													
граждане России	2796492.0	272008.0	464323.0	429987.0	378596.0	461832.0	303329.0	258500.0	226406.0	1511.0	535268.0	1718719.0	540994.0
из них имеющие два гражданства	633.0	52.0	77.0	124.0	164.0	113.0	38.0	35.0	29.0	1.0	108.0	456.0	68.0
иностранные граждане	8395.0	967.0	1241.0	2029.0	2135.0	1199.0	408.0	236.0	175.0	5.0	1767.0	6167.0	456.0
из них имеющие гражданство:													
стран СНГ	8016.0	940.0	1190.0	1911.0	2058.0	1144.0	382.0	218.0	168.0	5.0	1710.0	5871.0	430.0
Азербайджана	1826.0	303.0	304.0	352.0	568.0	256.0	29.0	10.0	2.0	2.0	541.0	1270.0	13.0
Армении	1004.0	128.0	152.0	195.0	278.0	166.0	55.0	21.0	8.0	1.0	248.0	721.0	34.0
Белоруссии	227.0	19.0	25.0	43.0	44.0	33.0	11.0	22.0	30.0	-	34.0	139.0	54.0
Грузии	461.0	47.0	73.0	81.0	121.0	93.0	27.0	12.0	7.0	-	98.0	342.0	21.0
Казахстана	534.0	44.0	101.0	143.0	93.0	65.0	36.0	31.0	21.0	-	94.0	386.0	54.0
Киргизии	471.0	64.0	73.0	117.0	122.0	71.0	18.0	2.0	4.0	-	108.0	351.0	12.0
Молдавии	230.0	24.0	39.0	55.0	63.0	23.0	11.0	12.0	3.0	-	47.0	167.0	16.0
Таджикистана	1002.0	113.0	100.0	396.0	263.0	97.0	25.0	5.0	1.0	2.0	156.0	837.0	7.0
Туркмении	55.0	8.0	13.0	13.0	13.0	4.0	2.0	2.0	-	-	16.0	37.0	2.0
Узбекистана	789.0	80.0	104.0	234.0	188.0	105.0	50.0	21.0	7.0	-	134.0	621.0	34.0
Украины	1417.0	110.0	206.0	282.0	305.0	231.0	118.0	80.0	85.0	-	234.0	1000.0	183.0
других стран мира	379.0	27.0	51.0	118.0	77.0	55.0	26.0	18.0	7.0	-	57.0	296.0	26.0
Афганистана	23.0	4.0	10.0	2.0	1.0	3.0	3.0	-	-	-	12.0	11.0	-
Болгарии	5.0	1.0	2.0	-	1.0	1.0	-	-	-	-	1.0	4.0	-
Вьетнама	15.0	1.0	1.0	6.0	5.0	2.0	-	-	-	-	1.0	14.0	-
Германии	21.0	3.0	2.0	2.0	4.0	6.0	1.0	2.0	1.0	-	4.0	14.0	3.0
Греции	3.0	-	2.0	1.0	-	-	-	-	-	-	2.0	1.0	-
Израиля	6.0	-	-	-	2.0	1.0	-	3.0	-	-	-	3.0	3.0
Индии	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Китая	29.0	-	1.0	5.0	9.0	6.0	1.0	3.0	4.0	-	1.0	21.0	7.0
Латвии	24.0	3.0	3.0	4.0	4.0	2.0	5.0	3.0	-	-	5.0	15.0	4.0
Литвы	45.0	3.0	9.0	2.0	8.0	10.0	8.0	3.0	2.0	-	12.0	28.0	5.0
Сирии	20.0	2.0	3.0	15.0	-	-	-	-	-	-	2.0	18.0	-
США	21.0	4.0	-	9.0	3.0	4.0	-	1.0	-	-	4.0	16.0	1.0
Турции	10.0	-	-	1.0	6.0	-	3.0	-	-	-	-	10.0	-
Эстонии	10.0	2.0	2.0	1.0	2.0	3.0	-	-	-	-	3.0	7.0	-
без гражданства	3386.0	365.0	712.0	615.0	715.0	481.0	237.0	145.0	115.0	1.0	832.0	2249.0	304.0
гражданство не указано	11148.0	662.0	1369.0	1718.0	1672.0	1728.0	1123.0	868.0	586.0	1422.0	1401.0	6662.0	1663.0
Коми-Пермяцкий автономный округ													
Все население	136076.0	16210.0	24761.0	16527.0	18597.0	23160.0	12491.0	11917.0	12400.0	13.0	31711.0	78224.0	26128.0
в том числе:													
граждане России	135795.0	16170.0	24707.0	16476.0	18545.0	23125.0	12469.0	11907.0	12391.0	5.0	31639.0	78044.0	26107.0
из них имеющие два гражданства	16.0	1.0	1.0	2.0	3.0	5.0	3.0	-	1.0	-	2.0	13.0	1.0
иностранные граждане	157.0	20.0	26.0	33.0	35.0	18.0	12.0	7.0	6.0	-	33.0	111.0	13.0
из них имеющие гражданство:													
стран СНГ	156.0	20.0	25.0	33.0	35.0	18.0	12.0	7.0	6.0	-	32.0	111.0	13.0
Азербайджана	25.0	6.0	3.0	4.0	10.0	1.0	-	1.0	-	-	9.0	15.0	1.0
Армении	4.0	1.0	-	2.0	1.0	-	-	-	-	-	1.0	3.0	-
Белоруссии	17.0	3.0	5.0	4.0	2.0	1.0	-	1.0	1.0	-	6.0	9.0	2.0
Грузии	14.0	1.0	1.0	5.0	4.0	2.0	-	1.0	-	-	2.0	11.0	1.0
Казахстана	12.0	1.0	2.0	3.0	3.0	-	-	1.0	2.0	-	2.0	7.0	3.0
Киргизии	7.0	-	2.0	2.0	1.0	-	2.0	-	-	-	-	7.0	-
Молдавии	7.0	-	1.0	1.0	1.0	2.0	2.0	-	-	-	1.0	6.0	-
Таджикистана	4.0	-	-	-	1.0	1.0	2.0	-	-	-	-	4.0	-
Узбекистана	14.0	-	4.0	3.0	5.0	-	2.0	-	-	-	-	14.0	-
Украины	52.0	8.0	7.0	9.0	7.0	11.0	4.0	3.0	3.0	-	11.0	35.0	6.0
других стран мира	1.0	-	1.0	-	-	-	-	-	-	-	1.0	-	-
Литвы	1.0	-	1.0	-	-	-	-	-	-	-	1.0	-	-
без гражданства	74.0	6.0	19.0	15.0	13.0	13.0	7.0	-	1.0	-	18.0	54.0	2.0
гражданство не указано	50.0	14.0	9.0	3.0	4.0	4.0	3.0	3.0	2.0	8.0	21.0	15.0	6.0
Самарская область													
Все население	3239737.0	271368.0	496485.0	502147.0	452000.0	529936.0	374499.0	331484.0	279072.0	2746.0	544623.0	2006197.0	686171.0
в том числе:													
граждане России	3182820.0	265399.0	487990.0	490521.0	440339.0	521491.0	370171.0	328740.0	277137.0	1032.0	533412.0	1967610.0	680766.0
из них имеющие два гражданства	801.0	56.0	93.0	179.0	201.0	121.0	67.0	46.0	38.0	-	94.0	610.0	97.0
иностранные граждане	24048.0	2715.0	3530.0	5932.0	5658.0	3607.0	1295.0	748.0	555.0	8.0	4826.0	17721.0	1493.0
из них имеющие гражданство:													
стран СНГ	22919.0	2662.0	3444.0	5666.0	5309.0	3381.0	1182.0	725.0	542.0	8.0	4725.0	16736.0	1450.0
Азербайджана	3906.0	678.0	548.0	871.0	1062.0	561.0	107.0	51.0	27.0	1.0	1075.0	2746.0	84.0
Армении	4828.0	669.0	928.0	953.0	1037.0	809.0	255.0	114.0	62.0	1.0	1330.0	3290.0	207.0
Белоруссии	374.0	20.0	40.0	70.0	64.0	72.0	30.0	35.0	43.0	-	40.0	250.0	84.0
Грузии	1737.0	227.0	299.0	389.0	411.0	268.0	87.0	33.0	23.0	-	420.0	1252.0	65.0
Казахстана	1801.0	162.0	361.0	512.0	266.0	213.0	119.0	91.0	76.0	1.0	284.0	1326.0	190.0
Киргизии	1071.0	123.0	129.0	312.0	262.0	150.0	42.0	29.0	24.0	-	195.0	817.0	59.0
Молдавии	380.0	26.0	52.0	118.0	88.0	57.0	22.0	6.0	11.0	-	52.0	308.0	20.0
Таджикистана	2600.0	215.0	295.0	939.0	750.0	306.0	74.0	14.0	7.0	-	335.0	2242.0	23.0
Туркмении	217.0	16.0	40.0	41.0	52.0	25.0	15.0	15.0	8.0	5.0	38.0	147.0	27.0
Узбекистана	3823.0	374.0	510.0	1017.0	857.0	586.0	252.0	159.0	68.0	-	662.0	2886.0	275.0
Украины	2182.0	152.0	242.0	444.0	460.0	334.0	179.0	178.0	193.0	-	294.0	1472.0	416.0
других стран мира	1129.0	53.0	86.0	266.0	349.0	226.0	113.0	23.0	13.0	-	101.0	985.0	43.0
Болгарии	110.0	5.0	7.0	4.0	39.0	26.0	28.0	1.0	-	-	11.0	98.0	1.0
Вьетнама	79.0	7.0	2.0	11.0	45.0	12.0	1.0	1.0	-	-	7.0	70.0	2.0
Германии	38.0	3.0	2.0	5.0	7.0	8.0	6.0	3.0	4.0	-	3.0	27.0	8.0
Греции	2.0	-	-	-	2.0	-	-	-	-	-	-	2.0	-
Израиля	16.0	1.0	3.0	3.0	2.0	7.0	-	-	-	-	3.0	13.0	-
Индии	11.0	-	1.0	8.0	2.0	-	-	-	-	-	-	11.0	-
Китая	64.0	-	5.0	18.0	25.0	13.0	2.0	1.0	-	-	2.0	61.0	1.0
Латвии	50.0	3.0	8.0	10.0	10.0	11.0	5.0	2.0	1.0	-	7.0	38.0	5.0
Литвы	73.0	5.0	16.0	11.0	13.0	16.0	7.0	4.0	1.0	-	18.0	50.0	5.0
Сирии	33.0	2.0	5.0	23.0	3.0	-	-	-	-	-	2.0	31.0	-
США	28.0	2.0	4.0	10.0	5.0	3.0	3.0	1.0	-	-	5.0	22.0	1.0
Турции	194.0	2.0	1.0	76.0	84.0	27.0	3.0	1.0	-	-	2.0	191.0	1.0
Финляндии	6.0	-	-	1.0	-	4.0	1.0	-	-	-	-	6.0	-
Эстонии	18.0	2.0	4.0	5.0	4.0	1.0	1.0	1.0	-	-	6.0	11.0	1.0
без гражданства	15834.0	2145.0	3104.0	2920.0	3180.0	2143.0	1042.0	798.0	493.0	9.0	4231.0	10129.0	1465.0
гражданство не указано	17035.0	1109.0	1861.0	2774.0	2823.0	2695.0	1991.0	1198.0	887.0	1697.0	2154.0	10737.0	2447.0
Саратовская область													
Все население	2668310.0	228147.0	421944.0	390004.0	370184.0	429899.0	293868.0	293937.0	239518.0	809.0	463373.0	1608704.0	595424.0
в том числе:													
граждане России	2621185.0	223265.0	413687.0	381620.0	361752.0	422821.0	289910.0	290703.0	237162.0	265.0	453510.0	1578337.0	589073.0
из них имеющие два гражданства	632.0	42.0	116.0	138.0	115.0	90.0	50.0	45.0	36.0	-	90.0	453.0	89.0
иностранные граждане	14083.0	1632.0	2552.0	3016.0	2959.0	1949.0	838.0	674.0	460.0	3.0	3092.0	9717.0	1271.0
из них имеющие гражданство:													
стран СНГ	13813.0	1604.0	2527.0	2927.0	2903.0	1915.0	821.0	662.0	453.0	1.0	3057.0	9507.0	1248.0
Азербайджана	3268.0	572.0	592.0	580.0	921.0	437.0	91.0	51.0	24.0	-	1012.0	2172.0	84.0
Армении	2953.0	368.0	591.0	600.0	608.0	459.0	180.0	107.0	40.0	-	764.0	2012.0	177.0
Белоруссии	252.0	11.0	29.0	41.0	47.0	36.0	35.0	29.0	24.0	-	28.0	159.0	65.0
Грузии	424.0	35.0	62.0	91.0	100.0	80.0	24.0	17.0	15.0	-	71.0	321.0	32.0
Казахстана	2388.0	233.0	549.0	541.0	337.0	287.0	165.0	154.0	121.0	1.0	447.0	1640.0	300.0
Киргизии	477.0	53.0	76.0	153.0	78.0	44.0	25.0	27.0	21.0	-	87.0	336.0	54.0
Молдавии	204.0	15.0	28.0	39.0	50.0	37.0	16.0	9.0	10.0	-	26.0	155.0	23.0
Таджикистана	491.0	42.0	63.0	173.0	118.0	53.0	28.0	9.0	5.0	-	84.0	392.0	15.0
Туркмении	230.0	7.0	121.0	35.0	25.0	14.0	12.0	10.0	6.0	-	27.0	184.0	19.0
Узбекистана	1808.0	185.0	254.0	421.0	350.0	284.0	149.0	103.0	62.0	-	334.0	1282.0	192.0
Украины	1318.0	83.0	162.0	253.0	269.0	184.0	96.0	146.0	125.0	-	177.0	854.0	287.0
других стран мира	270.0	28.0	25.0	89.0	56.0	34.0	17.0	12.0	7.0	2.0	35.0	210.0	23.0
Афганистана	2.0	-	-	1.0	1.0	-	-	-	-	-	-	2.0	-
Болгарии	23.0	1.0	2.0	2.0	4.0	6.0	3.0	4.0	1.0	-	2.0	16.0	5.0
Вьетнама	4.0	-	1.0	-	3.0	-	-	-	-	-	1.0	3.0	-
Германии	27.0	6.0	-	5.0	6.0	4.0	5.0	1.0	-	-	6.0	18.0	3.0
Греции	6.0	1.0	-	3.0	1.0	1.0	-	-	-	-	1.0	5.0	-
Израиля	4.0	1.0	-	2.0	1.0	-	-	-	-	-	1.0	3.0	-
Индии	3.0	-	-	-	3.0	-	-	-	-	-	-	3.0	-
Китая	2.0	-	-	2.0	-	-	-	-	-	-	-	2.0	-
Латвии	19.0	4.0	2.0	1.0	4.0	5.0	1.0	2.0	-	-	5.0	12.0	2.0
Литвы	35.0	4.0	6.0	3.0	7.0	6.0	2.0	3.0	4.0	-	6.0	21.0	8.0
Сирии	10.0	-	-	9.0	1.0	-	-	-	-	-	-	10.0	-
США	8.0	1.0	3.0	1.0	1.0	-	-	-	-	2.0	1.0	5.0	-
Турции	28.0	-	1.0	13.0	9.0	4.0	1.0	-	-	-	-	28.0	-
Эстонии	2.0	-	-	-	-	-	1.0	1.0	-	-	-	1.0	1.0
без гражданства	16840.0	1937.0	3523.0	2847.0	3005.0	2436.0	1157.0	1110.0	825.0	-	4242.0	10450.0	2148.0
гражданство не указано	16202.0	1313.0	2182.0	2521.0	2468.0	2693.0	1963.0	1450.0	1071.0	541.0	2529.0	10200.0	2932.0
Ульяновская область													
Все население	1382811.0	117547.0	224505.0	189637.0	193455.0	240367.0	150704.0	141180.0	125395.0	21.0	247483.0	840281.0	295026.0
в том числе:													
граждане России	1371261.0	116233.0	222196.0	187442.0	191355.0	238870.0	149941.0	140362.0	124852.0	10.0	244736.0	833010.0	293505.0
из них имеющие два гражданства	251.0	19.0	37.0	56.0	64.0	39.0	12.0	15.0	9.0	-	39.0	186.0	26.0
иностранные граждане	4886.0	556.0	847.0	1128.0	1003.0	595.0	271.0	294.0	192.0	-	1010.0	3332.0	544.0
из них имеющие гражданство:													
стран СНГ	4625.0	541.0	831.0	1053.0	909.0	549.0	263.0	290.0	189.0	-	989.0	3099.0	537.0
Азербайджана	1078.0	209.0	153.0	254.0	283.0	131.0	24.0	15.0	9.0	-	320.0	731.0	27.0
Армении	557.0	73.0	148.0	104.0	103.0	86.0	25.0	10.0	8.0	-	140.0	393.0	24.0
Белоруссии	106.0	1.0	30.0	31.0	14.0	9.0	8.0	8.0	5.0	-	8.0	83.0	15.0
Грузии	275.0	36.0	45.0	63.0	62.0	32.0	18.0	12.0	7.0	-	68.0	188.0	19.0
Казахстана	480.0	34.0	105.0	114.0	66.0	49.0	25.0	51.0	36.0	-	82.0	306.0	92.0
Киргизии	169.0	14.0	30.0	42.0	21.0	26.0	20.0	7.0	9.0	-	25.0	126.0	18.0
Молдавии	61.0	2.0	5.0	18.0	13.0	9.0	4.0	8.0	2.0	-	6.0	45.0	10.0
Таджикистана	375.0	45.0	67.0	129.0	82.0	30.0	6.0	9.0	7.0	-	69.0	289.0	17.0
Туркмении	91.0	7.0	32.0	18.0	8.0	9.0	6.0	8.0	3.0	-	11.0	66.0	14.0
Узбекистана	976.0	87.0	155.0	200.0	172.0	105.0	89.0	109.0	59.0	-	184.0	596.0	196.0
Украины	457.0	33.0	61.0	80.0	85.0	63.0	38.0	53.0	44.0	-	76.0	276.0	105.0
других стран мира	261.0	15.0	16.0	75.0	94.0	46.0	8.0	4.0	3.0	-	21.0	233.0	7.0
Афганистана	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Болгарии	3.0	-	1.0	-	-	-	-	1.0	1.0	-	1.0	-	2.0
Вьетнама	104.0	7.0	4.0	26.0	48.0	19.0	-	-	-	-	7.0	97.0	-
Германии	3.0	1.0	-	-	-	2.0	-	-	-	-	1.0	2.0	-
Индии	3.0	-	-	1.0	2.0	-	-	-	-	-	-	3.0	-
Китая	59.0	1.0	2.0	15.0	21.0	16.0	3.0	1.0	-	-	1.0	57.0	1.0
Латвии	11.0	2.0	1.0	2.0	3.0	1.0	1.0	-	1.0	-	2.0	8.0	1.0
Литвы	16.0	1.0	3.0	2.0	2.0	5.0	2.0	1.0	-	-	3.0	12.0	1.0
Сирии	2.0	-	-	2.0	-	-	-	-	-	-	-	2.0	-
США	3.0	1.0	-	-	-	1.0	1.0	-	-	-	1.0	2.0	-
Эстонии	2.0	-	1.0	1.0	-	-	-	-	-	-	-	2.0	-
без гражданства	5655.0	593.0	1243.0	926.0	972.0	777.0	408.0	451.0	285.0	-	1417.0	3416.0	822.0
гражданство не указано	1009.0	165.0	219.0	141.0	125.0	125.0	84.0	73.0	66.0	11.0	320.0	523.0	155.0
Уральский федеральный округ													
Курганская область													
Все население	1019532.0	95013.0	167745.0	143171.0	131294.0	170875.0	109345.0	106886.0	95123.0	80.0	193673.0	603643.0	222136.0
в том числе:													
граждане России	1013169.0	94316.0	166469.0	141930.0	130235.0	169932.0	108935.0	106485.0	94819.0	48.0	192282.0	599466.0	221373.0
из них имеющие два гражданства	133.0	13.0	21.0	28.0	23.0	21.0	9.0	9.0	9.0	-	25.0	88.0	20.0
иностранные граждане	2562.0	282.0	507.0	554.0	475.0	351.0	118.0	153.0	122.0	-	495.0	1774.0	293.0
из них имеющие гражданство:													
стран СНГ	2520.0	279.0	506.0	547.0	467.0	338.0	116.0	148.0	119.0	-	491.0	1744.0	285.0
Азербайджана	331.0	65.0	51.0	67.0	103.0	39.0	3.0	2.0	1.0	-	108.0	220.0	3.0
Армении	313.0	43.0	53.0	74.0	61.0	44.0	21.0	13.0	4.0	-	80.0	212.0	21.0
Белоруссии	49.0	-	4.0	2.0	3.0	6.0	8.0	18.0	8.0	-	2.0	17.0	30.0
Грузии	80.0	7.0	7.0	19.0	27.0	13.0	2.0	3.0	2.0	-	11.0	64.0	5.0
Казахстана	1168.0	116.0	302.0	261.0	158.0	140.0	48.0	69.0	74.0	-	191.0	831.0	146.0
Киргизии	139.0	20.0	15.0	35.0	34.0	27.0	3.0	2.0	3.0	-	30.0	104.0	5.0
Молдавии	20.0	1.0	-	6.0	5.0	4.0	2.0	1.0	1.0	-	1.0	16.0	3.0
Таджикистана	49.0	1.0	8.0	13.0	16.0	9.0	-	1.0	1.0	-	4.0	43.0	2.0
Туркмении	6.0	-	1.0	1.0	1.0	-	2.0	-	1.0	-	1.0	3.0	2.0
Узбекистана	107.0	9.0	21.0	22.0	17.0	20.0	8.0	8.0	2.0	-	21.0	74.0	12.0
Украины	258.0	17.0	44.0	47.0	42.0	36.0	19.0	31.0	22.0	-	42.0	160.0	56.0
других стран мира	42.0	3.0	1.0	7.0	8.0	13.0	2.0	5.0	3.0	-	4.0	30.0	8.0
Болгарии	6.0	-	-	-	1.0	3.0	1.0	1.0	-	-	-	5.0	1.0
Германии	2.0	-	-	-	-	1.0	-	-	1.0	-	-	1.0	1.0
Израиля	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Индии	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Китая	9.0	1.0	-	3.0	2.0	3.0	-	-	-	-	1.0	8.0	-
Латвии	4.0	-	1.0	-	3.0	-	-	-	-	-	1.0	3.0	-
Литвы	7.0	1.0	-	-	-	2.0	-	4.0	-	-	1.0	2.0	4.0
Турции	2.0	-	-	2.0	-	-	-	-	-	-	-	2.0	-
Эстонии	2.0	-	-	-	1.0	-	1.0	-	-	-	-	2.0	-
без гражданства	3206.0	340.0	666.0	601.0	509.0	494.0	245.0	204.0	145.0	2.0	755.0	2066.0	383.0
гражданство не указано	595.0	75.0	103.0	86.0	75.0	98.0	47.0	44.0	37.0	30.0	141.0	337.0	87.0
Свердловская область													
Все население	4486214.0	392750.0	711986.0	712780.0	593901.0	742098.0	497255.0	447642.0	383845.0	3957.0	777882.0	2779391.0	924984.0
в том числе:													
граждане России	4432962.0	388236.0	705111.0	699680.0	582086.0	734631.0	493913.0	445384.0	382119.0	1802.0	769504.0	2741172.0	920484.0
из них имеющие два гражданства	1056.0	101.0	118.0	230.0	254.0	170.0	90.0	46.0	47.0	-	167.0	772.0	117.0
иностранные граждане	25334.0	2483.0	3333.0	7275.0	6778.0	3421.0	989.0	604.0	436.0	15.0	4298.0	19851.0	1170.0
из них имеющие гражданство:													
стран СНГ	22062.0	2422.0	3155.0	6316.0	5440.0	2816.0	892.0	586.0	423.0	12.0	4199.0	16720.0	1131.0
Азербайджана	4748.0	836.0	717.0	1071.0	1416.0	574.0	102.0	25.0	5.0	2.0	1371.0	3342.0	33.0
Армении	2817.0	409.0	505.0	647.0	583.0	459.0	141.0	58.0	13.0	2.0	763.0	1965.0	87.0
Белоруссии	431.0	37.0	44.0	74.0	86.0	53.0	34.0	61.0	42.0	-	64.0	255.0	112.0
Грузии	1119.0	132.0	189.0	263.0	275.0	162.0	59.0	26.0	13.0	-	253.0	822.0	44.0
Казахстана	2813.0	305.0	545.0	836.0	449.0	287.0	139.0	151.0	101.0	-	544.0	1994.0	275.0
Киргизии	1754.0	135.0	197.0	639.0	548.0	170.0	39.0	13.0	11.0	2.0	203.0	1521.0	28.0
Молдавии	307.0	19.0	62.0	70.0	64.0	50.0	21.0	11.0	10.0	-	47.0	232.0	28.0
Таджикистана	3773.0	211.0	370.0	1530.0	1091.0	460.0	85.0	18.0	3.0	5.0	338.0	3409.0	21.0
Туркмении	74.0	13.0	7.0	20.0	12.0	9.0	7.0	5.0	1.0	-	18.0	50.0	6.0
Узбекистана	1994.0	179.0	254.0	608.0	484.0	273.0	110.0	61.0	24.0	1.0	298.0	1583.0	112.0
Украины	2232.0	146.0	265.0	558.0	432.0	319.0	155.0	157.0	200.0	-	300.0	1547.0	385.0
других стран мира	3272.0	61.0	178.0	959.0	1338.0	605.0	97.0	18.0	13.0	3.0	99.0	3131.0	39.0
Афганистана	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Болгарии	35.0	-	5.0	4.0	7.0	10.0	8.0	1.0	-	-	4.0	30.0	1.0
Вьетнама	545.0	11.0	13.0	162.0	261.0	91.0	5.0	-	-	2.0	13.0	530.0	-
Германии	31.0	6.0	-	8.0	3.0	6.0	3.0	3.0	2.0	-	6.0	20.0	5.0
Греции	3.0	-	-	-	-	1.0	1.0	-	1.0	-	-	2.0	1.0
Израиля	12.0	2.0	1.0	3.0	2.0	-	1.0	2.0	1.0	-	2.0	7.0	3.0
Индии	7.0	-	-	2.0	4.0	1.0	-	-	-	-	-	7.0	-
Китая	2147.0	5.0	110.0	665.0	932.0	383.0	50.0	2.0	-	-	13.0	2129.0	5.0
Латвии	21.0	1.0	5.0	6.0	4.0	4.0	1.0	-	-	-	5.0	16.0	-
Литвы	59.0	2.0	7.0	12.0	13.0	10.0	8.0	3.0	4.0	-	6.0	45.0	8.0
Сирии	4.0	-	-	2.0	2.0	-	-	-	-	-	-	4.0	-
США	22.0	7.0	-	7.0	3.0	3.0	1.0	-	1.0	-	7.0	14.0	1.0
Турции	11.0	1.0	2.0	5.0	3.0	-	-	-	-	-	2.0	9.0	-
Финляндии	1.0	-	-	-	-	-	-	-	1.0	-	-	-	1.0
Эстонии	17.0	3.0	3.0	1.0	2.0	3.0	1.0	2.0	2.0	-	3.0	10.0	4.0
без гражданства	7888.0	1021.0	1574.0	1585.0	1681.0	993.0	452.0	326.0	245.0	11.0	2060.0	5174.0	643.0
гражданство не указано	20030.0	1010.0	1968.0	4240.0	3356.0	3053.0	1901.0	1328.0	1045.0	2129.0	2020.0	13194.0	2687.0
Тюменская область													
Все население	3264841.0	363959.0	587400.0	557352.0	520106.0	622269.0	308173.0	175139.0	122093.0	8350.0	710123.0	2201411.0	344957.0
в том числе:													
граждане России	3179796.0	354899.0	576197.0	538473.0	502531.0	609620.0	302713.0	172727.0	120501.0	2135.0	694218.0	2143245.0	340198.0
из них имеющие два гражданства	1344.0	92.0	144.0	346.0	348.0	239.0	97.0	45.0	32.0	1.0	174.0	1085.0	84.0
иностранные граждане	43604.0	4916.0	5532.0	12092.0	10774.0	6597.0	2129.0	837.0	683.0	44.0	8300.0	33488.0	1772.0
из них имеющие гражданство:													
стран СНГ	41474.0	4867.0	5455.0	11584.0	10055.0	6072.0	1909.0	820.0	681.0	31.0	8215.0	31480.0	1748.0
Азербайджана	10208.0	1897.0	1501.0	2396.0	2969.0	1191.0	188.0	47.0	11.0	8.0	3040.0	7096.0	64.0
Армении	3079.0	461.0	533.0	702.0	659.0	517.0	130.0	58.0	15.0	4.0	822.0	2167.0	86.0
Белоруссии	2163.0	130.0	186.0	599.0	467.0	491.0	210.0	45.0	35.0	-	249.0	1816.0	98.0
Грузии	953.0	112.0	145.0	270.0	188.0	149.0	65.0	18.0	5.0	1.0	192.0	729.0	31.0
Казахстана	2898.0	301.0	533.0	753.0	476.0	348.0	172.0	169.0	146.0	-	568.0	1982.0	348.0
Киргизии	1892.0	197.0	250.0	604.0	460.0	248.0	67.0	35.0	30.0	1.0	323.0	1492.0	76.0
Молдавии	2336.0	194.0	271.0	792.0	586.0	350.0	90.0	36.0	17.0	-	336.0	1933.0	67.0
Таджикистана	4093.0	364.0	468.0	1497.0	1106.0	539.0	89.0	15.0	4.0	11.0	549.0	3509.0	24.0
Туркмении	50.0	6.0	8.0	16.0	8.0	8.0	2.0	1.0	1.0	-	12.0	35.0	3.0
Узбекистана	1927.0	189.0	229.0	553.0	472.0	293.0	104.0	53.0	32.0	2.0	318.0	1509.0	98.0
Украины	11875.0	1016.0	1331.0	3402.0	2664.0	1938.0	792.0	343.0	385.0	4.0	1806.0	9212.0	853.0
