11. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И  ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
								
	Всего	в том числе по положению в занятии						
		работаюшие по найму	работающие не по найму	из них				не указавшие положение в занятии
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	
Центральный федеральный округ								
специалисты среднего уровня квалификации	58515.0	57569.0	863.0	163.0	595.0	72.0	33.0	83.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	11717.0	11611.0	84.0	11.0	61.0	12.0	-	22.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	58975.0	52453.0	6445.0	622.0	5215.0	348.0	260.0	77.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	11660.0	10949.0	695.0	222.0	401.0	51.0	21.0	16.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	84306.0	82317.0	1850.0	214.0	1355.0	216.0	65.0	139.0
операторы, аппаратчики, машинисты установок и машин	80998.0	79172.0	1734.0	187.0	1371.0	136.0	40.0	92.0
неквалифицированные рабочие	43284.0	42773.0	476.0	36.0	359.0	53.0	28.0	35.0
занятые на военной службе	1521.0	1521.0						-
лица, неточно указавшие или не указавшие  занятия 	18985.0	18284.0	643.0	116.0	416.0	79.0	32.0	58.0
Московская область								
Все население, занятое в экономике 	3061673.0	2947270.0	107395.0	33282.0	57398.0	10293.0	6422.0	7008.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	370120.0	329906.0	39444.0	23388.0	12987.0	1602.0	1467.0	770.0
специалисты высшего уровня квалификации	495618.0	484652.0	9816.0	1599.0	5993.0	1562.0	662.0	1150.0
специалисты среднего уровня квалификации	385448.0	377362.0	7341.0	1164.0	4548.0	1101.0	528.0	745.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	78686.0	77314.0	1240.0	276.0	674.0	208.0	82.0	132.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	426087.0	407485.0	17726.0	2499.0	12419.0	1727.0	1081.0	876.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	21575.0	20552.0	990.0	179.0	707.0	49.0	55.0	33.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	442074.0	431386.0	9762.0	1178.0	6606.0	1211.0	767.0	926.0
операторы, аппаратчики, машинисты установок и машин	387251.0	376102.0	10423.0	952.0	7559.0	1215.0	697.0	726.0
неквалифицированные рабочие	238567.0	233809.0	4268.0	559.0	2661.0	672.0	376.0	490.0
занятые на военной службе	57168.0	57168.0						-
лица, неточно указавшие или не указавшие  занятия 	159079.0	151534.0	6385.0	1488.0	3244.0	946.0	707.0	1160.0
Орловская область								
Все население, занятое в экономике 	343744.0	328558.0	14786.0	4288.0	9101.0	970.0	427.0	400.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	39561.0	32987.0	6507.0	2957.0	3233.0	190.0	127.0	67.0
специалисты высшего уровня квалификации	50203.0	49406.0	733.0	140.0	447.0	135.0	11.0	64.0
специалисты среднего уровня квалификации	41809.0	41231.0	544.0	116.0	349.0	67.0	12.0	34.0
