4. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ РОССИИ, СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ В СОСТАВЕ ФЕДЕРАЛЬНЫХ ОКРУГОВ, РАЙОНОВ, ГОРОДСКИХ ПОСЕЛЕНИЙ, СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ – РАЙОННЫХ ЦЕНТРОВ И СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ С НАСЕЛЕНИЕМ 3 ТЫСЯЧИ И БОЛЕЕ ЧЕЛОВЕК					
	Мужчины и женщины	Мужчины	Женщины	В общей численности населения, процентов	
				мужчины	женщины
  Кольчугинский район 	11405.0	5225.0	6180.0	45.8	54.2
    Городское население - пгт Бавлены	3284.0	1490.0	1794.0	45.4	54.6
    Сельское население	8121.0	3735.0	4386.0	46.0	54.0
  Меленковский район 	41125.0	18483.0	22642.0	44.9	55.1
    Городское население - г. Меленки (рц)	16344.0	7338.0	9006.0	44.9	55.1
    Сельское население	24781.0	11145.0	13636.0	45.0	55.0
  Муромский район - сельское население	26382.0	11816.0	14566.0	44.8	55.2
  Петушинский район	69364.0	31358.0	38006.0	45.2	54.8
    Городское население	54247.0	24421.0	29826.0	45.0	55.0
      г. Петушки (рц)	16482.0	7310.0	9172.0	44.4	55.6
      г. Костерево	9608.0	4300.0	5308.0	44.8	55.2
      г. Покров	15920.0	7375.0	8545.0	46.3	53.7
      пгт Вольгинский	6295.0	2855.0	3440.0	45.4	54.6
      пгт Городищи	5942.0	2581.0	3361.0	43.4	56.6
    Сельское население	15117.0	6937.0	8180.0	45.9	54.1
  Селивановский район 	21330.0	9524.0	11806.0	44.7	55.3
    Городское население - пгт Красная Горбатка (рц)	9441.0	4260.0	5181.0	45.1	54.9
    Сельское население	11889.0	5264.0	6625.0	44.3	55.7
  Собинский район 	24864.0	11418.0	13446.0	45.9	54.1
    Городское население - пгт Ставрово	8005.0	3608.0	4397.0	45.1	54.9
    Сельское население	16859.0	7810.0	9049.0	46.3	53.7
  Судогодский район	44429.0	19891.0	24538.0	44.8	55.2
    Городское население	21856.0	9946.0	11910.0	45.5	54.5
      г. Судогда (рц)	13328.0	6084.0	7244.0	45.6	54.4
      пгт Андреево	5326.0	2416.0	2910.0	45.4	54.6
      пгт им. Воровского	2159.0	971.0	1188.0	45.0	55.0
      пгт Красный Богатырь	1043.0	475.0	568.0	45.5	54.5
    Сельское население	22573.0	9945.0	12628.0	44.1	55.9
      п. Головино	3060.0	859.0	2201.0	28.1	71.9
      п. Муромцево	3337.0	1598.0	1739.0	47.9	52.1
      прочие сельские населенные пункты	16176.0	7488.0	8688.0	46.3	53.7
  Суздальский район 	39736.0	18228.0	21508.0	45.9	54.1
    Городское население - пгт Боголюбово	4218.0	1862.0	2356.0	44.1	55.9
    Сельское население	35518.0	16366.0	19152.0	46.1	53.9
      п. Коммунар	3208.0	1455.0	1753.0	45.4	54.6
      прочие сельские населенные пункты	32310.0	14911.0	17399.0	46.1	53.9
  Юрьев-Польский район 	39023.0	17386.0	21637.0	44.6	55.4
    Городское население - г. Юрьев-Польский (рц) 	19906.0	8571.0	11335.0	43.1	56.9
    Сельское население	19117.0	8815.0	10302.0	46.1	53.9
Воронежская область	2378803.0	1088543.0	1290260.0	45.8	54.2
    Городское население	1471799.0	670318.0	801481.0	45.5	54.5
    Сельское население	907004.0	418225.0	488779.0	46.1	53.9
  г. Воронеж с подчиненными его администрации населенными пунктами 	928410.0	419137.0	509273.0	45.1	54.9
    Городское население	892008.0	402304.0	489704.0	45.1	54.9
      г. Воронеж	848752.0	382334.0	466418.0	45.0	55.0
          городские районы 					
        Железнодорожный 	96846.0	44226.0	52620.0	45.7	54.3
        Коминтерновский	241417.0	108679.0	132738.0	45.0	55.0
        Левобережный 	173121.0	77966.0	95155.0	45.0	55.0
        Ленинский 	110765.0	50711.0	60054.0	45.8	54.2
        Советский 	148253.0	65812.0	82441.0	44.4	55.6
        Центральный 	78350.0	34940.0	43410.0	44.6	55.4
      пгт Краснолесный	5379.0	2380.0	2999.0	44.2	55.8
      пгт Придонской	17133.0	7904.0	9229.0	46.1	53.9
      пгт Сомово	13922.0	6326.0	7596.0	45.4	54.6
      пгт Шилово	6822.0	3360.0	3462.0	49.3	50.7
    Сельское население	36402.0	16833.0	19569.0	46.2	53.8
      с. Масловка	7623.0	3517.0	4106.0	46.1	53.9
      с. Никольское	5383.0	2523.0	2860.0	46.9	53.1
      п. 1-е Мая	4575.0	2167.0	2408.0	47.4	52.6
      с. Подгорное	7789.0	3567.0	4222.0	45.8	54.2
      с. Подклетное	3113.0	1438.0	1675.0	46.2	53.8
      прочие сельские населенные пункты	7919.0	3621.0	4298.0	45.7	54.3
