4. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ РОССИИ, СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ В СОСТАВЕ ФЕДЕРАЛЬНЫХ ОКРУГОВ, РАЙОНОВ, ГОРОДСКИХ ПОСЕЛЕНИЙ, СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ – РАЙОННЫХ ЦЕНТРОВ И СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ С НАСЕЛЕНИЕМ 3 ТЫСЯЧИ И БОЛЕЕ ЧЕЛОВЕК					
	Мужчины и женщины	Мужчины	Женщины	В общей численности населения, процентов	
				мужчины	женщины
    Городское население - г. Жердевка (рц)	16557.0	7509.0	9048.0	45.4	54.6
    Сельское население	16945.0	7938.0	9007.0	46.8	53.2
  Знаменский район	20590.0	9630.0	10960.0	46.8	53.2
    Городское население - пгт Знаменка (рц)	9210.0	4317.0	4893.0	46.9	53.1
    Сельское население	11380.0	5313.0	6067.0	46.7	53.3
  Инжавинский район 	27843.0	12945.0	14898.0	46.5	53.5
    Городское население - пгт Инжавино (рц)	10588.0	4852.0	5736.0	45.8	54.2
    Сельское население	17255.0	8093.0	9162.0	46.9	53.1
  Кирсановский район - сельское население	23613.0	11587.0	12026.0	49.1	50.9
  Мичуринский район - сельское население	35196.0	16232.0	18964.0	46.1	53.9
      с. Заворонежское	5815.0	2668.0	3147.0	45.9	54.1
      прочие сельские населенные пункты	29381.0	13564.0	15817.0	46.2	53.8
  Мордовский район 	23671.0	11010.0	12661.0	46.5	53.5
    Городское население	9559.0	4416.0	5143.0	46.2	53.8
      пгт Мордово (рц)	7327.0	3404.0	3923.0	46.5	53.5
      пгт Новопокровка	2232.0	1012.0	1220.0	45.3	54.7
    Сельское население	14112.0	6594.0	7518.0	46.7	53.3
  Моршанский район - сельское население	38228.0	17408.0	20820.0	45.5	54.5
      с. Устье	3718.0	1678.0	2040.0	45.1	54.9
      п. Устьинский	3005.0	1435.0	1570.0	47.8	52.2
      прочие сельские населенные пункты	31505.0	14295.0	17210.0	45.4	54.6
  Мучкапский район 	18257.0	8439.0	9818.0	46.2	53.8
    Городское население - пгт Мучкапский (рц)	8050.0	3701.0	4349.0	46.0	54.0
    Сельское население	10207.0	4738.0	5469.0	46.4	53.6
  Никифоровский район	22970.0	10604.0	12366.0	46.2	53.8
    Городское население - пгт Дмитриевка (рц)	9287.0	4233.0	5054.0	45.6	54.4
    Сельское население	13683.0	6371.0	7312.0	46.6	53.4
  Первомайский район 	31925.0	14701.0	17224.0	46.0	54.0
    Городское население - пгт Первомайский (рц)	13748.0	6324.0	7424.0	46.0	54.0
    Сельское население	18177.0	8377.0	9800.0	46.1	53.9
  Петровский район - сельское население	23374.0	10639.0	12735.0	45.5	54.5
      с. Петровское (рц)	5993.0	2727.0	3266.0	45.5	54.5
      прочие сельские населенные пункты	17381.0	7912.0	9469.0	45.5	54.5
  Пичаевский район - сельское население	16542.0	7679.0	8863.0	46.4	53.6
      с. Пичаево (рц)	3568.0	1656.0	1912.0	46.4	53.6
      прочие сельские населенные пункты	12974.0	6023.0	6951.0	46.4	53.6
  Рассказовский район - сельское население	24984.0	12581.0	12403.0	50.4	49.6
      с. Платоновка	3875.0	1770.0	2105.0	45.7	54.3
      прочие сельские населенные пункты	21109.0	10811.0	10298.0	51.2	48.8
  Ржаксинский район 	21981.0	9986.0	11995.0	45.4	54.6
    Городское население - пгт Ржакса (рц)	5864.0	2642.0	3222.0	45.1	54.9
    Сельское население	16117.0	7344.0	8773.0	45.6	54.4
  Сампурский район - сельское население	16487.0	7636.0	8851.0	46.3	53.7
      п. Сатинка (рц)	3708.0	1706.0	2002.0	46.0	54.0
      прочие сельские населенные пункты	12779.0	5930.0	6849.0	46.4	53.6
  Сосновский район 	39253.0	18407.0	20846.0	46.9	53.1
    Городское население - пгт Сосновка (рц)	10791.0	5046.0	5745.0	46.8	53.2
    Сельское население	28462.0	13361.0	15101.0	46.9	53.1
  Староюрьевский район - сельское население	17695.0	8144.0	9551.0	46.0	54.0
      с. Староюрьево (рц)	6886.0	3190.0	3696.0	46.3	53.7
      прочие сельские населенные пункты	10809.0	4954.0	5855.0	45.8	54.2
  Тамбовский район 	102018.0	47553.0	54465.0	46.6	53.4
    Городское население - пгт Новая Ляда	4997.0	2307.0	2690.0	46.2	53.8
    Сельское население	97021.0	45246.0	51775.0	46.6	53.4
      с. Бокино	4137.0	1967.0	2170.0	47.5	52.5
      с. Горелое	4052.0	1892.0	2160.0	46.7	53.3
      с. Донское	4435.0	2044.0	2391.0	46.1	53.9
      д. Красненькая	4625.0	2113.0	2512.0	45.7	54.3
      п. совхоза Комсомолец	3789.0	1796.0	1993.0	47.4	52.6
      с. Покрово-Пригородное	5163.0	2408.0	2755.0	46.6	53.4
      п. совхоза Селезневский	4742.0	2317.0	2425.0	48.9	51.1
      п. Строитель	17695.0	8231.0	9464.0	46.5	53.5
      прочие сельские населенные пункты	48383.0	22478.0	25905.0	46.5	53.5
  Токаревский район 	21536.0	10174.0	11362.0	47.2	52.8
    Городское население - пгт Токаревка (рц)	7441.0	3461.0	3980.0	46.5	53.5
    Сельское население	14095.0	6713.0	7382.0	47.6	52.4
  Уваровский район - сельское население	12737.0	5971.0	6766.0	46.9	53.1
  Уметский район	13545.0	6323.0	7222.0	46.7	53.3
    Городское население - пгт Умет (рц)	5000.0	2291.0	2709.0	45.8	54.2
    Сельское население	8545.0	4032.0	4513.0	47.2	52.8
Тверская область	1471459.0	662322.0	809137.0	45.0	55.0
    Городское население	1075746.0	479236.0	596510.0	44.5	55.5
    Сельское население	395713.0	183086.0	212627.0	46.3	53.7
  г. Тверь с подчиненными его администрации населенными пунктами - городское население	412818.0	182384.0	230434.0	44.2	55.8
      г. Тверь	408903.0	180516.0	228387.0	44.1	55.9
          городские районы 					
        Заволжский 	135162.0	60395.0	74767.0	44.7	55.3
        Московский 	124538.0	54501.0	70037.0	43.8	56.2
        Пролетарский 	92262.0	40868.0	51394.0	44.3	55.7
        Центральный 	56941.0	24752.0	32189.0	43.5	56.5
      пгт Сахарово	3915.0	1868.0	2047.0	47.7	52.3
  г. Бежецк	28643.0	13123.0	15520.0	45.8	54.2
  г. Бологое	26612.0	11898.0	14714.0	44.7	55.3
  г. Вышний Волочек	56405.0	24073.0	32332.0	42.7	57.3
  г. Кашин	17299.0	7487.0	9812.0	43.3	56.7
  г. Кимры	53650.0	23771.0	29879.0	44.3	55.7
  г. Конаково	42335.0	18913.0	23422.0	44.7	55.3
  г. Нелидово	26154.0	11632.0	14522.0	44.5	55.5
  г. Осташков	20660.0	8958.0	11702.0	43.4	56.6
  г. Ржев	63729.0	28823.0	34906.0	45.2	54.8
  г. Торжок	48967.0	22134.0	26833.0	45.2	54.8
  г. Удомля	31961.0	14920.0	17041.0	46.7	53.3
  пгт Озерный	10689.0	5418.0	5271.0	50.7	49.3
  пгт Солнечный	2108.0	949.0	1159.0	45.0	55.0
  Андреапольский район 	16213.0	7795.0	8418.0	48.1	51.9
    Городское население - г. Андреаполь (рц)	9317.0	4238.0	5079.0	45.5	54.5
    Сельское население	6896.0	3557.0	3339.0	51.6	48.4
  Бежецкий район - сельское население	14277.0	6435.0	7842.0	45.1	54.9
  Бельский район 	8125.0	3756.0	4369.0	46.2	53.8
    Городское население - г. Белый (рц)	4350.0	1972.0	2378.0	45.3	54.7
    Сельское население	3775.0	1784.0	1991.0	47.3	52.7
  Бологовский район 	18757.0	8959.0	9798.0	47.8	52.2
    Городское население	8096.0	3703.0	4393.0	45.7	54.3
      пгт Березайка	2512.0	1137.0	1375.0	45.3	54.7
      пгт Выползово	2047.0	924.0	1123.0	45.1	54.9
      пгт Куженкино	3537.0	1642.0	1895.0	46.4	53.6
    Сельское население	10661.0	5256.0	5405.0	49.3	50.7
  Весьегонский район 	16517.0	7359.0	9158.0	44.6	55.4
    Городское население - г. Весьегонск (рц)	8662.0	3875.0	4787.0	44.7	55.3
    Сельское население	7855.0	3484.0	4371.0	44.4	55.6
  Вышневолоцкий район 	28918.0	13039.0	15879.0	45.1	54.9
    Городское население - пгт Красномайский	5796.0	2587.0	3209.0	44.6	55.4
    Сельское население	23122.0	10452.0	12670.0	45.2	54.8
  Жарковский район 	7631.0	3479.0	4152.0	45.6	54.4
    Городское население - пгт Жарковский (рц)	4993.0	2238.0	2755.0	44.8	55.2
    Сельское население	2638.0	1241.0	1397.0	47.0	53.0
  Западнодвинский район 	19707.0	9113.0	10594.0	46.2	53.8
    Городское население	12518.0	5745.0	6773.0	45.9	54.1
      г. Западная Двина (рц)	10212.0	4688.0	5524.0	45.9	54.1
      пгт Старая Торопа	2306.0	1057.0	1249.0	45.8	54.2
    Сельское население	7189.0	3368.0	3821.0	46.8	53.2
  Зубцовский район 	19398.0	8853.0	10545.0	45.6	54.4
    Городское население - г. Зубцов (рц)	7430.0	3367.0	4063.0	45.3	54.7
    Сельское население	11968.0	5486.0	6482.0	45.8	54.2
  Калининский район 	54857.0	25573.0	29284.0	46.6	53.4
    Городское население	5654.0	2499.0	3155.0	44.2	55.8
      пгт Васильевский Мох	2578.0	1119.0	1459.0	43.4	56.6
      пгт Орша	2347.0	1065.0	1282.0	45.4	54.6
      пгт Суховерково	729.0	315.0	414.0	43.2	56.8
    Сельское население	49203.0	23074.0	26129.0	46.9	53.1
      п. Эммаусс	3516.0	1563.0	1953.0	44.5	55.5
      прочие сельские населенные пункты	45687.0	21511.0	24176.0	47.1	52.9
  Калязинский район 	24460.0	11119.0	13341.0	45.5	54.5
    Городское население - г. Калязин (рц)	14820.0	6631.0	8189.0	44.7	55.3
    Сельское население	9640.0	4488.0	5152.0	46.6	53.4
  Кашинский район - сельское население	12701.0	5788.0	6913.0	45.6	54.4
  Кесовогорский район 	9289.0	4365.0	4924.0	47.0	53.0
    Городское население - пгт Кесова Гора (рц)	4076.0	1907.0	2169.0	46.8	53.2
    Сельское население	5213.0	2458.0	2755.0	47.2	52.8
  Кимрский район 	15604.0	7017.0	8587.0	45.0	55.0
    Городское население - пгт Белый Городок	2825.0	1230.0	1595.0	43.5	56.5
    Сельское население	12779.0	5787.0	6992.0	45.3	54.7
  Конаковский район 	49692.0	22360.0	27332.0	45.0	55.0
    Городское население	30698.0	13763.0	16935.0	44.8	55.2
      пгт Изоплит	4441.0	1924.0	2517.0	43.3	56.7
      пгт Козлово	4388.0	2164.0	2224.0	49.3	50.7
      пгт Новозавидовский	7893.0	3449.0	4444.0	43.7	56.3
      пгт Радченко	2089.0	902.0	1187.0	43.2	56.8
      пгт Редкино	11887.0	5324.0	6563.0	44.8	55.2
    Сельское население	18994.0	8597.0	10397.0	45.3	54.7
  Краснохолмский район 	14736.0	6661.0	8075.0	45.2	54.8
    Городское население - г. Красный Холм (рц)	6396.0	2850.0	3546.0	44.6	55.4
    Сельское население	8340.0	3811.0	4529.0	45.7	54.3
  Кувшиновский район 	17847.0	8017.0	9830.0	44.9	55.1
    Городское население - г. Кувшиново (рц)	11276.0	5002.0	6274.0	44.4	55.6
    Сельское население	6571.0	3015.0	3556.0	45.9	54.1
  Лесной район - сельское население	6833.0	3144.0	3689.0	46.0	54.0
      с. Лесное (рц)	1949.0	887.0	1062.0	45.5	54.5
      прочие сельские населенные пункты	4884.0	2257.0	2627.0	46.2	53.8
  Лихославльский район 	30079.0	13537.0	16542.0	45.0	55.0
    Городское население	17713.0	7788.0	9925.0	44.0	56.0
      г. Лихославль (рц)	12515.0	5527.0	6988.0	44.2	55.8
      пгт Калашниково	5198.0	2261.0	2937.0	43.5	56.5
    Сельское население	12366.0	5749.0	6617.0	46.5	53.5
  Максатихинский район 	20644.0	9357.0	11287.0	45.3	54.7
    Городское население - пгт Максатиха (рц)	9753.0	4399.0	5354.0	45.1	54.9
    Сельское население	10891.0	4958.0	5933.0	45.5	54.5
  Молоковский район 	7015.0	3170.0	3845.0	45.2	54.8
    Городское население - пгт Молоково (рц)	2572.0	1173.0	1399.0	45.6	54.4
    Сельское население	4443.0	1997.0	2446.0	44.9	55.1
  Нелидовский район - сельское население	9144.0	4662.0	4482.0	51.0	49.0
  Оленинский район 	14817.0	6759.0	8058.0	45.6	54.4
    Городское население - пгт Оленино (рц)	5247.0	2353.0	2894.0	44.8	55.2
    Сельское население	9570.0	4406.0	5164.0	46.0	54.0
  Осташковский район - сельское население	7357.0	3411.0	3946.0	46.4	53.6
