4. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И СОСТОЯНИЮ В БРАКЕ																
																
	Мужчины	в том числе							Женщины	в том числе						
		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке
			в зарегистри-рованном браке	в незарегистри-рованном браке							в зарегистри-рованном браке	в незарегистри-рованном браке				
Городское и сельское население КМН в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке																
70 и более	93.0	55.0	49.0	6.0	2.0	32.0	4.0	-	205.0	50.0	45.0	5.0	5.0	145.0	5.0	-
возраст не указан	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	-	1.0
Нганасаны	229.0	81.0	45.0	36.0	127.0	16.0	5.0	-	290.0	117.0	77.0	40.0	111.0	46.0	16.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	18.0	-	-	-	18.0	-	-	-	22.0	-	-	-	22.0	-	-	-
18 – 19	19.0	-	-	-	19.0	-	-	-	18.0	3.0	-	3.0	15.0	-	-	-
20 – 29	65.0	11.0	1.0	10.0	53.0	-	1.0	-	66.0	24.0	13.0	11.0	38.0	1.0	3.0	-
30 – 39	59.0	33.0	16.0	17.0	23.0	-	3.0	-	67.0	30.0	21.0	9.0	20.0	10.0	7.0	-
40 – 49	33.0	19.0	13.0	6.0	12.0	1.0	1.0	-	60.0	36.0	25.0	11.0	10.0	10.0	4.0	-
50 – 59	16.0	8.0	7.0	1.0	1.0	7.0	-	-	40.0	21.0	15.0	6.0	6.0	11.0	2.0	-
60 – 69	11.0	7.0	6.0	1.0	1.0	3.0	-	-	11.0	2.0	2.0	-	-	9.0	-	-
70 и более	8.0	3.0	2.0	1.0	-	5.0	-	-	6.0	1.0	1.0	-	-	5.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Негидальцы	151.0	71.0	47.0	24.0	68.0	5.0	6.0	1.0	209.0	104.0	77.0	27.0	50.0	39.0	16.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	8.0	-	-	-	7.0	-	-	1.0	9.0	-	-	-	9.0	-	-	-
